,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-486.00000,127.00000,1181.00000,1308.00000,-340.00000,418.00000,1192.00000,1230.00000,2052.00000,-15.00000,7.00000,-824.00000,-817.00000,-101.00000,-933.00000,-4.00000,,-4.00000,-400.00000,-400.00000,-423.00000,-167.00000,-994.00000,125.00000,,-423.00000
2021-12-31,2946.00000,118.00000,-1831.00000,-1713.00000,-240.00000,311.00000,702.00000,748.00000,1981.00000,-15.00000,-2.00000,-1104.00000,-1106.00000,64.00000,-1057.00000,,,,-131.00000,-131.00000,-395.00000,-159.00000,-685.00000,239.00000,,-395.00000
2020-12-31,1216.00000,109.00000,-672.00000,-563.00000,-23.00000,172.00000,645.00000,838.00000,1491.00000,-20.00000,-15.00000,-475.00000,-490.00000,-50.00000,-560.00000,15.00000,,15.00000,-254.00000,-254.00000,-375.00000,-184.00000,-798.00000,133.00000,,-375.00000
2019-12-31,1997.00000,72.00000,-1223.00000,-1151.00000,-175.00000,184.00000,261.00000,362.00000,1208.00000,-24.00000,-5.00000,-578.00000,-583.00000,-72.00000,-679.00000,7.00000,,7.00000,-56.00000,-56.00000,-355.00000,-142.00000,-546.00000,-17.00000,30.00000,-355.00000
2018-12-31,287.00000,63.00000,436.00000,499.00000,-107.00000,112.00000,481.00000,395.00000,1181.00000,-20.00000,-8.00000,-385.00000,-393.00000,-38.00000,-451.00000,,8.00000,8.00000,-116.00000,-116.00000,-336.00000,-159.00000,-603.00000,127.00000,28.00000,-336.00000
2017-12-31,1045.00000,55.00000,-518.00000,-463.00000,77.00000,97.00000,229.00000,470.00000,1052.00000,-16.00000,-9.00000,-518.00000,-527.00000,-15.00000,-558.00000,,4.00000,4.00000,-79.00000,-79.00000,-400.00000,-139.00000,-614.00000,-120.00000,26.00000,-400.00000
2016-12-31,591.00000,48.00000,-15.00000,33.00000,-118.00000,106.00000,538.00000,491.00000,1115.00000,-13.00000,13.00000,-442.00000,-429.00000,-14.00000,-456.00000,,-15.00000,-15.00000,-18.00000,-18.00000,-306.00000,-87.00000,-426.00000,233.00000,23.00000,-306.00000
2015-12-31,634.00000,52.00000,10.00000,62.00000,-54.00000,119.00000,332.00000,379.00000,1075.00000,-10.00000,16.00000,-631.00000,-615.00000,1.00000,-624.00000,-14.00000,,-14.00000,-29.00000,-29.00000,-366.00000,-89.00000,-498.00000,-47.00000,20.00000,-366.00000
2014-12-31,525.00000,51.00000,-30.00000,21.00000,-62.00000,106.00000,281.00000,327.00000,873.00000,-9.00000,13.00000,-324.00000,-311.00000,9.00000,-311.00000,-55.00000,,-55.00000,1.00000,1.00000,-278.00000,-72.00000,-404.00000,158.00000,19.00000,-278.00000
2013-12-31,517.00000,50.00000,-2.00000,48.00000,-70.00000,184.00000,166.00000,231.00000,796.00000,-7.00000,-9.00000,-498.00000,-507.00000,5.00000,-509.00000,,,,-27.00000,-27.00000,-263.00000,-51.00000,-341.00000,-54.00000,18.00000,-263.00000
2012-12-31,421.00000,44.00000,44.00000,88.00000,-118.00000,159.00000,9.00000,129.00000,638.00000,-6.00000,1.00000,-304.00000,-303.00000,5.00000,-304.00000,,,,10.00000,10.00000,-256.00000,-39.00000,-285.00000,49.00000,16.00000,-256.00000
2011-12-31,164.00000,42.00000,-24.00000,18.00000,-128.00000,80.00000,138.00000,65.00000,247.00000,-7.00000,-2.00000,-6.00000,-8.00000,7.00000,-8.00000,,55.00000,55.00000,-31.00000,-31.00000,-255.00000,45.00000,-186.00000,53.00000,13.00000,-255.00000
2010-12-31,375.00000,41.00000,-71.00000,-30.00000,79.00000,44.00000,136.00000,186.00000,531.00000,-17.00000,9.00000,-521.00000,-512.00000,,-529.00000,,,,-10.00000,-10.00000,-252.00000,88.00000,-174.00000,-172.00000,11.00000,-252.00000
2009-12-31,432.00000,38.00000,-212.00000,-174.00000,128.00000,-35.00000,169.00000,267.00000,525.00000,-42.00000,74.00000,-838.00000,-764.00000,-9.00000,-815.00000,,,,,,-249.00000,87.00000,-162.00000,-452.00000,10.00000,-249.00000
