,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,35608.00000,16319.00000,-4404.00000,11915.00000,,,2079.00000,2079.00000,49602.00000,-11974.00000,,117.00000,117.00000,-251.00000,-12108.00000,-8742.00000,263.00000,-8479.00000,-5417.00000,-5417.00000,-11082.00000,-24978.00000,12326.00000,-11082.00000
2021-12-31,15689.00000,17925.00000,-3959.00000,13966.00000,,,-468.00000,-468.00000,29187.00000,-8056.00000,,-1.00000,-1.00000,2192.00000,-5865.00000,-7364.00000,-5572.00000,-12936.00000,38.00000,38.00000,-10215.00000,-23113.00000,58.00000,-10215.00000
2020-12-31,-5561.00000,19508.00000,-1907.00000,17601.00000,,,-1463.00000,-1463.00000,10577.00000,-8922.00000,,35.00000,35.00000,1922.00000,-6965.00000,6819.00000,651.00000,7470.00000,-1531.00000,-1531.00000,-9675.00000,-3736.00000,-174.00000,-9675.00000
2019-12-31,2845.00000,29218.00000,-6324.00000,22894.00000,1852.00000,7.00000,-242.00000,1575.00000,27314.00000,-14116.00000,,952.00000,952.00000,1706.00000,-11458.00000,-5025.00000,-2821.00000,-7846.00000,-2935.00000,-2935.00000,-8977.00000,-19758.00000,-3570.00000,-8977.00000
2018-12-31,14860.00000,19419.00000,-3374.00000,16045.00000,437.00000,-424.00000,282.00000,-287.00000,30618.00000,-13792.00000,,-1001.00000,-1001.00000,2503.00000,-12290.00000,-6523.00000,2021.00000,-4502.00000,-604.00000,-604.00000,-8593.00000,-13699.00000,4538.00000,-8593.00000
2017-12-31,9269.00000,19349.00000,-8429.00000,10920.00000,-915.00000,-267.00000,-198.00000,149.00000,20338.00000,-13404.00000,,4.00000,4.00000,5080.00000,-8320.00000,-2319.00000,-5142.00000,-7461.00000,,1117.00000,-8210.00000,-14554.00000,-2471.00000,-8210.00000
2016-12-31,-431.00000,19457.00000,-6728.00000,12729.00000,-2121.00000,603.00000,1548.00000,392.00000,12690.00000,-18109.00000,,297.00000,297.00000,1442.00000,-16370.00000,5340.00000,2130.00000,7470.00000,650.00000,650.00000,-8095.00000,25.00000,-3708.00000,-8095.00000
2015-12-31,4710.00000,21037.00000,-4477.00000,16560.00000,3631.00000,85.00000,878.00000,-1814.00000,19456.00000,-29504.00000,,166.00000,166.00000,5530.00000,-23808.00000,11059.00000,-335.00000,10724.00000,211.00000,211.00000,-8120.00000,2815.00000,-1763.00000,-8120.00000
2014-12-31,19310.00000,16793.00000,-3964.00000,12829.00000,4491.00000,-146.00000,-531.00000,-664.00000,31475.00000,-35407.00000,,-355.00000,-355.00000,5869.00000,-29893.00000,3957.00000,3431.00000,7388.00000,-4412.00000,-4412.00000,-7975.00000,-4999.00000,-3460.00000,-7975.00000
2013-12-31,21597.00000,14186.00000,-555.00000,13631.00000,-1101.00000,-237.00000,1939.00000,-226.00000,35002.00000,-37985.00000,,219.00000,219.00000,2157.00000,-35609.00000,5868.00000,2378.00000,8246.00000,-4494.00000,-4494.00000,-7573.00000,-3821.00000,-4694.00000,-7573.00000
2012-12-31,26336.00000,13413.00000,-3891.00000,9522.00000,1153.00000,-233.00000,2120.00000,2954.00000,38812.00000,-30938.00000,,-213.00000,-213.00000,6355.00000,-24796.00000,1783.00000,264.00000,2047.00000,-4142.00000,-4142.00000,-6885.00000,-8980.00000,5075.00000,-6885.00000
2011-12-31,27008.00000,12911.00000,-1669.00000,11242.00000,-2156.00000,-404.00000,-326.00000,2845.00000,41095.00000,-26500.00000,-3009.00000,-329.00000,-329.00000,2349.00000,-27489.00000,-2392.00000,23.00000,-2369.00000,-3193.00000,-3193.00000,-6207.00000,-11769.00000,1804.00000,-6207.00000
2010-12-31,19136.00000,13063.00000,-1649.00000,11414.00000,-2767.00000,15.00000,186.00000,804.00000,31354.00000,-19612.00000,,-781.00000,-781.00000,-522.00000,-20915.00000,1094.00000,-212.00000,882.00000,-306.00000,-306.00000,-5741.00000,-5165.00000,5344.00000,-5741.00000
2009-12-31,10563.00000,12110.00000,-1612.00000,10498.00000,-1476.00000,1213.00000,349.00000,-1688.00000,19373.00000,-19843.00000,,371.00000,371.00000,2900.00000,-16572.00000,4851.00000,-3192.00000,1659.00000,168.00000,168.00000,-5373.00000,-3546.00000,-631.00000,-5373.00000
