,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,2172.65000,362.63700,96.03300,458.67000,-75.85900,-669.04600,1184.85800,-34.19900,516.04500,3148.25000,-548.53900,,,,-191.44600,-739.98500,1333.11400,-785.80000,547.31400,-3202.90900,-3202.90900,-6.94100,-2662.53600,-253.53000,26.45800
2021-12-31,2164.68500,332.60500,45.03900,377.64400,-47.42700,-32.63400,510.91100,51.73600,662.85300,3207.31000,-433.35900,,,,-182.26100,-615.62000,-300.00000,,-300.00000,-2391.13300,-2391.13300,-3.72500,-2694.85800,-103.52700,24.65600
2020-12-31,1752.30200,319.21500,35.12800,354.34300,-20.51500,-198.86400,580.60800,-11.08700,725.27200,2836.60300,-449.80900,,,,-165.08600,-614.89500,1659.51500,-1423.00000,236.51510,-2024.91000,-2024.91000,-8.18200,-1796.57700,425.23400,22.74700
2019-12-31,1391.04200,274.79100,43.07900,317.87000,-15.57700,-239.91200,213.42300,23.07900,-7.96200,1708.47900,-620.93900,,,,-175.80700,-796.74600,3207.95500,-2734.00000,473.95510,-1372.58500,-1372.58500,-4.18100,-902.81100,9.09100,21.92100
2018-12-31,1324.48700,262.40700,40.33600,302.74300,18.13800,-163.36700,177.67600,-2.31500,90.43000,1727.55500,-499.48400,-34.81800,,,,-534.30200,2912.66000,-2473.00000,439.65990,-1641.86700,-1641.86700,-6.07900,-1208.28600,-15.03300,20.17600
2017-12-31,1133.80400,236.71600,14.80800,251.52400,-27.74200,-231.80200,253.26500,-9.84400,6.56900,1403.68700,-461.47600,-2.74700,,,,-464.22300,3849.80000,-2755.00000,1094.80000,-2126.76800,-2126.76800,-7.74600,-1039.71400,-100.25000,19.40100
2016-12-31,1037.69100,220.31700,29.25300,249.57000,-38.54800,-119.27000,322.42700,13.16900,217.01800,1510.71300,-471.22500,,1.04700,1.04700,-58.91800,-529.09600,499.16000,,499.16000,-1445.80300,-1445.80300,-4.67700,-951.32000,30.29700,18.85900
2015-12-31,931.21600,212.36200,-0.75100,211.61100,-23.85800,-76.22600,191.06400,23.66200,195.82200,1345.48800,-411.26200,,4.07400,4.07400,,-407.18800,-0.02500,,-0.02500,-1071.60000,-1071.60000,-0.93400,-1072.55900,-134.25900,21.89900
2014-12-31,778.18200,196.29100,-24.56800,171.72300,-19.27100,-179.74200,360.64600,-0.68000,234.93300,1190.43000,-427.10700,,3.70500,3.70500,,-423.40200,-0.07200,,-0.07200,-796.86400,-796.86400,49.15000,-747.78600,19.24200,23.09500
2013-12-31,670.29200,185.23400,-7.17000,178.06400,-16.93700,-96.87600,127.17800,6.36800,52.26500,908.02600,-394.15000,,5.39600,5.39600,,-388.75400,299.75200,,299.75200,-863.67800,-863.67800,27.84400,-536.08200,-16.81000,21.72200
2012-12-31,585.74600,178.89400,-8.44300,170.45100,4.40400,-276.90400,645.70600,30.22300,487.89400,1251.55500,-297.67500,,4.15700,4.15700,-23.88900,-317.40700,297.94600,,297.94600,-1381.77300,-1381.77300,36.25500,-1047.57200,-113.42400,22.02600
2011-12-31,507.67300,167.67700,42.59000,210.26700,-21.21900,37.74000,383.63200,,392.75900,1118.99100,-325.60400,,5.43500,5.43500,0.51600,-319.65300,836.92000,-398.40000,438.52010,-919.07000,-919.07000,13.04300,-467.50700,331.83100,-10.17100
2010-12-31,419.37300,169.29400,86.00400,255.29800,-21.74800,-110.27100,82.57400,37.35300,22.12300,703.68700,-363.29500,,17.36400,17.36400,-5.34600,-351.27700,440.17300,-871.50000,-431.32700,63.11600,63.11600,18.58700,-349.62400,2.78600,16.97300
2009-12-31,307.49800,155.93700,61.57900,217.51600,-9.71400,-339.74200,79.82400,25.38600,-248.55300,285.20000,-410.49100,,5.81900,5.81900,-5.98900,-410.66100,650.90200,-599.95000,50.95200,59.50800,59.50800,10.63500,121.09500,-4.36600,21.41300
