,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,380.32500,1624.28800,-114.88700,1509.40100,-272.45200,,-230.33800,1659.38800,271.56700,-1930.17800,,-2939.19200,-2939.19200,-101.60000,-4699.40300,3444.63100,3444.63100,928.43200,928.43200,-1450.63700,46.72300,2969.14900,-0.78900,-1450.63700
2021-12-31,1747.41200,1558.61600,-1277.13600,281.48000,-389.11600,,-326.66400,1702.22800,1691.07200,-192.01500,,-2518.10700,-2518.10700,-42.67100,-1061.72100,743.86690,743.86690,172.09600,-29.15400,-1379.19800,73.85500,-590.63000,27.83300,-1379.19800
2020-12-31,362.73000,1442.41400,-110.07000,1332.34400,-72.89700,,11.46700,1706.54100,564.61500,-908.56700,,-2208.38900,-2208.38900,-47.00600,-2599.34700,806.30690,806.30690,1879.95700,1379.95700,-1239.31800,-11.25700,935.68900,26.39900,-1239.31800
2019-12-31,599.22100,1231.39800,-286.30000,945.09800,-103.16200,,-30.50200,1513.81700,,-75.70400,,-140.20300,-140.20300,-59.08500,-274.99200,-458.44900,-458.44900,535.62000,170.57000,-996.76600,12.62400,-1272.02100,-37.96900,-996.76600
2018-12-31,341.11500,1255.66000,-105.22800,1150.43200,-21.31800,-148.38100,-106.22300,1385.32400,286.20400,-1974.54200,,-1325.83500,-1325.83500,-21.82000,-3035.99300,2618.35400,2618.35400,2.01300,2.01300,-930.78200,67.68400,1757.26900,122.04100,-849.46600
2017-12-31,256.26700,878.38100,-3.61700,874.76400,-73.71700,-17.62500,-107.72600,1023.30500,-326.43100,,,-1244.02400,-1244.02400,213.30200,-1357.15300,816.19260,816.19260,411.30900,228.80900,-715.20900,-8.59300,321.20000,-8.85500,-646.40700
2016-12-31,431.85200,720.93000,-196.63000,524.30000,-13.75400,-69.58800,-44.91000,911.24200,-513.96590,,,-758.08100,-758.08100,-31.55000,-1303.59700,177.07590,177.07590,1090.17100,802.67100,-605.39000,-23.74000,350.61700,-53.02600,-521.61900
2015-12-31,301.59100,578.06400,-78.82600,499.23800,-10.12700,-29.97500,-3.98900,796.84000,86.31800,-1880.38300,,-747.97700,-747.97700,14.54100,-2527.50100,1392.22700,1392.22700,919.84000,919.84000,-548.05800,-13.47800,1750.53100,22.18600,-468.63500
2014-12-31,203.41500,557.35600,-6.93000,550.42600,-11.42600,-111.30200,-97.95300,655.88800,13.64000,-29.58500,14.89900,-662.44500,-647.54600,19.31100,-644.18000,139.95300,139.95300,0.71100,365.71100,-509.15900,-23.47900,-26.97400,-15.26600,-441.69400
2013-12-31,320.44900,486.80500,-98.56600,388.23900,-0.52700,-85.89800,-52.29800,656.39000,-159.30700,-15.78500,-1.50700,-902.49300,-904.00010,18.48300,-1060.60900,632.12280,632.12280,0.23000,250.23000,-443.85800,-36.66300,401.83200,-2.38700,-400.95300
2012-12-31,216.04700,393.99500,13.82400,407.81900,-60.11500,-42.94500,-80.91800,542.94800,-1561.18300,-34.44800,2.16800,-900.58800,-898.42000,18.11800,-2475.93300,1287.89300,1287.89300,898.41600,1080.91600,-373.10100,-47.07300,1948.63500,15.65000,-334.42900
2011-12-31,162.12600,327.40000,0.16000,327.56000,-21.25400,-63.42600,-88.73000,400.95600,-196.60200,-20.00000,8.77700,-644.40400,-635.62700,21.42700,-830.80200,72.99490,72.99490,455.46900,742.96900,-286.68300,-70.52300,458.75800,28.91200,-261.28600
2010-12-31,105.41200,281.45500,2.83000,284.28500,-24.48600,-41.61500,-30.66800,359.02900,-1318.99500,-6.80000,-17.21600,-400.31800,-417.53400,5.62900,-1737.70000,1077.91500,1077.91500,619.43900,452.68900,-208.55300,-3.98100,1318.07000,-60.60100,-171.54900
2009-12-31,91.23400,211.31600,3.54300,214.85900,-16.17300,-32.34000,-22.28400,283.80900,-137.99600,-5.20800,0.35800,-392.38600,-392.02800,15.32300,-519.90900,305.60600,305.60600,90.07500,90.07500,-150.18800,-10.40700,235.08600,-1.01400,-109.78400
