,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1487.60000,1441.20000,492.20000,1933.40000,-198.80000,-138.60000,-231.00000,3190.00000,-1421.20000,-2987.90000,-19.60000,19.70000,0.10000,-14.00000,-4423.00000,2164.60100,2164.60100,-217.10000,-217.10000,-592.90000,-10.40000,1344.20000,108.70000,38.80000,-592.90000
2021-12-31,1292.30000,1268.20000,320.20000,1588.40000,-135.40000,-72.40000,-94.00000,2786.70000,-1296.80000,-1175.40000,-30.80000,37.90000,7.10000,-1.00000,-2466.10000,542.09960,542.09960,-264.20000,-264.20000,-552.60000,-54.50000,-329.20000,-8.60000,57.00000,-552.60000
2020-12-31,969.60000,1158.80000,484.50000,1643.30000,13.80000,-108.40000,-141.30000,2471.60000,-1164.50000,-736.60000,-32.90000,11.20000,-21.70000,,-1922.80000,120.20020,120.20020,-94.90000,-94.90000,-522.50000,-114.80000,-612.00000,-63.20000,37.30000,-522.50000
2019-12-31,1073.80000,1122.40000,369.30000,1491.70000,-38.30000,-181.50000,-213.40000,2352.10000,-1185.40000,-532.30000,-14.70000,13.50000,-1.20000,-0.10000,-1719.00000,309.70020,309.70020,-390.10000,-390.10000,-491.20000,-17.40000,-589.00000,44.10000,39.50000,-491.20000
2018-12-31,1037.60000,1114.10000,249.90000,1364.00000,-29.60000,-215.10000,-158.80000,2242.80000,-1040.20000,-188.10000,-38.20000,37.70000,-0.50000,-0.30000,-1229.10000,128.69970,128.69970,-713.70000,-713.70000,-461.80000,-12.70000,-1059.50000,-45.80000,39.00000,-461.80000
2017-12-31,1279.00000,1116.10000,-253.50000,862.60000,-118.90000,-133.70000,-230.90000,1910.70000,-983.70000,-347.10000,-18.50000,18.10000,-0.40000,1.00000,-1330.20000,509.80030,509.80030,-573.80000,-573.80000,-440.50000,-9.90000,-514.40000,66.10000,34.60000,-440.50000
2016-12-31,613.20000,1070.20000,369.60000,1439.80000,-52.30000,-143.10000,-205.20000,1847.80000,-918.00000,-47.40000,-29.90000,32.10000,2.20000,-1.30000,-964.50000,93.69970,93.69970,-354.10000,-354.10000,-418.90000,-177.50000,-856.80000,26.50000,23.20000,-418.90000
2015-12-31,750.40000,1050.00000,196.00000,1246.00000,-15.70000,-336.60000,-316.70000,1679.70000,-924.40000,-572.70000,,,,14.30000,-1482.80000,500.60000,500.60000,-338.80000,-338.80000,-399.30000,-2.20000,-239.70000,-42.80000,18.90000,-399.30000
2014-12-31,547.90000,984.90000,292.60000,1277.50000,-54.30000,-244.60000,-295.60000,1529.80000,-826.80000,-195.70000,,,,62.70000,-959.80000,-15.10000,-15.10000,-312.00000,-312.00000,-378.60000,-2.40000,-708.10000,-138.10000,17.40000,-378.60000
2013-12-31,589.10000,954.00000,261.70000,1215.70000,-61.60000,-232.90000,-256.60000,1548.20000,-856.90000,-66.00000,,,,-11.00000,-933.90000,-58.90000,-58.90000,-63.30000,-63.30000,-348.50000,2.10000,-468.60000,145.70000,19.20000,-348.50000
2012-12-31,572.10000,926.90000,361.10000,1288.00000,-37.20000,-259.50000,-346.30000,1513.80000,-874.80000,-85.70000,,,,23.00000,-937.50000,50.80010,50.80010,-255.20000,-255.20000,-329.10000,-41.50000,-575.00000,1.30000,21.20000,-329.10000
2011-12-31,588.90000,921.60000,663.10000,1584.70000,-16.00000,-402.80000,-406.90000,1766.70000,-901.90000,-28.40000,,,,-19.90000,-950.20000,36.80010,36.80010,-420.00000,-420.00000,-309.40000,-145.90000,-838.50000,-22.00000,20.60000,-309.40000
2010-12-31,507.50000,914.20000,390.80000,1305.00000,8.80000,-352.70000,-378.80000,1433.70000,-757.30000,1.10000,,,,65.70000,-690.50000,-397.40010,-397.40010,43.40000,43.40000,-294.60000,-54.30000,-702.90000,40.30000,24.50000,-294.60000
2009-12-31,496.50000,958.50000,193.40000,1151.90000,53.10000,-298.10000,-251.90000,1396.50000,-794.50000,511.00000,,,,41.00000,-242.50000,-865.89990,-865.89990,38.60000,38.60000,-288.30000,-59.10000,-1174.70000,-20.70000,15.00000,-288.30000
