,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,721.50000,311.40000,2259.10000,2570.50000,-1869.00000,1877.30000,4063.80000,3556.80000,6848.80000,-256.90000,,-1868.20000,-5653.30100,-7521.50100,-177.80000,-7956.20000,1486.00000,1486.00000,-99.00000,-99.00000,-260.80000,,1126.20000,18.80000,122.70000,-234.00000
2021-12-31,3350.90000,467.70000,-1412.10000,-944.39990,-1655.50000,2511.10000,4585.60000,5355.20000,7761.70000,-177.30000,-313.20000,4355.70000,-7032.90200,-2677.20200,47.90000,-3119.80000,-520.00000,-520.00000,-223.00000,-223.00000,-3773.30000,,-4516.30000,125.60000,100.70000,-3746.50000
2020-12-31,5704.60000,432.70000,-1528.10000,-1095.40000,-1293.30000,1377.60000,2235.20000,2296.40000,6905.60000,-201.60000,,-3393.20000,-2606.49800,-5999.69800,83.60000,-6117.70000,986.30000,986.30000,-347.30000,-347.30000,-1577.80000,,-938.80000,-150.90000,89.40000,-1551.00000
2019-12-31,3980.00000,339.40000,-1188.80000,-849.39990,-1693.00000,2313.90000,2282.90000,3131.00000,6261.60000,-310.20000,,31.50000,-4065.60000,-4034.10000,6.00000,-4338.30000,,,-100.90000,-100.90000,-1670.00000,,-1770.90000,152.40000,90.20000,-1643.20000
2018-12-31,2621.00000,296.70000,514.80000,811.50000,-1497.30000,2529.60000,1978.70000,2852.30000,6284.80000,-256.60000,,1116.30000,-7906.30200,-6790.00200,11.70000,-7034.90000,1096.90000,1096.90000,-372.60000,121.30000,-668.40000,,549.80000,-200.30000,77.20000,-654.90000
2017-12-31,1598.10000,322.30000,54.00000,376.30000,-1301.80000,1834.90000,1421.90000,1782.40000,3756.80000,-140.40000,-18.10000,727.60000,-3942.19900,-3214.59900,-33.60000,-3406.70000,156.50000,156.50000,-62.00000,-62.00000,-395.40000,,-300.90000,48.90000,95.40000,-395.40000
2016-12-31,1057.20000,276.70000,43.60000,320.30000,-906.70000,1139.60000,1178.00000,1355.20000,2732.70000,-208.80000,,-1357.20000,-957.89940,-2315.09900,43.20000,-2480.70000,451.90000,451.90000,-192.50000,-192.50000,-519.00000,9.20000,-250.40000,2.00000,85.20000,-519.00000
2015-12-31,1300.50000,248.90000,-43.60000,205.30000,-623.70000,670.30000,847.70000,787.10000,2292.90000,-120.10000,-752.70000,20.50000,-1063.39800,-1042.89800,-8.20000,-1923.90000,342.30000,342.30000,-208.30000,-208.30000,-403.60000,16.80000,-252.80000,116.00000,66.20000,-403.60000
2014-12-31,1281.00000,175.30000,-162.60000,12.70000,-368.80000,358.40000,344.80000,431.90000,1725.60000,-102.20000,,-876.00000,171.29980,-704.70020,-30.00000,-836.90000,295.80000,295.80000,-271.40000,-271.40000,-892.60000,12.80000,-855.40000,33.30000,51.40000,-892.60000
2013-12-31,1165.40000,235.30000,-243.60000,-8.30000,-316.60000,409.80000,591.80000,742.80000,1899.90000,-136.70000,,716.60000,-2088.60100,-1372.00100,152.20000,-1356.50000,-208.10000,-208.10000,-273.40000,-273.40000,-175.60000,10.30000,-646.80000,-104.00000,64.90000,-175.60000
2012-12-31,902.30000,281.10000,-234.50000,46.60000,-336.80000,474.70000,584.80000,742.50000,1691.40000,-123.90000,,-438.20000,341.19970,-97.00030,-44.00000,-264.90000,-382.50000,-382.50000,-173.70000,-173.70000,-853.70000,5.80000,-1404.10000,23.40000,63.40000,-853.70000
2011-12-31,1015.50000,321.50000,-43.30000,278.20000,-267.90000,261.10000,182.60000,204.20000,1497.90000,-75.90000,,-461.00000,-207.39990,-668.39990,-0.60000,-744.90000,476.90000,476.90000,-975.40000,-975.40000,-263.60000,6.40000,-755.70000,-3.20000,50.50000,-263.60000
2010-12-31,1068.30000,312.30000,-54.30000,258.00000,-460.30000,391.00000,374.20000,353.00000,1679.30000,-56.70000,,-11.50000,-364.30030,-375.80030,-54.00000,-486.50000,-214.30000,-214.30000,-231.40000,-231.40000,-763.70000,14.00000,-1195.40000,-1.80000,45.90000,-763.70000
2009-12-31,1057.50000,318.10000,26.50000,344.60000,-322.50000,-74.80000,452.30000,84.70000,1486.80000,-64.80000,,75.60000,-942.89940,-867.29940,-246.50000,-1178.60000,,,-161.80000,-161.80000,,9.70000,-152.10000,157.80000,40.30000,0.00000
