,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-04-30,937.00000,194.00000,102.00000,296.00000,-313.00000,-90.00000,181.00000,363.00000,-15.00000,1211.00000,-226.00000,-380.00000,63.00000,-18.00000,45.00000,,-561.00000,,,-569.00000,-569.00000,-446.00000,-2.00000,-1017.00000,-416.00000,245.00000,-446.00000
2021-04-30,730.00000,207.00000,111.00000,318.00000,62.00000,31.00000,-11.00000,133.00000,292.00000,1333.00000,209.00000,-350.00000,165.00000,-5.00000,160.00000,2.00000,21.00000,948.00000,948.00000,-69.00000,-69.00000,-427.00000,-8.00000,444.00000,1869.00000,197.00000,-427.00000
2020-04-30,819.00000,193.00000,150.00000,343.00000,238.00000,-14.00000,-117.00000,138.00000,-95.00000,1060.00000,-28.00000,-73.00000,1383.00000,-13.00000,1370.00000,,1269.00000,-127.00000,-127.00000,-1388.00000,-1388.00000,-439.00000,-6.00000,-1960.00000,335.00000,153.00000,-439.00000
2019-04-30,1169.00000,197.00000,84.00000,281.00000,-185.00000,-9.00000,-57.00000,270.00000,-103.00000,1341.00000,-173.00000,-3.00000,917.00000,-41.00000,876.00000,4.00000,704.00000,-136.00000,-136.00000,-2086.00000,-2086.00000,-403.00000,-6.00000,-2631.00000,-616.00000,158.00000,-403.00000
2018-04-30,116.00000,198.00000,186.00000,384.00000,-289.00000,36.00000,262.00000,255.00000,978.00000,1478.00000,65.00000,-75.00000,1379.00000,-1389.00000,-10.00000,-1.00000,-21.00000,-70.00000,-70.00000,-696.00000,-696.00000,-214.00000,-6.00000,-986.00000,497.00000,161.00000,-214.00000
2017-04-30,481.00000,226.00000,252.00000,478.00000,90.00000,-66.00000,94.00000,2.00000,28.00000,986.00000,-175.00000,-8.00000,1934.00000,-1977.00000,-43.00000,3.00000,-223.00000,499.00000,-351.00000,-613.00000,-613.00000,-208.00000,-7.00000,-1179.00000,-427.00000,195.00000,-208.00000
2016-04-30,229.00000,279.00000,166.00000,445.00000,-16.00000,49.00000,-53.00000,295.00000,266.00000,974.00000,-58.00000,-842.00000,2571.00000,-1589.00000,982.00000,3.00000,85.00000,,850.00000,-890.00000,-890.00000,-210.00000,141.00000,-109.00000,946.00000,260.00000,-210.00000
2015-04-30,560.00000,307.00000,236.00000,543.00000,75.00000,-24.00000,39.00000,135.00000,158.00000,1268.00000,-175.00000,-85.00000,1952.00000,-2597.00000,-645.00000,2.00000,-903.00000,495.00000,495.00000,-1008.00000,-1008.00000,-208.00000,46.00000,-675.00000,-369.00000,259.00000,-208.00000
2014-04-30,638.00000,334.00000,172.00000,506.00000,-57.00000,17.00000,-12.00000,182.00000,162.00000,1350.00000,-221.00000,,1993.00000,-1019.00000,974.00000,7.00000,760.00000,-1265.00000,-1265.00000,-1680.00000,-1680.00000,-202.00000,43.00000,-3104.00000,-986.00000,273.00000,-202.00000
2013-04-30,505.30000,404.80000,197.70000,602.50010,23.10000,22.00000,25.10000,208.30000,278.50000,1386.30000,-303.30000,-106.50000,2464.70000,-2287.70000,177.00000,4.20000,-228.60000,987.30000,987.30000,-479.40000,-479.40000,,71.00000,578.90000,1727.30000,276.60000,0.00000
2012-04-30,605.40000,346.00000,180.60000,526.60000,-90.40000,-16.50000,11.40000,474.40000,330.60000,1462.60000,-407.10000,-480.00000,2147.50000,-3572.40000,-1424.90000,1.60000,-2310.40000,,,-457.90000,-457.90000,,114.30000,-343.60000,-1207.50000,257.60000,0.00000
2011-04-30,673.10000,218.70000,164.50000,383.20000,-262.70000,4.40000,38.70000,390.80000,290.00000,1346.30000,-222.70000,-136.50000,,-418.49990,-418.49990,0.50000,-777.20000,,,324.20000,324.20000,,126.70000,450.90000,1052.30000,175.20000,
2010-04-30,400.40000,216.80000,148.70000,365.50000,-21.30000,-52.10000,42.70000,186.60000,209.10000,975.00000,-135.60000,,,-860.30000,-860.30000,8.20000,-987.70000,,,197.10000,197.10000,,22.80000,219.90000,210.80000,159.80000,
2009-04-30,64.60000,211.50000,82.70000,294.20000,128.70000,9.10000,-27.00000,229.10000,530.40000,889.20000,-289.60000,,,-116.80000,-116.80000,-596.90000,-1003.30000,1065.80000,1065.80000,-151.00000,-151.00000,,-218.20000,696.60000,557.70000,140.80000,
