,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,7360.00000,3210.00000,5395.00000,8605.00000,20.00000,246.00000,-2462.00000,-2196.00000,13809.00000,-934.00000,-1176.00000,,6794.00000,6794.00000,-34422.00000,-29738.00000,8423.00000,8423.00000,-4653.00000,-4653.00000,-1178.00000,22539.00000,25131.00000,9202.00000,314.00000,-950.00000
2021-12-31,12394.00000,3481.00000,-1020.00000,2461.00000,,-71.00000,-2520.00000,-2591.00000,12310.00000,-698.00000,-669.00000,,1861.00000,1861.00000,-31995.00000,-31501.00000,3554.00000,3554.00000,-7297.00000,-7345.00000,-1422.00000,5687.00000,474.00000,-18717.00000,331.00000,-1148.00000
2020-12-31,2717.00000,3501.00000,8815.00000,12316.00000,82.00000,-87.00000,2191.00000,2186.00000,16699.00000,-710.00000,-7.00000,,-19890.00000,-19890.00000,5766.00000,-14841.00000,-16480.00000,-16480.00000,-90.00000,-135.00000,-740.00000,42519.00000,25164.00000,27022.00000,203.00000,-460.00000
2019-12-31,5533.00000,3339.00000,6173.00000,9512.00000,757.00000,-19.00000,856.00000,1594.00000,16639.00000,-887.00000,-8393.00000,,5882.00000,5882.00000,-19600.00000,-22998.00000,-4186.00000,-4186.00000,-1265.00000,-803.00000,-1035.00000,12643.00000,6619.00000,260.00000,239.00000,-753.00000
2018-12-31,6025.00000,2396.00000,6808.00000,9204.00000,-1219.00000,45.00000,-1077.00000,-2251.00000,12978.00000,-874.00000,-600.00000,,-16860.00000,-16860.00000,2716.00000,-15618.00000,-1191.00000,-1191.00000,-2071.00000,-2071.00000,-1038.00000,6077.00000,1777.00000,-863.00000,170.00000,-773.00000
2017-12-31,2117.00000,2440.00000,8668.00000,11108.00000,437.00000,85.00000,443.00000,965.00000,14182.00000,-1018.00000,-3187.00000,,-309.00000,-309.00000,-11027.00000,-15541.00000,-2778.00000,-2778.00000,48.00000,48.00000,-1045.00000,6993.00000,3218.00000,1859.00000,244.00000,-780.00000
2016-12-31,3751.00000,2428.00000,6048.00000,8476.00000,-494.00000,28.00000,106.00000,-360.00000,11856.00000,-779.00000,-629.00000,,-3247.00000,-3247.00000,-20975.00000,-25630.00000,1544.00000,1544.00000,-3388.00000,-2322.00000,-1026.00000,19031.00000,17227.00000,3453.00000,239.00000,-812.00000
2015-12-31,4012.00000,2100.00000,4286.00000,6386.00000,-295.00000,45.00000,-21.00000,-271.00000,10127.00000,-532.00000,-9314.00000,,-2193.00000,-2193.00000,-17687.00000,-29726.00000,10747.00000,10747.00000,-2245.00000,-773.00000,-974.00000,12163.00000,21163.00000,1564.00000,161.00000,-816.00000
2014-12-31,4423.00000,2002.00000,3491.00000,5493.00000,-331.00000,22.00000,-303.00000,-612.00000,9304.00000,-502.00000,-24.00000,,-621.00000,-621.00000,-14844.00000,-15991.00000,7557.00000,7557.00000,-1799.00000,-830.00000,-746.00000,1657.00000,7638.00000,951.00000,205.00000,-679.00000
2013-12-31,4354.00000,2065.00000,3239.00000,5304.00000,517.00000,-165.00000,-26.00000,326.00000,9984.00000,-818.00000,-204.00000,,407.00000,407.00000,4336.00000,3721.00000,-8608.00000,-8608.00000,-838.00000,-838.00000,-608.00000,-8418.00000,-18472.00000,-4767.00000,240.00000,-555.00000
2012-12-31,3709.00000,1862.00000,3770.00000,5632.00000,440.00000,-47.00000,-210.00000,183.00000,9524.00000,-560.00000,-17603.00000,,5416.00000,5416.00000,-6067.00000,-18814.00000,10306.00000,10306.00000,3270.00000,4123.00000,-126.00000,207.00000,14510.00000,5220.00000,199.00000,-111.00000
2011-12-31,3253.00000,579.00000,2300.00000,2879.00000,68.00000,-22.00000,1277.00000,1323.00000,7455.00000,-315.00000,-1444.00000,,2819.00000,2819.00000,-12234.00000,-11174.00000,-2477.00000,-2477.00000,55.00000,55.00000,-91.00000,6821.00000,4308.00000,589.00000,189.00000,-91.00000
2010-12-31,3050.00000,517.00000,3849.00000,4366.00000,-77.00000,-21.00000,824.00000,726.00000,8142.00000,-340.00000,,57.00000,-2345.00000,-2288.00000,7091.00000,4463.00000,-22344.00000,-22344.00000,11.00000,11.00000,-91.00000,6383.00000,-16041.00000,-3436.00000,149.00000,-91.00000
2009-12-31,987.00000,683.00000,4038.00000,4721.00000,-74.00000,-167.00000,-3385.00000,-3626.00000,2082.00000,-243.00000,778.00000,0.00000,-4876.00000,-4876.00000,15503.00000,11162.00000,-3324.00000,-3324.00000,1516.00000,-2039.00000,-319.00000,-6368.00000,-12050.00000,1194.00000,146.00000,-214.00000
