,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,682.00000,200.60000,24.60000,225.20000,-45.80000,-205.30000,125.30000,-129.90000,-255.70000,651.50000,-262.00000,13.60000,95.20000,6.80000,-146.40000,-772.00000,698.30000,-73.70000,2.60000,2.60000,-396.70000,-19.40000,-487.20000,-17.70000,60.30000,-396.70000
2021-11-30,755.30000,192.60000,103.20000,295.80000,-22.60000,-153.70000,34.90000,-81.40000,-222.80000,828.30000,-278.00000,0.00000,-706.40000,75.80000,-908.60000,744.40000,-346.70000,397.70000,4.90000,4.90000,-363.30000,-17.30000,22.00000,-71.90000,66.60000,-363.30000
2020-11-30,747.40000,165.00000,26.30000,191.30000,4.80000,-200.20000,164.20000,133.80000,102.60000,1041.30000,-225.30000,0.00000,-803.00000,2.70000,-1025.60000,269.30000,286.50000,555.80000,9.30000,9.30000,-330.10000,-14.10000,220.90000,268.20000,46.00000,-330.10000
2019-11-30,702.70000,158.80000,47.30000,206.10000,12.20000,-20.90000,128.20000,-81.50000,38.00000,946.80000,-173.70000,,,2.70000,-171.00000,-447.70000,41.00000,-406.70000,-4.20000,-4.20000,-302.20000,-12.70000,-725.80000,58.80000,37.20000,-302.20000
2018-11-30,933.40000,150.70000,-253.70000,-103.00000,19.80000,-10.00000,72.80000,-91.80000,-9.20000,821.20000,-169.10000,,-4.20000,14.80000,-158.50000,-772.00000,305.50000,-466.50000,15.90000,15.90000,-273.40000,-27.10000,-751.10000,-90.20000,25.60000,-273.40000
2017-11-30,477.40000,146.10000,55.20000,201.30000,-13.00000,44.60000,98.20000,6.80000,136.60000,815.30000,-182.40000,,-4327.40000,1.50000,-4508.30000,3716.90000,-134.60000,3582.30000,445.70000,445.70000,-237.60000,-34.40000,3756.00000,68.40000,23.90000,-237.60000
2016-11-30,472.30000,108.70000,-4.40000,104.30000,-21.00000,-39.00000,47.00000,94.50000,81.50000,658.10000,-152.10000,,-120.60000,5.60000,-267.10000,-196.00000,251.70000,55.70000,-205.90000,-205.90000,-217.80000,-3.50000,-371.50000,5.80000,25.60000,-217.80000
2015-11-30,401.60000,105.90000,46.90000,152.80000,15.60000,-18.00000,40.40000,-2.40000,35.60000,590.00000,-128.00000,,-210.90000,,-338.90000,245.40000,-127.40000,118.00000,-107.40000,-107.40000,-204.90000,-5.30000,-199.60000,35.30000,18.70000,-204.90000
2014-11-30,437.90000,102.70000,17.20000,119.90000,-16.40000,-54.40000,-6.70000,23.30000,-54.20000,503.60000,-131.60000,,,,-131.60000,-1.60000,57.70000,56.10000,-212.60000,-212.60000,-192.40000,,-348.90000,14.30000,18.20000,-192.40000
2013-11-30,389.00000,106.00000,25.40000,131.40000,-29.20000,-59.90000,12.10000,21.80000,-55.20000,465.20000,-97.40000,,-142.30000,,-239.70000,-5.20000,71.90000,66.70000,-132.70000,-132.70000,-179.90000,,-245.90000,-16.00000,18.70000,-179.90000
2012-11-30,407.80000,102.80000,39.40000,142.20000,-38.80000,1.20000,8.20000,-65.60000,-95.00000,455.00000,-109.00000,,,,-109.00000,-3.90000,-76.60000,-80.50000,-79.10000,-79.10000,-164.70000,,-324.30000,25.10000,20.20000,-164.70000
2011-11-30,374.20000,98.30000,42.60000,140.90000,-8.60000,-111.30000,49.30000,-104.50000,-175.10000,340.00000,-96.10000,,-441.40000,,-537.50000,150.90000,216.70000,367.60000,-31.30000,-31.30000,-148.50000,,187.80000,3.10000,13.00000,-148.50000
2010-11-30,370.20000,95.10000,14.80000,109.90000,-38.20000,-26.80000,10.50000,-38.10000,-92.60000,387.50000,-82.80000,,-46.90000,,-129.70000,-14.40000,-99.60000,-114.00000,-8.90000,-8.90000,-138.20000,,-261.10000,11.30000,11.90000,-138.20000
2009-11-30,299.80000,94.30000,31.60000,125.90000,45.80000,15.60000,3.40000,-74.70000,-9.90000,415.80000,-81.80000,,,,-81.80000,-50.40000,-201.80000,-252.20000,35.80000,35.80000,-125.40000,,-341.80000,0.60000,12.70000,-125.40000
