,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2073.00000,565.00000,606.00000,1171.00000,1733.00000,-858.00000,875.00000,4119.00000,-126.00000,,-255.00000,13.00000,-5141.00000,-5128.00000,-7128.00000,-12637.00000,4926.00000,-95.00000,4831.00000,-153.00000,-153.00000,-892.00000,6121.00000,9907.00000,1389.00000,84.00000,-779.00000
2021-12-31,2319.00000,625.00000,-792.00000,-167.00000,1085.00000,-962.00000,123.00000,2275.00000,-124.00000,,-165.00000,-10.00000,-2800.00000,-2810.00000,-7387.00000,-10486.00000,-1353.00000,-154.00000,-1507.00000,-295.00000,-249.00000,-783.00000,7175.00000,4636.00000,-3575.00000,59.00000,-670.00000
2020-12-31,1057.00000,578.00000,1422.00000,2000.00000,32.00000,-2978.00000,-2946.00000,111.00000,-118.00000,,-3.00000,-9.00000,-846.00000,-855.00000,-5160.00000,-6136.00000,-5779.00000,-39.00000,-5818.00000,-270.00000,125.00000,-770.00000,21835.00000,15372.00000,9347.00000,48.00000,-672.00000
2019-12-31,1791.00000,633.00000,467.00000,1100.00000,-672.00000,-522.00000,-1194.00000,1697.00000,-95.00000,,-129.00000,-149.00000,938.00000,789.00000,-4440.00000,-3875.00000,-2007.00000,-1048.00000,-3055.00000,-1220.00000,-490.00000,-682.00000,5717.00000,1490.00000,-688.00000,41.00000,-617.00000
2018-12-31,1721.00000,489.00000,445.00000,934.00000,26.00000,-914.00000,-888.00000,1767.00000,-232.00000,,-533.00000,44.00000,508.00000,552.00000,-6864.00000,-7077.00000,7666.00000,-4870.00000,2796.00000,-1025.00000,-432.00000,-485.00000,4473.00000,6352.00000,1042.00000,41.00000,-471.00000
2017-12-31,1652.00000,487.00000,132.00000,619.00000,233.00000,-621.00000,-388.00000,1883.00000,-253.00000,-187.00000,,247.00000,-113.00000,134.00000,-3678.00000,-3984.00000,2612.00000,-5292.00000,-2680.00000,-820.00000,-820.00000,-336.00000,5265.00000,1429.00000,-672.00000,48.00000,-322.00000
2016-12-31,1045.00000,515.00000,512.00000,1027.00000,-249.00000,-333.00000,-582.00000,1490.00000,-135.00000,-165.00000,,-83.00000,-1821.00000,-1904.00000,-9122.00000,-11326.00000,6715.00000,-2840.00000,3875.00000,-430.00000,-430.00000,-255.00000,7265.00000,10455.00000,619.00000,23.00000,-241.00000
2015-12-31,840.00000,488.00000,511.00000,999.00000,18.00000,-628.00000,-610.00000,1229.00000,-106.00000,-178.00000,,14.00000,421.00000,435.00000,-6056.00000,-5905.00000,5984.00000,-7857.00000,-1873.00000,-500.00000,-253.00000,-221.00000,6832.00000,4485.00000,-191.00000,24.00000,-214.00000
2014-12-31,865.00000,432.00000,197.00000,629.00000,-48.00000,-56.00000,-104.00000,1390.00000,-138.00000,-170.00000,,-137.00000,-2741.00000,-2878.00000,-7088.00000,-10274.00000,3243.00000,3487.00000,6730.00000,-334.00000,-334.00000,-806.00000,3813.00000,9403.00000,519.00000,53.00000,-806.00000
2013-12-31,-3426.00000,477.00000,4721.00000,5198.00000,448.00000,429.00000,877.00000,2649.00000,-135.00000,-208.00000,,993.00000,-2722.00000,-1729.00000,-381.00000,-2453.00000,711.00000,2940.00000,3651.00000,,,-1185.00000,-2968.00000,-502.00000,-306.00000,27.00000,-1185.00000
2012-12-31,643.00000,564.00000,660.00000,1224.00000,-60.00000,-93.00000,-153.00000,1714.00000,-172.00000,-193.00000,-309.00000,-995.00000,4062.00000,3067.00000,-1474.00000,919.00000,-2548.00000,-3150.00000,-5698.00000,,,-150.00000,2584.00000,-3264.00000,-631.00000,29.00000,-150.00000
2011-12-31,506.00000,573.00000,1023.00000,1596.00000,152.00000,225.00000,377.00000,2479.00000,-101.00000,-262.00000,,-68.00000,-1973.00000,-2041.00000,370.00000,-2034.00000,-3104.00000,702.00000,-2402.00000,,,,733.00000,-1669.00000,-1224.00000,,
