,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1116.00000,599.60000,-142.90000,456.70000,-4789.30000,5084.20000,-7.40000,552.70040,2125.40000,-182.70000,-764.90000,1.00000,1.00000,-58.20000,-1004.80000,-201.50000,40.30010,-161.20000,123.10000,123.10000,-429.50000,-55.20000,-522.80000,497.90000,109.80000,-429.50000
2021-12-31,955.00000,566.30000,-16.70000,549.60000,132.90000,35.50000,-67.40000,199.50000,1704.10000,-128.60000,-3250.90000,-1.10000,-1.10000,-51.10000,-3431.70000,1677.00000,82.00000,1759.00000,1546.70000,1546.70000,-392.00000,-229.60000,2684.10000,892.00000,82.30000,-392.00000
2020-12-31,858.10000,562.40000,-125.70000,436.70000,-796.50000,1154.20000,11.00000,512.29990,1807.10000,-99.30000,-324.30000,-1.40000,-1.40000,-46.40000,-471.40000,424.90000,-504.00000,-79.10000,111.90000,111.90000,-347.40000,-190.50000,-505.10000,950.40000,74.50000,-347.40000
2019-12-31,715.80000,474.40000,-176.60000,297.80000,-434.70000,461.60000,38.10000,177.50000,1191.10000,-138.80000,-1266.80000,-52.00000,-52.00000,9.10000,-1448.50000,725.00000,274.20020,999.20020,101.20000,101.20000,-321.10000,-140.90000,638.40000,387.10000,61.20000,-321.10000
2018-12-31,675.90000,419.00000,-227.00000,192.00000,-783.10000,819.70000,-138.30000,-102.80000,765.10000,-124.40000,-784.80000,-15.60000,-15.60000,14.50000,-910.30000,400.00000,107.89990,507.89990,70.60000,70.60000,-301.80000,-114.70000,162.00000,-68.20000,55.30000,-301.80000
2017-12-31,516.90000,385.80000,-191.70000,194.10000,-47.70000,166.90000,-47.60000,143.20000,854.20000,-129.20000,-376.10000,-8.90000,-8.90000,3.20000,-511.00000,348.00000,-87.39990,260.60010,42.70000,42.70000,-282.70000,-68.40000,-47.80000,367.40000,50.80000,-282.70000
2016-12-31,430.30000,350.80000,-125.40000,225.40000,-777.20000,770.00000,-57.90000,-6.10000,649.60000,-217.80000,-243.40000,-31.90000,-31.90000,7.80000,-485.30000,326.00000,70.80010,396.80000,-55.40000,-55.40000,-272.20000,-80.80000,-11.60000,45.10000,43.20000,-272.20000
2015-12-31,389.10000,334.20000,-105.60000,228.60000,-258.90000,252.20000,-124.20000,68.40000,686.10000,-99.00000,-249.60000,-29.50000,-29.50000,9.20000,-368.90000,,78.90000,78.90000,203.30000,203.30000,-257.50000,-56.40000,-31.70000,210.50000,33.90000,-257.50000
2014-12-31,327.50000,258.90000,-98.60000,160.30000,69.30000,60.00000,-235.50000,90.30000,436.60000,-81.50000,-1918.30000,-20.10000,-20.10000,8.20000,-2011.70000,1200.00000,-383.00000,817.00000,997.00000,997.00000,-223.10000,-27.40000,1563.50000,16.30000,33.50000,-223.10000
2013-12-31,268.60000,178.60000,-26.70000,151.90000,-91.30000,114.30000,-127.50000,-57.50000,372.50000,-93.60000,-727.70000,-35.90000,-35.90000,5.50000,-851.70000,200.00000,401.50000,601.50000,76.20000,76.20000,-182.60000,-15.10000,480.00000,-4.00000,26.70000,-182.60000
2012-12-31,195.00000,140.40000,-3.20000,137.20000,15.80000,33.30000,-71.50000,10.80000,343.00000,-51.00000,-344.10000,1.50000,1.50000,11.40000,-382.20000,50.00000,119.00000,169.00000,80.80000,80.80000,-204.40000,0.50000,45.90000,10.90000,15.80000,-204.40000
2011-12-31,144.10000,115.20000,31.20000,146.40000,48.00000,-55.80000,-1.10000,-6.50000,284.00000,-45.90000,-264.80000,-14.50000,-14.50000,14.00000,-311.20000,125.00000,10.00000,135.00000,72.70000,72.70000,-145.80000,3.70000,65.60000,41.40000,21.10000,-145.80000
2010-12-31,163.30000,93.10000,37.20000,130.30000,-14.50000,-11.50000,-20.90000,-64.10000,229.50000,-25.10000,-80.10000,9.40000,9.40000,3.20000,-92.60000,,,,35.90000,35.90000,-133.50000,1.40000,-96.20000,43.90000,15.60000,-133.50000
2009-12-31,133.10000,85.60000,68.80000,154.40000,21.60000,-83.90000,32.10000,-76.00000,211.50000,-23.50000,-44.60000,-27.40000,-27.40000,0.90000,-94.60000,150.00000,-132.00000,18.00000,7.30000,7.30000,-127.90000,-2.80000,-105.40000,11.50000,16.10000,-127.90000
