,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,5925.65700,614.88100,-170.89390,443.98710,-2239.74300,-2192.43600,6077.58600,2572.04800,8941.69200,-1350.50500,-39.51000,,558.82940,,558.82940,-252.86400,-1084.04900,522.16420,-543.86830,-21.70420,-4802.20300,-4802.20300,-2697.00500,,-7520.91300,333.46440,72.59300,-2697.00500
2021-12-31,6960.41400,557.24010,-474.18650,83.05360,-1434.62700,-571.67400,6279.42100,5788.19800,12831.67000,-1065.61800,-46.85080,389.23990,785.22330,-147.17760,638.04570,,-85.18320,-14.31550,,-14.31550,-10069.72000,-10069.72000,-1618.83600,,-11702.87000,1067.62900,139.01430,-1618.83600
2020-12-31,4059.39200,560.64090,58.82850,619.46930,-705.82720,-807.26340,1533.99500,607.24660,5286.10700,-1098.89300,-44.32120,-254.50440,-132.96380,-13.93610,-146.89980,,-1544.61800,1694.03100,,1694.03100,-1336.03400,-1336.03400,-1218.14900,,-860.15190,2875.28300,61.57000,-1218.14900
2019-12-31,2903.37600,502.32000,138.88000,641.20000,-392.33600,-453.26400,1119.10400,124.99210,3669.56800,-858.59200,-133.61600,,-305.20000,,-305.20000,1.00800,-1296.40000,-4.25600,,-4.25600,-428.73600,-428.73600,-1484.78400,,-1917.77600,460.54400,83.55200,-1484.78400
2018-12-31,3060.68000,499.20870,139.12180,638.33060,-547.62970,-609.04170,674.70500,-70.15170,3628.85900,-677.89400,-41.92550,,134.16160,,134.16160,5.19640,-580.46150,-3.30680,,-3.30680,-1327.91600,-1327.91600,-705.17510,,-2036.39800,1018.14000,54.68030,-705.17510
2017-12-31,2394.54100,471.90020,228.20760,700.10790,-1037.16300,-268.78530,-440.59090,-1061.69100,2032.95800,-383.05870,-21.58870,,166.94530,-1151.43700,-984.49130,22.26690,-1366.87200,-274.66290,,-274.66290,-507.95680,-507.95680,-584.02600,,-1366.64600,-732.32140,60.01890,-584.02600
2016-12-31,1628.79800,394.97650,146.08890,541.06540,34.62220,-48.31640,-169.20470,-326.37180,1843.49200,-350.05960,-9.27770,-2922.85700,-16.63660,-229.53880,-246.17540,,-3528.37000,2463.15900,,2463.15900,202.22230,202.22230,-493.39420,0.97600,2172.96300,495.92390,52.78590,-493.39420
2015-12-31,1540.31800,329.66000,359.77740,689.43740,108.61820,-97.46760,-162.42040,19.44870,2249.20400,-412.81340,-1.23030,,-190.87660,-683.04700,-873.92360,,-1287.96700,-4.04070,,-4.04070,-590.35190,-590.35190,-335.68500,4.06410,-926.01360,43.56100,65.59130,-335.68500
2014-12-31,1590.69400,338.49830,241.02070,579.51900,-151.16530,-390.02190,-149.44520,-807.40610,1362.80600,-476.26160,-3.92410,,,458.63500,458.63500,,-21.55060,-5.48740,,-5.48740,-877.76470,-877.76470,-356.20190,5.28000,-1234.17400,118.03250,84.25100,-356.20190
2013-12-31,1348.87500,303.88180,280.94470,584.82650,-242.90890,-688.22020,-43.75550,-533.44400,1400.25800,-280.01100,-5.31320,-589.38260,,385.43950,385.43950,,-489.26740,488.87010,,488.87010,-356.22080,-356.22080,-287.02570,4.13100,-150.24530,747.96310,69.56440,-287.02570
2012-12-31,1474.27700,240.01200,107.02280,347.03480,28.13860,-453.62810,24.58640,-916.56870,904.74300,-221.05230,-9.84900,-13.23650,,-1196.07900,-1196.07900,,-1440.21700,-3.57020,,-3.57020,-457.89160,-457.89160,-242.93400,2.72140,-701.67430,-1240.04000,24.06810,-242.93400
2011-12-31,2080.84000,370.62000,,370.62000,,,,394.02000,3020.28000,-419.23000,,0.00000,,,0.00000,-136.49000,-555.72000,,0.00000,-3.62000,,-928.16000,-240.39000,-208.92000,-1381.10000,1089.16000,,
2010-12-31,1308.64000,354.68000,,354.68000,,,,-378.05000,1331.21000,-165.85000,,0.00000,,,0.00000,-73.56000,-239.42000,,0.00000,-11.15000,,41.16000,-115.52000,199.18000,113.66000,1211.97000,,
2009-12-31,-210.48000,195.52000,,195.52000,,,,50.26000,136.34000,-136.78000,,0.00000,,,0.00000,,-136.78000,,0.00000,0.02000,,15.44000,-120.61000,2.72000,-102.42000,-100.56000,,
