,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1026.00000,721.00000,86.00000,807.00000,-564.00000,-215.00000,14.00000,-264.00000,1569.00000,-700.00000,-285.00000,-473.00000,-473.00000,40.00000,-1418.00000,-8.00000,,-8.00000,-240.00000,-240.00000,-242.00000,-77.00000,-567.00000,-506.00000,75.00000,-242.00000
2021-12-31,639.00000,772.00000,364.00000,1136.00000,-59.00000,-268.00000,-16.00000,-469.00000,1306.00000,-654.00000,-737.00000,-20.00000,-20.00000,16.00000,-1395.00000,587.00000,-8.00000,579.00000,,,-234.00000,-59.00000,286.00000,194.00000,62.00000,-234.00000
2020-12-31,567.00000,568.00000,-270.00000,298.00000,27.00000,-28.00000,99.00000,319.00000,1184.00000,-445.00000,-449.00000,-2.00000,-2.00000,30.00000,-866.00000,847.00000,8.00000,855.00000,-216.00000,-216.00000,-183.00000,-19.00000,437.00000,818.00000,41.00000,-183.00000
2019-12-31,797.00000,439.00000,-79.00000,360.00000,19.00000,-36.00000,-1.00000,-149.00000,1008.00000,-472.00000,14.00000,-53.00000,-53.00000,22.00000,-489.00000,-141.00000,,-141.00000,-100.00000,-100.00000,-168.00000,-11.00000,-420.00000,93.00000,42.00000,-168.00000
2018-12-31,985.00000,431.00000,-13.00000,418.00000,-43.00000,-53.00000,-105.00000,-277.00000,1126.00000,-546.00000,,-6.00000,-6.00000,38.00000,-514.00000,-7.00000,-34.00000,-41.00000,-150.00000,-150.00000,-177.00000,-15.00000,-383.00000,194.00000,53.00000,-177.00000
2017-12-31,483.00000,408.00000,434.00000,842.00000,-168.00000,-85.00000,-82.00000,-145.00000,1180.00000,-560.00000,-186.00000,-3.00000,-3.00000,-3.00000,-752.00000,-17.00000,-88.00000,-105.00000,-100.00000,-100.00000,-154.00000,-4.00000,-363.00000,101.00000,52.00000,-154.00000
2016-12-31,636.70000,391.40000,123.90000,515.30000,-137.50000,-36.50000,-63.00000,-116.30000,1035.70000,-500.60000,85.80000,,,10.60000,-404.20000,-189.00000,-129.10000,-318.10000,-288.00000,-288.00000,-113.40000,-14.30000,-733.80000,-134.00000,43.60000,-113.40000
2015-12-31,613.90000,320.20000,115.30000,435.50000,-81.80000,-52.90000,-104.50000,-181.50000,867.90000,-577.30000,-1199.60000,,,17.80000,-1759.10000,1539.40000,-316.70000,1222.70000,-349.80000,-349.80000,-116.70000,-19.60000,736.60000,-220.10000,40.20000,-116.70000
2014-12-31,687.50000,330.40000,118.10000,448.50000,-248.70000,-39.70000,-146.20000,-334.20000,801.80000,-563.00000,-110.50000,,,8.40000,-665.10000,-301.10000,493.20000,192.10000,-139.90000,-139.90000,-137.20000,-116.70000,-201.70000,-141.70000,32.10000,-137.20000
2013-12-31,651.00000,299.40000,40.90000,340.30000,-91.70000,-14.80000,-169.10000,-272.50000,718.80000,-417.80000,,,,33.00000,-384.80000,212.50000,-44.40000,168.10000,-225.50000,-225.50000,-70.10000,-7.90000,-135.40000,223.80000,36.60000,-70.10000
2012-12-31,522.40000,288.60000,93.30000,381.90000,43.80000,-5.30000,-81.90000,-25.60000,878.70000,-407.40000,56.80000,,,5.40000,-345.20000,67.50000,12.80000,80.30000,-243.90000,-243.90000,-21.90000,-3.10000,-188.60000,356.10000,56.70000,-21.90000
2011-12-31,570.60000,303.30000,34.40000,337.70000,-150.60000,-38.60000,-48.50000,-200.10000,708.20000,-393.70000,-203.70000,,,32.90000,-564.50000,55.50000,67.60000,123.10000,-304.60000,-304.60000,-13.90000,-24.30000,-219.70000,-90.30000,21.80000,-13.90000
2010-12-31,396.20000,271.20000,-21.70000,249.50000,-239.00000,-79.00000,4.50000,-106.80000,538.90000,-276.60000,-164.70000,,,11.80000,-429.50000,256.10000,-29.80000,226.30000,-258.60000,-258.60000,-10.90000,30.00000,-13.20000,92.50000,22.80000,-10.90000
2009-12-31,36.40000,273.60000,24.00000,297.60000,-106.60000,143.00000,-111.40000,17.00000,351.00000,-172.00000,-5.90000,,,23.10000,-154.80000,217.10000,-114.70000,102.40000,39.90000,39.90000,-22.60000,-74.90000,44.80000,254.00000,22.00000,-22.60000
