,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-505.00000,1053.00000,2456.00000,3509.00000,-532.00000,-417.00000,241.00000,-289.00000,2715.00000,-4551.00000,-242.00000,-443.00000,-232.00000,-675.00000,-368.00000,-5836.00000,2815.00000,737.00000,3552.00000,,60.00000,-687.00000,833.00000,3758.00000,603.00000,-687.00000
2021-12-31,-951.00000,1056.00000,3159.00000,4215.00000,-170.00000,-93.00000,-577.00000,-1362.00000,1902.00000,-2116.00000,-563.00000,97.00000,-427.00000,-330.00000,-42.00000,-3051.00000,-387.00000,382.00000,-5.00000,,1167.00000,-685.00000,320.00000,797.00000,-343.00000,-685.00000
2020-12-31,152.00000,1068.00000,1245.00000,2313.00000,48.00000,-20.00000,389.00000,290.00000,2755.00000,-1900.00000,33.00000,-26.00000,-332.00000,-358.00000,-70.00000,-2295.00000,597.00000,-59.00000,538.00000,,112.00000,-803.00000,75.00000,-78.00000,255.00000,-803.00000
2019-12-31,478.00000,1045.00000,982.00000,2027.00000,73.00000,28.00000,-51.00000,-39.00000,2466.00000,-2405.00000,-14.00000,-104.00000,-324.00000,-428.00000,126.00000,-2721.00000,547.00000,291.00000,838.00000,,,-789.00000,-135.00000,-86.00000,-431.00000,-789.00000
2018-12-31,1565.00000,1003.00000,-39.00000,964.00000,-206.00000,-36.00000,1.00000,-186.00000,2343.00000,-2121.00000,1954.00000,-109.00000,-145.00000,-254.00000,-84.00000,-505.00000,-416.00000,-373.00000,-789.00000,,,-684.00000,-170.00000,-1643.00000,215.00000,-684.00000
2017-12-31,-777.00000,1169.00000,2177.00000,3346.00000,-177.00000,-28.00000,-76.00000,-65.00000,2504.00000,-2177.00000,-501.00000,230.00000,-89.00000,141.00000,-62.00000,-2599.00000,534.00000,414.00000,948.00000,,,-741.00000,-164.00000,43.00000,-172.00000,-741.00000
2016-12-31,-777.00000,1176.00000,1765.00000,2941.00000,237.00000,42.00000,1092.00000,553.00000,2897.00000,-2345.00000,486.00000,-247.00000,-6.00000,-253.00000,-24.00000,-2136.00000,4.00000,32.00000,36.00000,55.00000,55.00000,-766.00000,-72.00000,-747.00000,9.00000,-766.00000
2015-12-31,762.00000,1144.00000,657.00000,1801.00000,-378.00000,-26.00000,-117.00000,-437.00000,2134.00000,-2308.00000,121.00000,50.00000,-3.00000,47.00000,-226.00000,-2366.00000,596.00000,22.00000,618.00000,-21.00000,-21.00000,-602.00000,33.00000,28.00000,-231.00000,-602.00000
2014-12-31,1147.00000,1245.00000,329.00000,1574.00000,-520.00000,-48.00000,-280.00000,-1022.00000,1791.00000,-2016.00000,1079.00000,-120.00000,,-120.00000,401.00000,-656.00000,106.00000,2.00000,108.00000,-308.00000,-308.00000,-629.00000,-433.00000,-1262.00000,-119.00000,-629.00000
2013-12-31,551.00000,1294.00000,1181.00000,2475.00000,146.00000,16.00000,157.00000,-344.00000,2715.00000,-1988.00000,163.00000,-82.00000,,-82.00000,133.00000,-1774.00000,427.00000,-22.00000,405.00000,-322.00000,-322.00000,-676.00000,-543.00000,-1136.00000,-258.00000,-676.00000
2012-12-31,-357.00000,1394.00000,1899.00000,3293.00000,-241.00000,24.00000,-134.00000,-68.00000,2901.00000,-2062.00000,619.00000,530.00000,-89.00000,441.00000,107.00000,-895.00000,-169.00000,-321.00000,-490.00000,-301.00000,-301.00000,-925.00000,-151.00000,-1867.00000,276.00000,-925.00000
2011-12-31,1530.00000,1262.00000,-109.00000,1153.00000,-236.00000,-141.00000,-59.00000,52.00000,2884.00000,-2313.00000,-2635.00000,215.00000,-155.00000,60.00000,-18.00000,-4906.00000,2575.00000,437.00000,3012.00000,-279.00000,-279.00000,-1088.00000,-233.00000,1412.00000,-736.00000,-1088.00000
2010-12-31,1059.00000,1178.00000,651.00000,1829.00000,-98.00000,10.00000,394.00000,608.00000,3465.00000,-2287.00000,341.00000,-9.00000,-97.00000,-106.00000,12.00000,-2040.00000,-919.00000,78.00000,-841.00000,1468.00000,1468.00000,-1245.00000,-88.00000,-706.00000,761.00000,-1245.00000
2009-12-31,1755.00000,1049.00000,-5.00000,1044.00000,62.00000,-34.00000,-396.00000,-588.00000,2211.00000,-2503.00000,2.00000,278.00000,-155.00000,123.00000,461.00000,-1917.00000,1338.00000,11.00000,1349.00000,,,-846.00000,107.00000,610.00000,908.00000,-846.00000
