,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,11391.00000,1652.00000,-2298.00000,-646.00000,-2073.00000,74.00000,1736.00000,-249.00000,68.00000,10813.00000,-2194.00000,706.00000,-1488.00000,-2430.00000,-2430.00000,-1410.00000,-1410.00000,-1978.00000,-570.00000,-6388.00000,2986.00000,-1978.00000
2021-12-31,1594.00000,1629.00000,675.00000,2304.00000,-922.00000,511.00000,2925.00000,-339.00000,2119.00000,6017.00000,-1860.00000,-12.00000,-1872.00000,-1511.00000,-1511.00000,26.00000,26.00000,-1909.00000,-76.00000,-3470.00000,633.00000,-1909.00000
2020-12-31,-3714.00000,1417.00000,4734.00000,6151.00000,2023.00000,-71.00000,-2887.00000,92.00000,-326.00000,2111.00000,-2920.00000,-159.00000,-3079.00000,4127.00000,4127.00000,-433.00000,-433.00000,-1864.00000,-39.00000,1791.00000,900.00000,-1864.00000
2019-12-31,3377.00000,1364.00000,897.00000,2261.00000,-2308.00000,-204.00000,1941.00000,-14.00000,-830.00000,4808.00000,-3873.00000,185.00000,-3688.00000,476.00000,476.00000,-1445.00000,-1445.00000,-1811.00000,269.00000,-2511.00000,-1405.00000,-1811.00000
2018-12-31,5873.00000,1379.00000,594.00000,1973.00000,1320.00000,-202.00000,-1546.00000,-113.00000,-273.00000,7573.00000,-2639.00000,168.00000,-2471.00000,1040.00000,1040.00000,-4478.00000,-4478.00000,-1643.00000,-86.00000,-5167.00000,-100.00000,-1643.00000
2017-12-31,5248.00000,1340.00000,-3002.00000,-1662.00000,-1182.00000,-176.00000,1153.00000,104.00000,62.00000,3648.00000,-1832.00000,686.00000,-1146.00000,-170.00000,-170.00000,-350.00000,-350.00000,-1515.00000,-76.00000,-2111.00000,408.00000,-1515.00000
2016-12-31,1644.00000,1189.00000,-371.00000,818.00000,-1258.00000,216.00000,1579.00000,-147.00000,501.00000,2963.00000,-2844.00000,-314.00000,-3158.00000,1257.00000,1257.00000,-36.00000,-36.00000,-1357.00000,-42.00000,-178.00000,-363.00000,-1357.00000
2015-12-31,4280.00000,1099.00000,555.00000,1654.00000,2129.00000,-144.00000,-2300.00000,324.00000,-221.00000,5713.00000,-5764.00000,26.00000,-5738.00000,243.00000,243.00000,-1097.00000,-1097.00000,-1218.00000,-45.00000,-2117.00000,-2133.00000,-1218.00000
2014-12-31,4797.00000,1019.00000,-1267.00000,-248.00000,2226.00000,-85.00000,-3323.00000,-316.00000,-1020.00000,3529.00000,-3773.00000,1477.00000,-2296.00000,2438.00000,2438.00000,-2281.00000,-2281.00000,-1092.00000,-427.00000,-1362.00000,-193.00000,-1092.00000
2013-12-31,3743.00000,971.00000,433.00000,1404.00000,481.00000,38.00000,360.00000,20.00000,880.00000,6027.00000,-1779.00000,1335.00000,-444.00000,-1020.00000,-1020.00000,-1836.00000,-1836.00000,-817.00000,-6.00000,-3679.00000,1926.00000,-817.00000
2012-12-31,4131.00000,931.00000,374.00000,1305.00000,-132.00000,60.00000,-985.00000,-48.00000,-1140.00000,4296.00000,-1701.00000,166.00000,-1535.00000,6584.00000,6584.00000,-309.00000,-309.00000,-287.00000,-5289.00000,699.00000,3474.00000,-287.00000
2011-12-31,4780.00000,923.00000,-1011.00000,-88.00000,-189.00000,620.00000,55.00000,28.00000,314.00000,5006.00000,-1016.00000,3508.00000,2492.00000,-26.00000,-26.00000,,,-1.00000,-7471.00000,-7498.00000,0.00000,-1.00000
2010-12-31,740.00000,902.00000,649.00000,1551.00000,-3019.00000,-344.00000,3003.00000,-2.00000,-199.00000,2092.00000,-1150.00000,498.00000,-652.00000,-26.00000,-26.00000,,,,-1414.00000,-1440.00000,0.00000,0.00000
2009-12-31,479.00000,903.00000,-833.00000,70.00000,-2087.00000,237.00000,2606.00000,183.00000,397.00000,946.00000,-2461.00000,488.00000,-1973.00000,-25.00000,-25.00000,,,,1052.00000,1027.00000,,
