,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2021-12-31,-701.00000,978.00000,3298.00000,4276.00000,-884.00000,-2620.00000,5113.00000,702.00000,3063.00000,6638.00000,-2240.00000,-1232.00000,-50.00000,-8524.00000,428.00000,-8096.00000,-33.00000,-11651.00000,-514.00000,181.00000,-333.00000,-813.00000,-813.00000,4206.00000,3060.00000,-2188.00000,1433.00000
2020-12-31,7561.26400,929.90900,-4833.48800,-3903.57900,-63.16200,122.50700,1700.35000,239.55600,2862.51700,6520.20200,217.12200,-235.65000,102.89000,-5455.65100,-1966.21800,-7421.86900,-1522.35300,-8859.86000,1012.73500,-278.32910,734.40590,4791.67300,4859.57200,5298.22000,10892.20000,7773.63200,636.92600
2019-12-31,1707.90400,837.14800,-101.02000,736.12820,565.48500,-1998.85200,1492.62300,317.93400,1115.56800,3559.60000,-1.98010,-155.21200,-5.94400,-3229.48400,-957.20300,-4186.68700,708.61500,-3641.20800,275.44200,-857.50400,-582.06200,-2.70800,-2.70800,954.28200,369.51200,346.20600,530.74600
2018-12-31,-407.32200,808.67300,838.59800,1647.27100,623.51900,-340.63800,795.09600,-55.26700,1797.12800,3037.07700,-2487.43900,-620.62500,-2.84800,950.48900,-2914.14000,-1963.65100,1281.53100,-3793.03200,-1319.12100,-2.99300,-1322.11400,490.80600,2811.91600,142.06900,1631.87100,1120.43100,532.32300
2017-12-31,-2.86200,644.40900,288.40000,932.80900,-83.91700,-1965.53100,4012.44800,197.03300,2885.01300,3814.96000,-506.32200,-736.87300,-2424.24000,-319.25000,-2125.53800,-2444.78800,348.87500,-5763.35100,862.33790,-254.66000,607.67790,20.86400,20.86400,2327.82100,2956.36300,909.37000,427.28800
2016-12-31,-491.67800,523.31100,797.89110,1321.20200,-1396.69000,-1205.51400,1972.30200,380.04900,433.18890,1262.71300,-341.64400,-104.96500,,-609.35300,-3722.07800,-4331.43100,-2174.08100,-6952.12100,2374.94900,762.36600,3137.31500,-757.00400,195.36000,2529.26800,5861.94300,274.78400,337.57500
2015-12-31,-1492.26400,416.32970,1255.24700,1708.88200,-1141.65700,-1288.81700,2024.31100,-65.21780,-504.58540,-287.96680,-694.25540,-148.20200,-46.15270,1844.52800,-181.11850,1663.41000,-282.65100,-362.85370,,711.88900,711.88900,12.03550,12.03550,22.56700,747.16220,150.88890,189.79120
2014-12-31,-809.56380,267.43720,704.97600,976.17540,-323.12900,-935.54600,790.19500,475.73670,-2.14770,164.46380,-398.76540,-71.45870,204.21340,-1822.97600,-68.23650,-1891.21300,123.91100,-2139.33300,,153.01780,153.01780,2827.05700,2827.05700,,2980.07500,988.76240,688.55760
2013-12-31,-8.11920,47.69750,35.67700,82.84040,-3.77400,-269.64100,443.92000,319.80250,506.13070,580.85190,-191.55940,-18.67750,,-130.16950,0.18910,-129.98050,-211.83900,-434.61180,,12.22100,12.22100,442.58860,442.58860,,454.80960,591.46490,42.49590
2012-12-31,-282.59500,30.34800,36.92200,67.27000,-37.08000,-325.16300,679.07000,-7.85800,444.67400,229.34900,-97.60000,-67.69600,,-339.87000,-0.32700,-340.19700,-45.07200,-550.56500,,142.49000,142.49000,323.79000,323.79000,,466.28000,145.18200,36.76900
