,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,4166.00000,1500.00000,-121.00000,1379.00000,-101.00000,140.00000,91.00000,91.00000,5619.00000,-1887.00000,-227.00000,-50.00000,-50.00000,33.00000,-2131.00000,1814.00000,1814.00000,-4731.00000,-4731.00000,-852.00000,,-3769.00000,-281.00000,-852.00000
2021-12-31,3781.00000,1420.00000,-287.00000,1133.00000,-141.00000,128.00000,114.00000,173.00000,5099.00000,-1262.00000,-541.00000,-70.00000,-70.00000,-4.00000,-1877.00000,-426.00000,-426.00000,-2886.00000,-2886.00000,-839.00000,39.00000,-4112.00000,-890.00000,-839.00000
2020-12-31,2765.00000,1383.00000,145.00000,1528.00000,83.00000,-20.00000,-100.00000,2.00000,4263.00000,-1570.00000,,998.00000,998.00000,-77.00000,-649.00000,255.00000,255.00000,-867.00000,-867.00000,-797.00000,-34.00000,-1443.00000,2171.00000,-797.00000
2019-12-31,3331.00000,1349.00000,122.00000,1471.00000,45.00000,98.00000,-28.00000,117.00000,4850.00000,-1403.00000,,-730.00000,-730.00000,31.00000,-2102.00000,1482.00000,1482.00000,-3373.00000,-3373.00000,-763.00000,6.00000,-2648.00000,100.00000,-763.00000
2018-12-31,3309.00000,1331.00000,110.00000,1441.00000,-46.00000,104.00000,54.00000,8.00000,4641.00000,-1426.00000,,-231.00000,-231.00000,-27.00000,-1684.00000,2981.00000,2981.00000,-4671.00000,-4671.00000,-751.00000,-59.00000,-2500.00000,457.00000,-751.00000
2017-12-31,5471.00000,1315.00000,-3332.00000,-2017.00000,-70.00000,41.00000,44.00000,35.00000,3472.00000,-1943.00000,,411.00000,411.00000,37.00000,-1495.00000,517.00000,517.00000,-1970.00000,-1970.00000,-708.00000,-18.00000,-2179.00000,-202.00000,-708.00000
2016-12-31,1714.00000,1301.00000,-23.00000,1278.00000,84.00000,40.00000,-78.00000,69.00000,3041.00000,-2203.00000,,396.00000,396.00000,9.00000,-1798.00000,781.00000,781.00000,-1056.00000,-1056.00000,-680.00000,-313.00000,-1268.00000,-25.00000,-680.00000
2015-12-31,1968.00000,1208.00000,326.00000,1534.00000,149.00000,-79.00000,-202.00000,-194.00000,3370.00000,-2415.00000,,-514.00000,-514.00000,37.00000,-2892.00000,971.00000,971.00000,-804.00000,-804.00000,-686.00000,,-519.00000,-41.00000,-686.00000
2014-12-31,1927.00000,1151.00000,287.00000,1438.00000,-119.00000,1.00000,8.00000,-36.00000,3343.00000,-2387.00000,,241.00000,241.00000,-37.00000,-2183.00000,67.00000,67.00000,-517.00000,-517.00000,-629.00000,-4.00000,-1083.00000,77.00000,-629.00000
2013-12-31,1864.00000,1104.00000,230.00000,1334.00000,-6.00000,28.00000,149.00000,104.00000,3267.00000,-2260.00000,,145.00000,145.00000,-112.00000,-2227.00000,-280.00000,-280.00000,-344.00000,-344.00000,-600.00000,-8.00000,-1232.00000,-192.00000,-600.00000
2012-12-31,1863.00000,1059.00000,151.00000,1210.00000,61.00000,-4.00000,-106.00000,-63.00000,2946.00000,-2155.00000,,-52.00000,-52.00000,-70.00000,-2277.00000,592.00000,592.00000,-720.00000,-720.00000,-558.00000,18.00000,-668.00000,1.00000,-558.00000
2011-12-31,1854.00000,976.00000,584.00000,1560.00000,-117.00000,76.00000,12.00000,87.00000,3491.00000,-2057.00000,,-418.00000,-418.00000,-112.00000,-2587.00000,595.00000,595.00000,-1535.00000,-1535.00000,-480.00000,7.00000,-1413.00000,-509.00000,-480.00000
2010-12-31,1563.00000,947.00000,495.00000,1442.00000,38.00000,58.00000,101.00000,225.00000,3261.00000,-1732.00000,,41.00000,41.00000,-80.00000,-1771.00000,687.00000,687.00000,-1410.00000,-1410.00000,-372.00000,-132.00000,-1227.00000,263.00000,-372.00000
2009-12-31,1143.00000,903.00000,180.00000,1083.00000,91.00000,-4.00000,-83.00000,-5.00000,2039.00000,-1381.00000,,0.00000,,9.00000,-1372.00000,177.00000,177.00000,34.00000,34.00000,-345.00000,-173.00000,-307.00000,360.00000,-345.00000
