,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,449.70000,171.80000,23.10000,194.90000,-55.40000,-113.50000,-24.80000,-5.50000,-253.40000,391.20000,-43.20000,,-158.10000,,,,-25.00000,-226.30000,224.60000,224.60000,-408.30000,-408.30000,-15.30000,-199.00000,-54.70000,120.40000
2021-12-31,492.80000,179.90000,71.00000,250.90000,-9.00000,-72.90000,60.30000,-25.70000,6.80000,750.50000,-46.10000,,-168.80000,,,,11.40000,-203.50000,-251.00000,-251.00000,-195.10000,-195.10000,-1.60000,-447.70000,88.00000,122.60000
2020-12-31,390.60000,197.50000,60.30000,257.80000,-14.00000,-5.00000,-15.70000,23.40000,23.60000,672.00000,-56.80000,,-174.40000,,,,-0.60000,-231.80000,-312.20000,-312.20000,-71.60000,-71.60000,-16.50000,-400.30000,48.50000,83.00000
2019-12-31,514.50000,207.20000,-157.60000,49.60000,-96.00000,-21.30000,14.50000,160.00000,10.80000,585.00000,-68.60000,,-220.30000,,,,13.60000,-275.30000,-127.50000,-127.50000,-150.70000,-150.70000,-14.40000,-292.60000,16.70000,75.00000
2018-12-31,283.30000,215.20000,42.30000,257.50000,-51.00000,-45.00000,-2.00000,15.10000,-64.30000,486.70000,-67.60000,,-1763.50000,179.00000,,179.00000,2.50000,-1649.60000,1051.30000,1051.30000,-52.80000,-52.80000,-9.10000,989.40000,-186.00000,76.90000
2017-12-31,118.50000,183.40000,37.30000,220.70000,-42.70000,-37.30000,25.70000,105.30000,85.00000,429.70000,-43.70000,,-280.20000,-68.20000,,-68.20000,20.90000,-371.20000,290.60000,290.60000,-211.50000,-211.50000,-12.60000,66.50000,142.40000,64.80000
2016-12-31,132.20000,187.80000,71.00000,258.80000,3.80000,26.20000,10.80000,-1.00000,40.10000,431.10000,-26.00000,,-23.70000,-110.90000,,-110.90000,13.70000,-146.90000,-110.30000,-110.30000,-52.00000,-52.00000,-15.00000,-177.30000,100.10000,52.60000
2015-12-31,120.70000,199.10000,53.40000,252.50000,8.80000,-2.90000,-6.40000,20.50000,-16.20000,357.00000,-43.90000,,-144.20000,,-5.50000,-5.50000,21.20000,-172.40000,-0.20000,-0.20000,-204.70000,-204.70000,,-204.90000,-32.00000,50.10000
2014-12-31,213.90000,191.60000,16.30000,207.90000,-13.20000,-31.80000,-7.20000,38.80000,-14.70000,407.10000,-47.30000,-7.60000,-307.90000,0.00000,-10.90000,-10.90000,29.70000,-344.00000,-23.90000,-23.90000,-41.70000,-41.70000,14.10000,-51.50000,0.80000,43.40000
2013-12-31,218.20000,189.50000,-6.90000,182.60000,-1.80000,-11.40000,-15.80000,17.60000,13.80000,414.60000,-70.90000,-0.20000,-258.80000,,2.40000,2.40000,2.70000,-324.80000,-159.60000,-159.60000,47.70000,47.70000,13.50000,-98.40000,-10.60000,36.50000
2012-12-31,189.71600,149.39800,-21.99500,127.40300,-29.40500,-8.40200,25.98500,8.61500,23.58100,340.70000,-54.07100,-1.17000,-728.11400,,13.17800,13.17800,5.89100,-764.28600,341.87510,341.87510,59.18700,59.18700,25.34500,426.40700,3.15000,32.66000
2011-12-31,148.90900,106.41100,-15.49900,90.91200,-1.73300,-30.13900,-4.31000,29.29400,1.80800,241.62900,-23.27800,,-759.73700,,12.39800,12.39800,-2.94800,-773.56500,403.53600,403.53600,45.86900,45.86900,14.76200,464.16700,-66.16700,28.45100
2010-12-31,103.61300,75.83700,-10.76500,65.07200,-4.85800,-45.54900,13.57700,1.08000,-44.65500,124.03000,-23.13300,-2.06300,-136.41900,,-8.19200,-8.19200,13.43300,-156.37400,-0.49800,-0.49800,-29.30500,-29.30500,9.63900,-20.16400,-53.06000,23.12500
2009-12-31,63.96300,71.46700,14.16300,85.63000,-0.41900,13.29200,2.63100,24.85600,45.03800,194.63100,-12.70600,-26.83900,-52.01800,5.00000,-0.75000,4.25000,3.38700,-83.92600,-0.18300,-0.18300,14.85500,14.85500,1.45300,16.12500,131.31700,18.65900
