,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,-932.00000,692.00000,2238.00000,2930.00000,-1526.00000,-1071.00000,3428.00000,1124.00000,3122.00000,-356.00000,901.00000,,22.00000,22.00000,,567.00000,-885.00000,,-885.00000,-1000.00000,-1000.00000,-559.00000,-19.00000,-2463.00000,1310.00000,81.00000,-559.00000
2021-06-30,612.00000,783.00000,745.00000,1528.00000,-904.00000,-1584.00000,2325.00000,289.00000,2429.00000,-400.00000,-3.00000,,25.00000,25.00000,,-378.00000,-570.00000,,-570.00000,-200.00000,-200.00000,-573.00000,26.00000,-1317.00000,636.00000,89.00000,-573.00000
2020-06-30,-3693.00000,913.00000,-1321.00000,-408.00000,82.00000,-409.00000,-162.00000,6061.00000,1960.00000,-373.00000,,,866.00000,866.00000,,493.00000,-1399.00000,-2.00000,-1401.00000,-350.00000,-350.00000,-569.00000,120.00000,-2200.00000,240.00000,90.00000,-569.00000
2019-06-30,1365.00000,1000.00000,-398.00000,602.00000,-751.00000,-551.00000,1864.00000,755.00000,2722.00000,-328.00000,681.00000,,-15.00000,-15.00000,,338.00000,-1102.00000,,-1102.00000,-600.00000,-600.00000,-577.00000,-14.00000,-2293.00000,768.00000,82.00000,-577.00000
2018-06-30,259.00000,1032.00000,570.00000,1602.00000,-871.00000,-1211.00000,2574.00000,907.00000,2768.00000,-384.00000,-5280.00000,,56.00000,56.00000,,-5608.00000,-951.00000,-50.00000,-1001.00000,-550.00000,-550.00000,-581.00000,-144.00000,-2276.00000,-5116.00000,85.00000,-581.00000
2017-06-30,1294.00000,717.00000,440.00000,1157.00000,-665.00000,-673.00000,564.00000,-1267.00000,1184.00000,-387.00000,-129.00000,-194.00000,305.00000,111.00000,,-405.00000,4861.00000,3.00000,4864.00000,-600.00000,-600.00000,-577.00000,59.00000,3746.00000,4523.00000,96.00000,-577.00000
2016-06-30,1431.00000,641.00000,276.00000,917.00000,-866.00000,-1179.00000,2815.00000,623.00000,2971.00000,-465.00000,-3601.00000,-200.00000,186.00000,-14.00000,,-4080.00000,-6.00000,26.00000,20.00000,-651.00000,-651.00000,-512.00000,4.00000,-1139.00000,-2260.00000,111.00000,-512.00000
2015-06-30,1215.00000,451.00000,422.00000,873.00000,-870.00000,-779.00000,1948.00000,452.00000,2540.00000,-247.00000,-503.00000,,-99.00000,-99.00000,,-849.00000,1451.00000,-12.00000,1439.00000,-1036.00000,-1036.00000,-460.00000,117.00000,60.00000,1751.00000,110.00000,-460.00000
2014-06-30,1166.00000,459.00000,144.00000,603.00000,925.00000,142.00000,-196.00000,755.00000,2524.00000,-249.00000,-519.00000,,-82.00000,-82.00000,,-850.00000,-2.00000,114.00000,112.00000,-673.00000,-673.00000,-415.00000,266.00000,-710.00000,964.00000,96.00000,-415.00000
2013-06-30,334.00000,397.00000,1005.00000,1402.00000,216.00000,-370.00000,426.00000,-9.00000,1727.00000,-195.00000,-2239.00000,,59.00000,59.00000,,-2375.00000,981.00000,-1.00000,980.00000,-329.00000,-329.00000,-353.00000,-23.00000,275.00000,-373.00000,93.00000,-353.00000
2012-06-30,1069.00000,325.00000,216.00000,541.00000,-129.00000,-495.00000,319.00000,-434.00000,1176.00000,-260.00000,-174.00000,,57.00000,57.00000,,-377.00000,245.00000,13.00000,258.00000,-408.00000,-408.00000,-300.00000,-4.00000,-454.00000,345.00000,85.00000,-300.00000
2011-06-30,959.00000,313.00000,169.00000,482.00000,-457.00000,-665.00000,1356.00000,-46.00000,1395.00000,-288.00000,-2300.00000,,560.00000,560.00000,,-2028.00000,266.00000,46.00000,312.00000,-207.00000,-207.00000,-274.00000,-24.00000,-193.00000,-826.00000,80.00000,-274.00000
2010-06-30,642.00000,254.00000,363.00000,617.00000,21.00000,477.00000,451.00000,875.00000,2134.00000,-260.00000,126.00000,,271.00000,271.00000,-10.00000,127.00000,-1552.00000,,-1552.00000,-190.00000,-190.00000,-253.00000,1268.00000,-727.00000,1534.00000,100.00000,-253.00000
2009-06-30,1151.60000,225.80000,403.90000,629.70010,-713.60000,-431.20000,768.10000,-357.40010,1423.90000,-421.20000,7.60000,,,,-129.30000,-542.90000,-301.40000,,-301.40000,39.20000,39.20000,-200.40000,-5.60000,-468.20000,412.80000,109.90000,-200.40000
