,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,2948.90000,1571.30000,217.60000,1788.90000,-486.50000,-16.40000,-1258.40000,-1638.30000,3099.50000,-140.20000,-379.00000,-11.70000,,-6483.50000,-6483.50000,,-7014.40000,17057.00000,,17057.00000,-1872.90000,-1872.90000,-1659.00000,128.30000,13653.40000,9639.80000,201.70000,-1659.00000
2021-06-30,2598.50000,1515.50000,-83.30000,1432.20000,-339.80000,36.90000,-1029.40000,-937.40000,3093.30000,-159.80000,-327.30000,,,-3027.90000,-3027.90000,,-3515.00000,9315.90000,,9315.90000,-1268.20000,-1268.20000,-1575.50000,-34.70000,6437.50000,6089.60000,175.30000,-1575.50000
2020-06-30,2466.50000,1445.20000,234.50000,1679.70000,-113.80000,-18.30000,-910.40000,-1120.00000,3026.20000,-143.30000,-443.70000,,,3743.30000,3743.30000,,3156.30000,-3215.40000,,-3215.40000,-956.30000,-956.30000,-1470.50000,-248.40000,-5890.60000,257.40000,130.80000,-1470.50000
2019-06-30,2292.80000,1333.10000,268.20000,1601.30000,-473.90000,-10.70000,-987.20000,-1205.80000,2688.30000,-154.10000,-404.50000,-125.50000,,-1513.60000,-1513.60000,,-2197.70000,1693.90000,,1693.90000,-864.80000,-864.80000,-1293.00000,256.20000,-207.70000,254.10000,167.30000,-1293.00000
2018-06-30,1884.90000,1286.50000,385.30000,1671.80000,-291.80000,-1.90000,-858.30000,-1041.50000,2515.20000,-205.70000,-264.70000,-612.40000,,-1421.80000,-1421.80000,,-2504.60000,333.10000,,333.10000,-920.00000,-920.00000,-1063.70000,-5.30000,-1655.90000,-1639.50000,175.40000,-1063.70000
2017-06-30,1787.80000,1189.90000,120.10000,1310.00000,23.40000,-11.60000,-1139.40000,-971.90000,2125.90000,-240.20000,-230.40000,146.60000,,-789.19970,-789.19970,,-1113.20000,-6122.60000,,-6122.60000,-1163.90000,-1163.90000,-995.20000,,-8281.70000,-7277.00000,138.90000,-995.20000
2016-06-30,1492.50000,382.70000,151.00000,533.70010,-224.60000,-15.90000,-108.90000,-128.90000,1897.30000,-152.80000,-217.50000,162.20000,,-660.89990,-660.89990,,-869.00000,10800.10000,,10800.10000,-1080.40000,-1080.40000,-943.60000,-23.40000,8752.70000,9772.30000,137.60000,-943.60000
2015-06-30,1452.50000,378.20000,292.30000,670.50000,-175.10000,13.10000,-109.10000,-149.00000,1974.00000,-135.20000,-176.70000,-89.50000,,-1206.60000,-1206.60000,-2152.30000,-3760.30000,6072.10000,-2173.00000,3899.10000,-1448.10000,-1448.10000,-927.60000,24.90000,1548.30000,-344.30000,143.20000,-927.60000
2014-06-30,1515.90000,361.00000,88.00000,449.00000,-170.70000,9.60000,-246.20000,-143.50000,1821.40000,-159.40000,-143.60000,24.40000,,-1355.40000,-1355.40000,2447.30000,813.30000,-2992.80000,2173.00000,-819.80000,-473.10000,-473.10000,-883.10000,-182.20000,-2358.20000,284.50000,117.10000,-883.10000
2013-06-30,1405.80000,330.50000,193.80000,524.30000,-183.70000,-10.60000,-273.80000,-352.90000,1577.20000,-120.30000,-104.90000,119.40000,,-1264.00000,-1264.00000,-208.60000,-1578.40000,1121.00000,,1121.00000,-441.60000,-441.60000,-805.50000,277.10000,151.00000,151.00000,82.00000,-805.50000
2012-06-30,1388.50000,379.30000,111.00000,490.30000,-41.70000,10.30000,-71.70000,31.40000,1910.20000,-68.50000,-109.50000,-265.70000,,-1151.30000,-1151.30000,4838.60000,3243.60000,-3728.60000,,-3728.60000,-491.30000,-491.30000,-739.70000,5.70000,-4953.90000,158.70000,94.10000,-739.70000
2011-06-30,1254.20000,368.20000,250.00000,618.20000,-137.30000,-24.60000,-82.10000,-166.60000,1705.80000,-168.80000,-95.80000,-776.00000,,-1465.80000,-1465.80000,-4834.20000,-7340.60000,6285.20000,,6285.20000,-254.60000,-254.60000,-692.40000,1.00000,5339.20000,-253.90000,90.30000,-692.40000
2010-06-30,1211.40000,366.50000,221.60000,588.10000,-108.80000,34.70000,30.00000,-117.40000,1682.10000,-99.80000,-123.80000,-78.40000,,-439.80000,-439.80000,-1637.70000,-2379.50000,2017.50000,-730.00000,1287.50000,-525.30000,-525.30000,-673.40000,0.20000,89.00000,-622.00000,67.60000,-673.40000
2009-06-30,1332.60000,366.00000,124.50000,490.50000,-152.60000,-9.70000,-85.60000,-260.50000,1562.60000,-132.10000,-96.00000,-67.10000,-211.10010,583.89990,372.79980,-721.70000,-644.10000,863.30000,742.49990,1605.80000,-497.70000,-497.70000,-629.40000,-10.30000,468.40000,1347.80000,96.00000,-629.40000
