,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,6998.00000,2246.00000,86.00000,2332.00000,-169.00000,-120.00000,5.00000,8.00000,9362.00000,-3426.00000,,0.00000,,-45.00000,-3471.00000,3789.00000,-205.00000,3584.00000,-6282.00000,-6282.00000,-3159.00000,-30.00000,-5887.00000,4.00000,-3159.00000
2021-12-31,6523.00000,2208.00000,56.00000,2264.00000,-217.00000,17.00000,31.00000,203.00000,9032.00000,-2758.00000,,24.00000,24.00000,25.00000,-2709.00000,2632.00000,325.00000,2957.00000,-7291.00000,-7291.00000,-2800.00000,-24.00000,-7158.00000,-835.00000,-2800.00000
2020-12-31,5349.00000,2210.00000,225.00000,2435.00000,90.00000,113.00000,-34.00000,266.00000,8540.00000,-2778.00000,,5.00000,5.00000,97.00000,-2676.00000,1623.00000,-127.00000,1496.00000,-3705.00000,-3705.00000,-2626.00000,-67.00000,-4902.00000,962.00000,-2626.00000
2019-12-31,5919.00000,2216.00000,546.00000,2762.00000,160.00000,-9.00000,87.00000,-170.00000,8609.00000,-3379.00000,,15.00000,15.00000,-71.00000,-3435.00000,2782.00000,-6.00000,2776.00000,-5804.00000,-5804.00000,-2598.00000,-20.00000,-5646.00000,-472.00000,-2598.00000
2018-12-31,5966.00000,2191.00000,308.00000,2499.00000,-262.00000,7.00000,-24.00000,-126.00000,8686.00000,-3374.00000,,0.00000,,-37.00000,-3411.00000,5156.00000,194.00000,5350.00000,-8225.00000,-8225.00000,-2299.00000,-48.00000,-5222.00000,53.00000,-2299.00000
2017-12-31,10712.00000,2105.00000,-5178.00000,-3073.00000,-235.00000,-32.00000,9.00000,-127.00000,7230.00000,-3070.00000,,-30.00000,-30.00000,14.00000,-3086.00000,1895.00000,,1895.00000,-4013.00000,-4013.00000,-1982.00000,-46.00000,-4146.00000,-2.00000,-1982.00000
2016-12-31,4233.00000,2038.00000,737.00000,2775.00000,98.00000,19.00000,22.00000,745.00000,7525.00000,-3376.00000,,-60.00000,-60.00000,43.00000,-3393.00000,779.00000,,779.00000,-3105.00000,-3105.00000,-1879.00000,-41.00000,-4246.00000,-114.00000,-1879.00000
2015-12-31,4772.00000,2012.00000,621.00000,2633.00000,255.00000,-24.00000,-47.00000,-177.00000,7344.00000,-4399.00000,,,,-77.00000,-4476.00000,2772.00000,,2772.00000,-3465.00000,-3465.00000,-2344.00000,-26.00000,-3063.00000,-195.00000,-2344.00000
2014-12-31,5180.00000,1904.00000,826.00000,2730.00000,-197.00000,-59.00000,-35.00000,-309.00000,7385.00000,-4208.00000,,,,-41.00000,-4249.00000,1878.00000,,1878.00000,-3225.00000,-3225.00000,-1632.00000,-3.00000,-2982.00000,154.00000,-1632.00000
2013-12-31,4388.00000,1777.00000,691.00000,2468.00000,-83.00000,7.00000,1.00000,161.00000,6823.00000,-3398.00000,,,,-7.00000,-3405.00000,514.00000,,514.00000,-2218.00000,-2218.00000,-1333.00000,-12.00000,-3049.00000,369.00000,-1333.00000
2012-12-31,3943.00000,1760.00000,887.00000,2647.00000,70.00000,-46.00000,-108.00000,-269.00000,6161.00000,-3658.00000,-274.00000,,,299.00000,-3633.00000,-63.00000,,-63.00000,-1474.00000,-1474.00000,-1146.00000,1.00000,-2682.00000,-154.00000,-1146.00000
2011-12-31,3292.00000,1617.00000,986.00000,2603.00000,-217.00000,-80.00000,178.00000,276.00000,5873.00000,-3153.00000,,,,34.00000,-3119.00000,-476.00000,,-476.00000,-1418.00000,-1418.00000,-837.00000,108.00000,-2623.00000,131.00000,-837.00000
2010-12-31,2780.00000,1487.00000,672.00000,2159.00000,-518.00000,-59.00000,-17.00000,-351.00000,4105.00000,-2415.00000,,,,-73.00000,-2488.00000,-616.00000,,-616.00000,-1249.00000,-1249.00000,-602.00000,86.00000,-2381.00000,-764.00000,-602.00000
2009-12-31,1890.00000,1427.00000,556.00000,1983.00000,-72.00000,-25.00000,-106.00000,-293.00000,3204.00000,-2267.00000,,,,122.00000,-2145.00000,-28.00000,,-28.00000,,,-544.00000,114.00000,-458.00000,601.00000,-544.00000
