,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-05-31,1235.75700,399.70100,119.13800,518.83890,-100.39200,16.19400,22.69700,-139.91300,-216.97100,1537.62500,-225.32500,-164.22800,,-6.07600,-6.07600,-7.00600,-402.63500,251.70600,251.70600,-1525.87300,-1525.87300,-375.11900,111.34300,-1537.94300,-403.16900,109.30800,-375.11900
2021-05-31,1110.96800,387.95100,52.87700,440.82800,-32.57600,-75.50100,-2.60400,-138.25900,-191.05600,1360.74000,-111.76500,-10.03800,,-4.29900,-4.29900,-11.11300,-137.21500,,,-554.12100,-554.12100,-451.32700,125.58000,-879.86800,348.23800,112.03500,-451.32700
2020-05-31,876.03700,379.05300,108.40300,487.45600,39.68100,-74.77300,2.62900,-97.47500,-72.01000,1291.48300,-216.98900,-53.72000,,-10.03100,-10.03100,-4.65800,-285.39800,-312.50000,-312.50000,-464.51800,-464.51800,-267.95600,89.76700,-955.20700,48.75700,115.43500,-267.95600
2019-05-31,884.98100,360.09300,98.34500,458.43800,-94.91800,-60.03900,12.27600,-190.99300,-275.55700,1067.86200,-273.51900,-9.81300,-17.84100,73.34200,55.50100,-7.80700,-235.63800,312.50000,312.50000,-1016.30000,-1016.30000,-220.76400,51.25900,-873.30500,-42.07900,139.21000,-220.76400
2018-05-31,842.58600,279.41600,-102.86000,176.55600,-66.26700,-3.32300,35.27500,-79.82500,-54.98200,964.16000,-271.69900,108.48900,26.14900,,26.14900,1.36300,-135.69800,-550.00000,-600.50000,-127.31900,-127.31900,-175.58900,39.26800,-864.14000,-30.54200,112.83500,-175.58900
2017-05-31,480.70800,196.59500,167.88500,364.48000,-93.55700,-0.66800,13.72600,15.46900,-81.30100,763.88700,-273.31700,-2074.09500,37.25900,,37.25900,-0.19600,-2310.34900,1682.22900,1732.72900,-20.72400,-20.72400,-142.43300,8.93000,1578.50200,29.90900,88.86800,-142.43300
2016-05-31,693.52000,165.27900,-349.86600,-184.58700,-52.76200,-17.91700,-0.56400,-7.27100,-43.08800,465.84500,-275.38500,459.59600,-59.96700,,-59.96700,4.13700,128.38100,-0.01600,-0.01600,-780.15100,-780.15100,-115.27300,28.71600,-866.72400,-277.71600,79.29300,-115.27300
2015-05-31,430.61800,155.08200,11.40700,166.48900,-1.44300,23.78500,-33.44500,-35.19600,-16.83100,580.27600,-217.72000,146.27700,-33.53300,29.93300,-3.60000,120.03000,44.98700,-0.51800,-0.51800,-551.97000,-551.97000,-201.89100,41.81900,-712.56000,-96.21500,47.00200,-201.89100
2014-05-31,374.44200,190.86200,10.74300,201.60500,-56.23100,-11.06200,30.44600,-13.61200,29.92200,605.96900,-145.58000,145.91800,-9.66200,,-9.66200,-5.21900,-14.54300,-8.18700,-8.18700,-370.59900,-370.59900,-93.32000,42.37100,-429.73500,161.01500,29.87500,-93.32000
2013-05-31,315.44200,189.37700,71.33300,260.71000,-42.70400,10.99700,25.02300,-47.46000,-23.40400,552.74800,-196.48600,-69.37000,-16.98600,,-16.98600,-1.33900,-284.18100,24.36400,24.36400,-215.68100,-215.68100,-79.74400,15.00300,-256.05800,12.44800,23.31000,-79.74400
2012-05-31,297.63700,194.16500,77.03900,271.20400,-24.26100,-2.33000,-12.55700,-61.77500,-98.97900,469.86200,-160.80200,-24.86400,79.36100,,79.36100,2.01100,-104.29400,-1.32300,-1.32300,-392.32800,-392.32800,-70.82000,3.89600,-460.57500,-98.28100,20.31200,-70.82000
2011-05-31,246.98900,193.46700,63.11100,256.57800,-48.98600,-78.82400,29.21500,-57.82000,-162.68100,340.88600,-182.59200,-171.55200,60.74900,,60.74900,-5.19800,-298.59300,500.07300,500.07300,-443.69000,-443.69000,-71.81200,-4.60900,-20.03800,26.82500,15.20300,-71.81200
2010-05-31,215.62000,193.14100,28.64400,221.78500,5.22200,30.29300,8.93900,7.87900,128.24900,565.65400,-111.07800,-50.44400,-46.55700,,-46.55700,0.49700,-207.58200,-0.60300,-0.60300,-0.96900,-0.96900,-73.96000,-0.97700,-76.50900,281.53600,15.34900,-73.96000
2009-05-31,226.35700,200.10600,59.66700,259.77300,71.14900,35.13600,-24.56000,24.71200,37.39200,523.52200,-160.09200,-30.90900,-11.96900,,-11.96900,-0.25100,-203.22100,-157.14900,-157.14900,-25.84700,-25.84700,-72.20700,0.85500,-254.34800,63.52100,11.95300,-72.20700
