,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-167.00000,2427.00000,1398.00000,3825.00000,-868.00000,-228.00000,-6219.00000,-6011.00000,-2353.00000,-1637.00000,,-4271.00000,-4271.00000,9012.00000,3104.00000,-1406.00000,-923.00000,-2329.00000,-185.00000,1715.00000,-799.00000,-48.00000,-185.00000
2021-12-31,-83.00000,4540.00000,-1460.00000,3080.00000,-616.00000,-68.00000,-4253.00000,-4335.00000,-1338.00000,-451.00000,,-6673.00000,-6673.00000,10406.00000,3282.00000,47.00000,1242.00000,1289.00000,-1832.00000,-1152.00000,-1695.00000,249.00000,-1832.00000
2020-12-31,579.00000,3636.00000,-269.00000,3367.00000,1125.00000,-77.00000,-4253.00000,-3362.00000,584.00000,-1701.00000,,-3464.00000,-3464.00000,7123.00000,1958.00000,-1729.00000,520.00000,-1209.00000,-1734.00000,279.00000,-2664.00000,-122.00000,-1734.00000
2019-12-31,1217.00000,3063.00000,-24.00000,3039.00000,-186.00000,-47.00000,-1204.00000,-1383.00000,2873.00000,-1793.00000,-41.00000,-10087.00000,-10087.00000,10054.00000,-1867.00000,-771.00000,320.00000,-451.00000,-899.00000,-110.00000,-1460.00000,-454.00000,-899.00000
