,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,12882.00000,6832.00000,-11915.00000,-5083.00000,-9492.00000,31579.00000,,-2607.00000,19249.00000,27048.00000,,,-704.00000,19230.00000,18526.00000,-61002.00000,-42476.00000,34150.00000,16564.00000,50714.00000,-6033.00000,-6033.00000,-5293.00000,-99033.00000,-59645.00000,-75073.00000,,-4178.00000
2021-12-31,23238.00000,7890.00000,-17641.00000,-9751.00000,-57630.00000,19334.00000,,11817.00000,-25012.00000,-11525.00000,,,-551.00000,-11247.00000,-11798.00000,4179.00000,-7619.00000,-45859.00000,-24590.00000,-70449.00000,-14464.00000,-15383.00000,-3627.00000,78221.00000,-11238.00000,-30382.00000,,-2422.00000
2020-12-31,3662.00000,8219.00000,17864.00000,26083.00000,-59369.00000,43214.00000,,-13475.00000,-27694.00000,2051.00000,,,36468.00000,28663.00000,65131.00000,57423.00000,122554.00000,-27211.00000,-45513.00000,-72724.00000,-3415.00000,-3901.00000,-6142.00000,81524.00000,-1243.00000,123362.00000,,-4852.00000
2019-12-31,20206.00000,6573.00000,-3744.00000,2829.00000,-45154.00000,22066.00000,,4071.00000,-16305.00000,6730.00000,,,-21933.00000,3226.00000,-18707.00000,-10924.00000,-29631.00000,-7615.00000,-1275.00000,-8890.00000,-24533.00000,-26083.00000,-9589.00000,35426.00000,-9136.00000,-32037.00000,,-8198.00000
2018-12-31,22876.00000,5593.00000,-1582.00000,4011.00000,-34774.00000,35054.00000,,9771.00000,9186.00000,36073.00000,,,-1184.00000,-5279.00000,-6463.00000,-1291.00000,-7754.00000,7030.00000,2531.00000,9561.00000,-20332.00000,-22482.00000,-9314.00000,-48744.00000,-70979.00000,-42660.00000,2255.00000,-7692.00000
2017-12-31,22460.00000,5406.00000,3722.00000,9128.00000,-45958.00000,33505.00000,,-5353.00000,-12969.00000,18619.00000,,,-21497.00000,-3512.00000,-25009.00000,11857.00000,-13152.00000,-37227.00000,14020.00000,-23207.00000,-9090.00000,-8413.00000,-9109.00000,29809.00000,-10920.00000,-5453.00000,2046.00000,-7480.00000
2016-12-31,22045.00000,4970.00000,1171.00000,6141.00000,-78272.00000,63309.00000,,-12004.00000,-27178.00000,1008.00000,,-30584.00000,-15747.00000,-66330.00000,-82077.00000,-29258.00000,-141919.00000,55649.00000,-1198.00000,54451.00000,-7195.00000,-5094.00000,-9038.00000,82472.00000,122791.00000,-18120.00000,1945.00000,-7472.00000
2015-12-31,23276.00000,3288.00000,-4361.00000,-1073.00000,-45093.00000,42754.00000,,-2457.00000,-6299.00000,15904.00000,,-3.00000,-11866.00000,-39425.00000,-51291.00000,-55941.00000,-107235.00000,15697.00000,34010.00000,49707.00000,-7650.00000,-4678.00000,-8826.00000,54668.00000,90871.00000,-460.00000,1958.00000,-7400.00000
2014-12-31,23608.00000,2515.00000,1448.00000,3963.00000,-27662.00000,14242.00000,,-3400.00000,-10042.00000,17529.00000,,-174.00000,-41778.00000,-43231.00000,-85009.00000,-43197.00000,-128380.00000,26325.00000,8035.00000,34360.00000,-7574.00000,-4799.00000,-8143.00000,89085.00000,110503.00000,-348.00000,1912.00000,-6908.00000
2013-12-31,22224.00000,3293.00000,-449.00000,2844.00000,-5352.00000,43638.00000,-32.00000,1464.00000,32573.00000,57641.00000,407.00000,,-78184.00000,-42348.00000,-120532.00000,-33367.00000,-153492.00000,27804.00000,-3390.00000,24414.00000,-3132.00000,13.00000,-6970.00000,76453.00000,93910.00000,-1941.00000,1920.00000,-5953.00000
