,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,8749.00000,979.00000,95.00000,1074.00000,-194.00000,-847.00000,106.00000,120.00000,-699.00000,8720.00000,-2794.00000,,-826.00000,,-826.00000,37.00000,-3583.00000,994.00000,994.00000,-3374.00000,-3374.00000,-4297.00000,-41.00000,-6718.00000,-1581.00000,289.00000,-4297.00000
2021-12-31,7769.00000,954.00000,188.00000,1142.00000,-287.00000,45.00000,33.00000,119.00000,-103.00000,8756.00000,-2387.00000,,-1646.00000,,-1646.00000,-62.00000,-4095.00000,945.00000,945.00000,-150.00000,-150.00000,-3886.00000,-46.00000,-3137.00000,1524.00000,230.00000,-3886.00000
2020-12-31,5595.00000,992.00000,83.00000,1075.00000,-340.00000,46.00000,63.00000,-88.00000,-437.00000,6139.00000,-645.00000,,-241.00000,,-241.00000,-36.00000,-922.00000,998.00000,998.00000,-2083.00000,-2083.00000,-3426.00000,-36.00000,-4547.00000,670.00000,224.00000,-3426.00000
2019-12-31,5017.00000,1050.00000,275.00000,1325.00000,133.00000,216.00000,-93.00000,294.00000,342.00000,6649.00000,-817.00000,,-1135.00000,,-1135.00000,32.00000,-1920.00000,741.00000,741.00000,-2421.00000,-2421.00000,-3008.00000,-42.00000,-4730.00000,-1.00000,217.00000,-3008.00000
2018-12-31,5580.00000,954.00000,124.00000,1078.00000,71.00000,-282.00000,-7.00000,705.00000,638.00000,7189.00000,-1122.00000,,1067.00000,,1067.00000,-23.00000,-78.00000,1000.00000,1000.00000,-4727.00000,-4727.00000,-2555.00000,-47.00000,-6329.00000,782.00000,232.00000,-2555.00000
2017-12-31,3682.00000,904.00000,354.00000,1258.00000,-7.00000,-167.00000,,97.00000,439.00000,5363.00000,-655.00000,,-460.00000,,-460.00000,-12.00000,-1127.00000,474.00000,474.00000,-2073.00000,-2073.00000,-2104.00000,-31.00000,-3734.00000,502.00000,242.00000,-2104.00000
2016-12-31,3595.00000,955.00000,10.00000,965.00000,-108.00000,-99.00000,72.00000,-154.00000,80.00000,4614.00000,-531.00000,,-113.00000,,-113.00000,-6.00000,-650.00000,-501.00000,-501.00000,-1660.00000,-1660.00000,-1646.00000,-3.00000,-3810.00000,154.00000,252.00000,-1646.00000
2015-12-31,2986.00000,1133.00000,146.00000,1279.00000,77.00000,93.00000,,71.00000,117.00000,4397.00000,-441.00000,,125.00000,,125.00000,14.00000,-302.00000,-502.00000,-502.00000,-2345.00000,-2345.00000,-1444.00000,-3.00000,-4294.00000,-199.00000,286.00000,-1444.00000
2014-12-31,2821.00000,1230.00000,143.00000,1373.00000,-49.00000,-53.00000,,7.00000,-219.00000,4054.00000,-243.00000,,-141.00000,,-141.00000,7.00000,-377.00000,-502.00000,-502.00000,-2277.00000,-2277.00000,-1323.00000,-3.00000,-4105.00000,-428.00000,277.00000,-1323.00000
2013-12-31,2162.00000,1297.00000,331.00000,1628.00000,16.00000,26.00000,,-108.00000,-254.00000,3384.00000,-391.00000,,342.00000,,342.00000,46.00000,-3.00000,-514.00000,-514.00000,-1554.00000,-1554.00000,-1175.00000,73.00000,-3170.00000,211.00000,287.00000,-1175.00000
2012-12-31,1759.00000,1401.00000,249.00000,1650.00000,311.00000,5.00000,,-36.00000,68.00000,3414.00000,-495.00000,,-604.00000,,-604.00000,60.00000,-1039.00000,117.00000,117.00000,-1277.00000,-1277.00000,-819.00000,28.00000,-1951.00000,424.00000,263.00000,-819.00000
2011-12-31,2236.00000,1108.00000,319.00000,1427.00000,112.00000,-17.00000,,-210.00000,-275.00000,3256.00000,-800.00000,-5425.00000,-98.00000,,-98.00000,151.00000,-6172.00000,4497.00000,4497.00000,-1283.00000,-1283.00000,-644.00000,19.00000,2589.00000,-327.00000,269.00000,-644.00000
2010-12-31,3228.00000,913.00000,-142.00000,771.00000,-231.00000,-304.00000,,18.00000,-233.00000,3820.00000,-1051.00000,-199.00000,54.00000,139.00000,193.00000,,-1057.00000,,,-2047.00000,-2047.00000,-592.00000,13.00000,-2626.00000,137.00000,190.00000,-592.00000
2009-12-31,1470.00000,925.00000,332.00000,1257.00000,-364.00000,177.00000,,115.00000,-18.00000,2643.00000,-753.00000,-155.00000,-243.00000,55.00000,-188.00000,,-1096.00000,,,-845.00000,-845.00000,-567.00000,1.00000,-1411.00000,136.00000,186.00000,-567.00000
