,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1344.40000,392.40000,373.10000,765.50000,-159.30000,-546.60000,21.30000,-107.70000,-619.10000,1490.80000,-532.40000,-12.80000,3254.40000,-1338.40000,1916.00000,1370.80000,-2373.60000,-2373.60000,-198.70000,-2572.30000,294.70000,513.20000
2021-12-31,1728.10000,332.20000,397.20000,729.40000,-142.30000,-256.00000,36.00000,-172.30000,-368.10000,2089.40000,-339.50000,-22.70000,4267.80000,-6367.10000,-2099.30000,-2461.50000,276.50000,276.50000,-233.50000,43.00000,-332.50000,449.20000
2020-12-31,1066.80000,293.30000,397.90000,691.20000,5.70000,-170.10000,-32.30000,-96.80000,-273.20000,1484.80000,-341.50000,-37.70000,2930.80000,-3492.20000,-561.39990,-940.60000,174.50000,174.50000,-260.20000,-85.70000,455.90000,395.40000
2019-12-31,1381.80000,216.10000,321.80000,537.90000,38.80000,-360.50000,12.30000,-69.50000,-321.50000,1598.20000,-425.60000,-59.70000,,-669.09990,-669.09990,-1154.40000,3.30000,3.30000,-171.70000,-168.40000,273.20000,335.80000
2018-12-31,1125.00000,133.40000,294.90000,428.30000,-161.30000,-279.00000,16.70000,13.70000,-383.70000,1169.60000,-187.40000,-87.90000,,-774.29990,-774.29990,-1049.60000,236.60000,236.60000,-110.30000,126.30000,246.20000,261.20000
2017-12-31,670.90000,110.00000,290.50000,400.50000,-81.40000,-115.50000,14.00000,224.20000,72.50000,1143.90000,-190.70000,,,569.40010,569.40010,378.70000,-1858.50000,-1858.50000,-54.60000,-1913.10000,-388.40000,209.10000
2016-12-31,738.30000,102.20000,264.20000,366.40000,-34.20000,-46.70000,15.90000,28.60000,-17.70000,1087.00000,-53.90000,,,-1225.50000,-1225.50000,-1279.40000,538.40000,538.40000,-24.00000,514.40000,322.00000,177.60000
2015-12-31,588.80000,115.90000,194.00000,309.90000,-79.20000,-10.70000,-11.30000,-12.80000,-92.50000,806.20000,-81.00000,,233.10000,-1001.60000,-768.50000,-849.50000,177.40000,177.40000,-18.30000,159.10000,114.30000,167.90000
2014-12-31,418.80000,108.30000,123.80000,232.10000,-13.70000,-26.80000,17.70000,15.60000,14.20000,665.10000,-105.60000,-84.30000,1380.60000,-1344.60000,36.00000,-153.90000,-716.40000,-716.40000,24.00000,-692.40000,-181.80000,168.90000
2013-12-31,671.00000,104.10000,126.90000,231.00000,68.90000,-70.00000,-8.90000,21.30000,-22.00000,880.00000,-104.60000,,363.60000,,363.60000,259.00000,-948.60000,-948.60000,38.00000,-910.60000,228.40000,168.90000
2012-12-31,656.60000,57.80000,165.30000,223.10000,-68.90000,-7.10000,8.40000,-6.60000,-65.50000,814.20000,-114.20000,-27.60000,,-703.90000,-703.90000,-845.70000,25.00000,25.00000,94.20000,119.20000,87.90000,153.30000
2011-12-31,495.10000,69.10000,133.30000,202.40000,-51.10000,-25.30000,10.30000,18.70000,-19.90000,677.60000,-82.90000,,1136.10000,-1532.20000,-396.10000,-479.00000,-71.20000,-71.20000,58.80000,-12.40000,186.00000,136.40000
2010-12-31,381.80000,58.20000,88.80000,147.00000,-41.50000,-29.20000,8.10000,27.60000,17.00000,545.80000,-96.00000,,987.10000,-1385.40000,-398.30000,-494.30000,-57.50000,-57.50000,65.20000,7.70000,58.40000,117.60000
2009-12-31,232.60000,34.60000,87.00000,121.60000,-35.30000,5.90000,7.00000,15.00000,38.00000,392.20000,-53.40000,,,-246.10000,-246.10000,-299.50000,-91.30000,-91.30000,25.10000,-66.20000,26.80000,97.00000
