,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1029.80000,458.90000,91.40000,550.30000,39.30000,-75.20000,-18.10000,-11.00000,-85.10000,1495.00000,-822.00000,,-7.40000,-7.40000,-4.30000,-833.70000,-1.70000,-1.70000,-522.60000,-522.60000,-420.30000,-15.40000,-960.00000,-298.70000,35.60000,-420.30000
2021-12-31,841.10000,421.90000,118.50000,540.40000,-227.20000,-105.50000,12.20000,-2.70000,-287.40000,1094.10000,-597.20000,-194.90000,-0.50000,-0.50000,-1.80000,-794.40000,-67.50000,-67.50000,-193.00000,-193.00000,-379.80000,-15.30000,-655.60000,-355.90000,35.50000,-379.80000
2020-12-31,461.00000,467.70000,26.30000,493.99990,13.20000,6.30000,39.70000,0.40000,77.80000,1032.80000,-416.60000,,-3.10000,-3.10000,-6.40000,-426.10000,-1.50000,-1.50000,,,-299.60000,-10.50000,-311.60000,295.10000,30.00000,-299.60000
2019-12-31,696.40000,410.90000,90.80000,501.70000,56.40000,1.40000,-32.40000,-6.90000,9.30000,1207.40000,-395.40000,,-146.10000,-146.10000,-5.10000,-546.60000,-34.40000,-34.40000,,,-298.70000,-9.70000,-342.80000,318.00000,30.40000,-298.70000
2018-12-31,738.00000,419.50000,75.50000,495.00000,-56.10000,-35.60000,-17.60000,-2.10000,-52.90000,1180.10000,-549.90000,-56.30000,,,-2.00000,-608.20000,-151.30000,-151.30000,,,-268.10000,-7.90000,-427.30000,144.60000,23.50000,-268.10000
2017-12-31,668.60000,401.40000,-67.80000,333.60000,-115.10000,-21.00000,41.00000,-5.20000,-146.10000,856.10000,-326.40000,-273.80000,,,-8.90000,-609.10000,-14.10000,-14.10000,,,-237.60000,-17.70000,-269.40000,-22.40000,20.60000,-237.60000
2016-12-31,449.60000,365.80000,-13.40000,352.40000,-3.60000,-25.70000,16.60000,,4.90000,806.90000,-273.80000,-485.40000,,,-10.40000,-769.60000,347.50000,347.50000,-100.30000,-100.30000,-216.10000,-13.30000,17.80000,55.10000,19.70000,-216.10000
2015-12-31,436.80000,364.30000,31.30000,395.60000,9.50000,-11.90000,-37.30000,4.10000,-63.80000,768.60000,-313.00000,23.00000,,,-8.10000,-298.10000,-47.60000,-47.60000,-154.70000,-154.70000,-200.80000,-8.10000,-411.20000,59.30000,18.20000,-200.80000
2014-12-31,392.60000,390.80000,49.70000,440.50000,-8.50000,-72.40000,-36.00000,-5.10000,-97.00000,736.10000,-420.20000,-20.50000,,,-10.40000,-451.10000,-193.60000,-193.60000,3.70000,3.70000,-157.40000,-3.80000,-351.10000,-66.10000,15.60000,-157.40000
2013-12-31,441.30000,217.90000,-42.30000,175.60000,-31.20000,25.00000,54.20000,-1.90000,-8.70000,608.20000,-234.40000,-1174.50000,,,-2.50000,-1411.40000,923.29990,923.29990,-4.90000,-4.90000,-109.10000,-22.50000,786.80000,-16.40000,14.80000,-109.10000
2012-12-31,160.20000,175.40000,143.50000,318.90000,-25.00000,-6.40000,-40.40000,-0.80000,-74.90000,404.20000,-128.50000,-35.40000,,,56.40000,-107.50000,-40.20000,-40.20000,-25.30000,-25.30000,-117.80000,-62.30000,-245.60000,51.10000,11.70000,-117.80000
2011-12-31,158.02700,162.83900,45.18500,208.02400,-16.94600,-8.33300,-0.69400,-0.61600,-20.53700,345.51400,-280.21300,-57.34000,,,-12.61200,-350.16500,149.33000,149.33000,-118.01100,-118.01100,-76.01200,9.10100,-35.59200,-40.24300,9.73600,-76.01200
2010-12-31,205.43500,155.10000,35.32800,190.42800,-50.25600,-28.35200,25.36700,-3.95600,-45.94300,349.92000,-318.68700,,,,-2.62700,-321.31400,-0.62600,-0.62600,-31.40500,-31.40500,-61.79800,1.05200,-92.77700,-64.17100,7.00600,-61.79800
2009-12-31,265.89500,150.14300,-135.79200,14.35100,13.60200,-5.49800,22.47500,-9.45800,25.88500,306.13100,-114.08300,-3.13600,,,-2.10500,-119.32400,-0.60600,-0.60600,1.61500,1.61500,-76.89800,0.41200,-75.47700,111.33000,7.26100,-76.89800
