,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,4605.28600,333.73900,1.62600,335.36500,-1287.68000,-1351.34400,167.88400,551.45200,-1796.22600,3099.67400,-546.03400,,1165.88400,,1165.88400,-7.57500,612.27500,-11.88900,-11.88900,-3751.80300,-3751.80300,-815.29000,0.04500,-4578.93700,-897.21500,259.06400,-815.29000
2021-06-30,3908.45800,307.15100,68.68700,375.83800,-928.92800,-792.59100,184.61500,448.81900,-678.74110,3588.16300,-349.09600,,464.52210,,464.52210,-42.15500,73.27100,-862.06000,-862.06000,-2575.81700,-2575.81700,-726.99200,-2.11300,-4166.98200,-498.33300,220.16400,-726.99200
2020-06-30,2251.75300,268.52500,171.42000,439.94500,-641.82700,-411.60800,208.47800,61.85300,-571.87500,2126.45100,-203.23900,,-14.99990,,-14.99990,-25.84500,-244.08400,1307.11400,1307.11400,-1276.12600,-1276.12600,-656.83800,1.92000,-623.93000,1255.68700,189.19700,-656.83800
2019-06-30,2191.43000,309.28100,182.25400,491.53500,732.13800,281.35500,-131.47200,-195.93800,491.52400,3176.01300,-303.49100,,-1326.20800,,-1326.20800,-7.35500,-1637.05400,1997.31300,1997.31300,-3695.83700,-3695.83700,-678.34800,-13.20800,-2390.08000,-855.16200,187.23400,-678.34800
2018-06-30,2380.68100,340.82300,217.71800,558.54100,-501.62800,-701.00800,35.65500,98.02200,-317.19300,2655.74700,-273.46900,-115.69700,3152.88600,,3152.88600,-15.18400,2748.53600,-396.09000,-396.09000,-2568.36700,-2568.36700,-307.60900,0.00900,-3272.05700,2134.81900,172.21600,-307.60900
2017-06-30,1697.76300,332.18700,291.11200,623.29900,-411.28700,-307.87500,126.81900,231.20400,-310.83200,2029.28200,-156.12800,,-1883.88600,,-1883.88600,-12.81500,-2052.82900,-1688.31300,-1688.31300,-739.09600,-739.09600,-243.49500,38.51000,-2632.39400,-2656.00400,149.97500,-243.49500
2016-06-30,914.04900,361.55000,78.11900,439.66900,-169.03400,-66.37100,41.64500,-19.53500,-52.22900,1350.27700,-95.60000,,798.82800,,798.82800,-110.74500,592.48300,1886.64700,1886.64700,-98.99200,-98.99200,-190.40200,-1.50800,1595.74500,3537.78300,142.34800,-190.40200
2015-06-30,655.57700,394.91400,131.89700,526.81100,-294.15500,-207.46200,76.61700,33.65000,-409.54100,785.50300,-198.26500,40.07500,-949.74010,,-949.74010,1.83400,-1106.09600,990.71000,990.71000,-506.91700,-506.91700,-116.05900,10.73800,378.47200,48.86200,135.35400,-116.05900
2014-06-30,632.28900,327.73600,39.68700,367.42290,-201.54900,-190.05800,18.70400,-1.03700,-295.33200,717.04900,10.89400,-30.22700,-283.96600,,-283.96600,38.08500,-265.21400,-1.65800,-1.65800,-167.14200,-167.14200,,6.06500,-162.73500,290.20400,103.70000,
2013-06-30,113.87900,338.03600,32.94200,370.97800,162.63400,76.35100,-58.08100,60.72300,197.87500,719.93300,-160.13500,-9.91600,-58.40510,,-58.40510,-10.18100,-238.63700,-2.23400,-2.23400,-885.01700,-885.01700,,-0.53900,-887.79000,-402.27900,99.33000,
2012-06-30,168.72300,127.85300,124.55300,252.40600,66.06400,73.98700,12.14500,33.93500,66.15600,499.02800,-104.59500,418.68100,-52.72900,8.37500,-44.35400,-0.00600,269.72600,-5.26500,-5.26500,-745.36200,-745.36200,,57.88000,-692.74700,72.62000,81.55900,
2011-06-30,723.74800,78.31300,59.35500,137.66800,-89.71600,-77.46100,42.32000,8.73000,21.95300,881.02800,-125.95100,,-353.94000,,-353.94000,-0.02200,-479.91300,697.17600,697.17600,-43.89100,-43.89100,,-126.29900,526.98600,946.36500,53.01200,
2010-06-30,346.66900,71.40100,89.33400,160.73500,-246.65300,-79.70100,71.60000,53.76000,-159.88100,350.71300,-35.59000,,-77.98700,-0.80000,-78.78700,11.02100,-103.35600,-20.70400,-20.70400,-62.19400,-62.19400,,10.23400,-72.66400,171.60000,50.46300,
2009-06-30,-302.14800,168.67200,141.07200,309.74400,152.08600,46.05200,-39.38100,-76.57600,-95.07800,-78.12900,-44.28200,-19.45700,173.76400,-8.37500,165.38900,-95.64500,6.00500,-255.42200,-255.42200,0.86500,0.86500,,-6.27300,-260.83000,-358.37000,53.04200,
