,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,576.50000,655.40000,140.60000,796.00000,-53.30000,-49.50000,-128.70000,-248.50000,1148.20000,-573.90000,,-479.20000,,,0.10000,-1053.00000,516.20000,-457.70000,58.50010,,,-212.60000,-21.10000,-175.20000,-80.00000,41.10000,-212.60000
2021-12-31,670.40000,467.60000,22.40000,490.00000,-42.00000,8.30000,-122.90000,-180.30000,1011.90000,-234.80000,,-1639.40000,,,0.10000,-1874.10000,1586.50000,-1451.70000,134.80000,,,-196.40000,-32.70000,-94.30000,-956.50000,34.70000,-196.40000
2020-12-31,584.50000,396.80000,120.50000,517.30000,13.40000,9.80000,-56.70000,-39.60000,1070.40000,-350.70000,,-42.20000,,,11.40000,-381.50000,748.40000,-250.00000,498.40000,-26.10000,-26.10000,-180.20000,-57.50000,234.60000,923.50000,33.00000,-180.20000
2019-12-31,617.70000,374.60000,110.40000,485.00000,-29.70000,-28.30000,-77.80000,-118.60000,984.10000,-361.40000,,-42.50000,,,-11.90000,-415.80000,,-133.00000,-133.00000,-2.60000,-2.60000,-164.00000,-38.60000,-338.20000,230.10000,31.80000,-164.00000
2018-12-31,515.80500,346.24600,-27.79900,318.44700,63.23000,-34.97600,-87.55700,-6.97400,832.77700,-446.87800,,-210.16300,,,-12.85000,-669.89100,850.00000,-759.05490,90.94510,-133.98300,-133.98300,-148.10900,-73.98100,-265.12800,-102.24200,25.21500,-148.10900
2017-12-31,601.18500,305.96500,-106.14000,199.82500,-81.56100,-14.12100,-84.79600,-169.35200,644.67800,-443.81000,,-822.43300,,,-3.24800,-1269.49100,2200.00000,-1463.30800,736.69200,-60.30300,-60.30300,-132.33500,-40.61400,503.44000,-121.37300,26.63500,-132.33500
2016-12-31,419.49100,284.94000,29.25400,314.19400,-72.76300,1.62500,-41.12500,-89.09700,644.58800,-326.83000,,-32.53700,,,2.17300,-357.19400,,-0.13000,-0.13000,-161.46300,-161.46300,-106.33300,-36.65900,-304.58500,-17.19100,20.67000,-106.33300
2015-12-31,221.17700,274.82300,46.04200,320.86500,-42.16400,-20.92500,-13.12700,-23.12000,519.53800,-281.04400,0.00000,-27.19800,,,-0.35000,-308.59200,400.00000,-460.06000,-60.06000,51.49600,51.49600,-53.21400,-5.23100,-67.00900,143.93700,18.24800,-53.21400
2014-12-31,204.92300,279.49700,-137.96300,141.53400,-25.11800,-5.59500,-55.12600,-85.45000,261.00700,-198.82400,721.35900,-284.23700,,,0.03300,238.33100,,-579.82900,-579.82900,54.12200,54.12200,-28.88400,2.78800,-551.80300,-52.46500,23.88400,-28.88400
2013-12-31,24.38200,307.10800,84.13100,391.23900,-42.26000,-7.70000,-13.71000,-59.12200,356.49900,-257.80400,51.60400,-89.95100,,,-0.03900,-296.19000,,-150.60200,-150.60200,13.58300,13.58300,-5.19100,0.16100,-142.04900,-81.74000,22.09300,-5.19100
2012-12-31,-52.59300,331.95900,-62.20300,269.75600,17.41200,-9.02800,0.61200,20.37800,238.47500,-12.52800,21.16600,,,,1.76100,10.39900,,-134.78000,-134.78000,10.46200,10.46200,-5.18300,0.26600,-129.23500,119.63900,17.47400,-5.18300
2011-12-31,-70.77800,361.71900,-119.95300,241.76600,5.03500,-6.92700,21.98700,-1.94500,169.04300,-85.23700,,64.20800,,,1.55000,-19.47900,1080.84700,-1028.57500,52.27210,8.55100,8.55100,-98.17200,-3.91700,-41.26600,108.29800,18.45400,-98.17200
2010-12-31,-96.49000,382.09300,-124.44600,257.64700,-49.65600,6.70800,5.65200,19.93800,202.70600,-72.72200,,-19.58000,,,3.92600,-88.37600,450.00000,-470.21600,-20.21600,62.23600,62.23600,-127.79200,-3.28200,-89.05400,25.27600,20.63700,-127.79200
2009-12-31,30.31400,394.61200,-78.25700,316.35500,79.93000,39.28900,4.72000,90.27500,453.03500,-91.97900,,-20.90500,33.28200,33.28200,-0.40000,-80.00200,35.93600,-847.96300,-812.02700,623.87300,623.87300,-171.46800,-1.34000,-360.96200,12.07100,23.12000,-171.46800
