,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,579.00000,366.00000,70.00000,436.00000,-196.00000,-22.00000,6.00000,-37.00000,-249.00000,766.00000,-284.00000,,-5.00000,-5.00000,21.00000,-268.00000,-376.00000,-24.00000,-400.00000,-52.00000,-52.00000,-192.00000,-14.00000,-658.00000,-160.00000,36.00000,-192.00000
2021-12-31,544.00000,301.00000,129.00000,430.00000,58.00000,-25.00000,45.00000,-292.00000,-214.00000,760.00000,-331.00000,-1623.00000,-22.00000,-22.00000,22.00000,-1954.00000,1625.00000,,1625.00000,-101.00000,-101.00000,-186.00000,-29.00000,1309.00000,115.00000,33.00000,-186.00000
2020-12-31,696.00000,254.00000,74.00000,328.00000,-70.00000,11.00000,344.00000,-216.00000,69.00000,1093.00000,-353.00000,-417.00000,,,11.00000,-759.00000,785.00000,-385.00000,400.00000,-84.00000,-84.00000,-172.00000,-41.00000,103.00000,437.00000,23.00000,-172.00000
2019-12-31,549.00000,259.00000,127.00000,386.00000,-51.00000,-11.00000,4.00000,19.00000,-39.00000,896.00000,-530.00000,-195.00000,,,98.00000,-627.00000,,,,-262.00000,-262.00000,-149.00000,-23.00000,-434.00000,-165.00000,30.00000,-149.00000
2018-12-31,836.00000,207.00000,37.00000,244.00000,195.00000,40.00000,335.00000,-736.00000,-166.00000,914.00000,-450.00000,-77.00000,-10.00000,-10.00000,61.00000,-476.00000,,,,-742.00000,-742.00000,-132.00000,-25.00000,-899.00000,-461.00000,36.00000,-132.00000
2017-12-31,479.00000,211.00000,254.00000,465.00000,-126.00000,18.00000,102.00000,-124.00000,-130.00000,814.00000,-373.00000,3.00000,,,21.00000,-349.00000,,,,-286.00000,-286.00000,-115.00000,-83.00000,-484.00000,-19.00000,34.00000,-115.00000
2016-12-31,573.00000,191.00000,107.00000,298.00000,-16.00000,75.00000,-41.00000,-67.00000,-49.00000,822.00000,-281.00000,-372.00000,,,,-653.00000,,,,-194.00000,-194.00000,-98.00000,-51.00000,-343.00000,-174.00000,36.00000,-98.00000
2015-12-31,404.00000,290.00000,56.00000,346.00000,-41.00000,54.00000,97.00000,1.00000,111.00000,861.00000,-156.00000,-6.00000,,,21.00000,-141.00000,-395.00000,,-395.00000,-232.00000,-232.00000,-81.00000,-108.00000,-816.00000,-96.00000,43.00000,-81.00000
2014-12-31,338.00000,252.00000,77.00000,329.00000,140.00000,53.00000,-86.00000,3.00000,88.00000,755.00000,-165.00000,-272.00000,,,,-437.00000,-79.00000,,-79.00000,-136.00000,-136.00000,-49.00000,-107.00000,-371.00000,-53.00000,34.00000,-49.00000
2013-12-31,261.00000,235.00000,-33.00000,202.00000,-218.00000,51.00000,69.00000,-101.00000,-227.00000,236.00000,-139.00000,,,,58.00000,-81.00000,-51.00000,,-51.00000,-112.00000,-112.00000,-25.00000,19.00000,-169.00000,-14.00000,44.00000,-25.00000
2012-12-31,146.00000,193.00000,43.00000,236.00000,-194.00000,116.00000,-14.00000,-37.00000,-50.00000,332.00000,-162.00000,,,,,-162.00000,-29.00000,,-29.00000,6.00000,6.00000,-5.00000,,-28.00000,142.00000,41.00000,-5.00000
2011-12-31,-100.00000,480.00000,66.00000,546.00000,17.00000,-87.00000,50.00000,102.00000,82.00000,528.00000,-197.00000,,,,,-197.00000,1753.00000,-954.00000,799.00000,2.00000,2.00000,-1429.00000,1212.00000,584.00000,915.00000,42.00000,-1429.00000
2010-12-31,131.00000,183.00000,5.00000,188.00000,-190.00000,5.00000,205.00000,41.00000,40.00000,359.00000,-191.00000,,,,2.00000,-189.00000,,,,,,,-170.00000,-170.00000,0.00000,0.00000,0.00000
2009-12-31,124.00000,186.00000,-3.00000,183.00000,-56.00000,-101.00000,-111.00000,-29.00000,-395.00000,-88.00000,-181.00000,,,,3.00000,-178.00000,,,,,,,266.00000,266.00000,0.00000,0.00000,0.00000
