,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2285.00000,2019.00000,861.00000,2880.00000,-976.00000,-17.00000,430.00000,-3431.00000,-4023.00000,1142.00000,-5357.00000,-314.00000,-314.00000,632.00000,-5039.00000,5474.00000,-1266.00000,4208.00000,-474.00000,-474.00000,-1474.00000,1519.00000,3779.00000,-119.00000,71.00000,-1430.00000
2021-12-31,1463.00000,1855.00000,-59.00000,1796.00000,-599.00000,-87.00000,263.00000,1044.00000,583.00000,3842.00000,-4977.00000,-633.00000,-633.00000,102.00000,-5508.00000,-1716.00000,1913.00000,197.00000,-334.00000,-334.00000,-1430.00000,2827.00000,1260.00000,-404.00000,63.00000,-1331.00000
2020-12-31,4105.00000,1666.00000,-2580.00000,-914.00000,-328.00000,-35.00000,74.00000,-217.00000,-600.00000,2591.00000,-4657.00000,-652.00000,-652.00000,5862.00000,553.00000,187.00000,-1759.00000,-1572.00000,-555.00000,336.00000,-1331.00000,194.00000,-2373.00000,768.00000,71.00000,-1174.00000
2019-12-31,2362.00000,1569.00000,-359.00000,1210.00000,-97.00000,-22.00000,17.00000,-216.00000,-484.00000,3088.00000,-2809.00000,-1797.00000,-1797.00000,13.00000,-4593.00000,629.00000,656.00000,1285.00000,1804.00000,1804.00000,-1135.00000,-479.00000,1475.00000,-29.00000,75.00000,-993.00000
2018-12-31,1126.00000,1491.00000,697.00000,2188.00000,-145.00000,32.00000,96.00000,131.00000,202.00000,3516.00000,-1964.00000,-10168.00000,-10168.00000,-338.00000,-12470.00000,5585.00000,-84.00000,5501.00000,2251.00000,4509.00000,-966.00000,-194.00000,8850.00000,-118.00000,83.00000,-877.00000
2017-12-31,351.00000,1436.00000,1659.00000,3095.00000,29.00000,-42.00000,84.00000,186.00000,179.00000,3625.00000,-3690.00000,-269.00000,-269.00000,-926.00000,-4885.00000,1673.00000,-39.00000,1634.00000,32.00000,32.00000,-755.00000,281.00000,1192.00000,-61.00000,82.00000,-755.00000
2016-12-31,1519.00000,1312.00000,-392.00000,920.00000,,,,-138.00000,-138.00000,2311.00000,-3451.00000,-1404.00000,-1404.00000,20.00000,-4835.00000,894.00000,692.00000,1586.00000,-5.00000,-5.00000,-687.00000,1608.00000,2502.00000,-25.00000,52.00000,-686.00000
2015-12-31,1448.00000,1250.00000,-47.00000,1203.00000,,,,181.00000,181.00000,2898.00000,-2783.00000,-152.00000,-152.00000,67.00000,-2868.00000,1138.00000,-622.00000,516.00000,-22.00000,-22.00000,-629.00000,-41.00000,-176.00000,-160.00000,,-628.00000
2014-12-31,1262.00000,1156.00000,-54.00000,1102.00000,,,,-311.00000,-311.00000,2161.00000,-2974.00000,-252.00000,-252.00000,-116.00000,-3342.00000,1238.00000,412.00000,1650.00000,18.00000,18.00000,-599.00000,-215.00000,854.00000,-334.00000,,-598.00000
2013-12-31,1088.00000,1113.00000,344.00000,1457.00000,,,,-761.00000,-761.00000,1784.00000,-2002.00000,-24.00000,-24.00000,337.00000,-1689.00000,293.00000,256.00000,549.00000,17.00000,-65.00000,-611.00000,465.00000,338.00000,429.00000,,-606.00000
2012-12-31,920.00000,1090.00000,248.00000,1338.00000,,,,-281.00000,-281.00000,2018.00000,-2882.00000,-450.00000,-450.00000,174.00000,-3158.00000,1985.00000,-47.00000,1938.00000,62.00000,62.00000,-556.00000,-89.00000,1355.00000,223.00000,,-550.00000
2011-12-31,1381.00000,976.00000,-280.00000,696.00000,,,,-195.00000,-195.00000,1867.00000,-2842.00000,-943.00000,-943.00000,715.00000,-3070.00000,1616.00000,-498.00000,1118.00000,10.00000,-70.00000,-448.00000,-66.00000,534.00000,-660.00000,,-440.00000
2010-12-31,703.00000,866.00000,491.00000,1357.00000,,,,149.00000,149.00000,2154.00000,-1759.00000,-610.00000,-610.00000,1086.00000,-1283.00000,220.00000,568.00000,788.00000,-462.00000,-462.00000,-374.00000,-21.00000,-69.00000,802.00000,,-364.00000
2009-12-31,1122.00000,775.00000,237.00000,1012.00000,,,,-211.00000,-211.00000,1875.00000,-1733.00000,-976.00000,-976.00000,37.00000,-2672.00000,1716.00000,-759.00000,957.00000,51.00000,51.00000,-351.00000,-81.00000,576.00000,-221.00000,,-341.00000
