,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-16708.00000,3877.00000,17327.00000,21204.00000,-155.00000,-490.00000,-557.00000,3939.00000,-1390.00000,50.00000,995.00000,995.00000,-28.00000,-373.00000,925.00000,,925.00000,-1881.00000,-1881.00000,-1138.00000,-479.00000,-2573.00000,530.00000,215.00000,-1138.00000
2021-12-31,424.00000,4045.00000,805.00000,4850.00000,-552.00000,-303.00000,-464.00000,4810.00000,-1251.00000,-397.00000,-24.00000,-24.00000,-99.00000,-1771.00000,633.00000,,633.00000,-1993.00000,-1993.00000,-961.00000,-217.00000,-2538.00000,253.00000,383.00000,-961.00000
2020-12-31,164.00000,3745.00000,222.00000,3967.00000,-75.00000,169.00000,311.00000,4442.00000,-1129.00000,-469.00000,552.00000,552.00000,132.00000,-914.00000,-1372.00000,,-1372.00000,220.00000,220.00000,-868.00000,-731.00000,-2751.00000,819.00000,283.00000,-868.00000
2019-12-31,303.00000,2468.00000,490.00000,2958.00000,-161.00000,-616.00000,-851.00000,2410.00000,-828.00000,-6583.00000,,,-90.00000,-7501.00000,8680.00000,161.00000,8841.00000,-453.00000,-453.00000,-656.00000,-151.00000,7581.00000,2508.00000,402.00000,-656.00000
2018-12-31,881.00000,1437.00000,114.00000,1551.00000,78.00000,-355.00000,-439.00000,1993.00000,-622.00000,-16.00000,,,-30.00000,-668.00000,223.00000,,223.00000,-967.00000,-967.00000,-421.00000,-71.00000,-1236.00000,38.00000,84.00000,-421.00000
2017-12-31,1294.00000,1385.00000,-744.00000,641.00000,-232.00000,-77.00000,-194.00000,1741.00000,-613.00000,1307.00000,,,-4.00000,690.00000,-2074.00000,,-2074.00000,55.00000,55.00000,-385.00000,-76.00000,-2480.00000,-18.00000,107.00000,-385.00000
2016-12-31,547.00000,1172.00000,-85.00000,1087.00000,42.00000,156.00000,293.00000,1925.00000,-616.00000,,,,-3.00000,-619.00000,-1004.00000,,-1004.00000,72.00000,72.00000,-341.00000,-36.00000,-1309.00000,1.00000,137.00000,-341.00000
2015-12-31,651.00000,680.00000,-32.00000,648.00000,-103.00000,-98.00000,-172.00000,1131.00000,-415.00000,-1720.00000,,,237.00000,-1898.00000,1655.00000,,1655.00000,-263.00000,-263.00000,-305.00000,-72.00000,1015.00000,189.00000,98.00000,-305.00000
2014-12-31,707.00000,646.00000,10.00000,656.00000,-115.00000,-94.00000,-219.00000,1165.00000,-372.00000,-595.00000,,,-18.00000,-985.00000,572.00000,,572.00000,-461.00000,-461.00000,-275.00000,-34.00000,-198.00000,-55.00000,56.00000,-275.00000
2013-12-31,517.70000,634.50000,-26.30000,608.20010,-56.10000,-171.00000,-65.60000,1060.30000,-336.20000,-150.50000,,,22.00000,-464.70000,72.60060,,72.60060,-332.90000,-332.90000,-256.30000,-29.40000,-546.00000,29.90000,53.40000,-256.30000
2012-12-31,481.10000,662.20000,-11.20000,651.00000,-68.00000,-96.90000,-85.40000,1046.70000,-296.10000,-63.60000,,,336.50000,-23.20000,-427.10060,,-427.10060,-234.70000,-234.70000,-234.80000,-24.20000,-920.80000,102.10000,83.80000,-234.80000
2011-12-31,481.10000,675.40000,101.50000,776.90000,40.90000,-89.30000,-90.30000,1171.50000,-300.30000,-20.20000,,,21.30000,-299.20000,9547.30000,-9961.20000,-413.90040,-295.00000,-295.00000,-60.40000,-15.40000,-784.70000,77.50000,64.70000,-60.40000
2010-12-31,357.90000,633.20000,158.60000,791.80000,-21.30000,-135.40000,-76.70000,1071.30000,-314.00000,-403.20000,,,73.00000,-644.20000,1932.90000,,1932.90000,-2330.70000,-2330.70000,-67.90000,-53.30000,-519.00000,-92.90000,58.70000,-67.90000
2009-12-31,108.50000,439.00000,144.90000,583.90000,92.70000,27.60000,13.70000,714.10000,-212.50000,435.90000,,,25.40000,248.80000,-987.10010,,-987.10010,266.00000,266.00000,-47.40000,-1.50000,-770.00000,210.00000,71.00000,-47.40000
