,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,704.57700,1754.03400,478.09600,2232.13000,-153.41500,73.11700,26.47500,2963.18200,-2276.37400,-964.01000,,-122.56900,-122.56900,,-3362.95300,1148.39500,1148.39500,877.56100,877.56100,-1151.45900,-17.73100,856.76600,358.79400,403.98300,-1151.45900
2021-12-31,499.72800,1673.42500,506.78700,2180.21200,-1.87300,-178.85500,-132.73400,2547.20600,-2744.76400,-158.49800,,-103.47600,-103.47600,,-3006.73800,1005.46300,1005.46300,575.49800,575.49800,-1042.90900,-124.28700,413.76500,-76.24100,363.77400,-1042.90900
2020-12-31,370.07400,1439.10800,468.47300,1907.58100,25.41200,3.59900,32.17100,2309.82600,-2148.28900,-1180.27200,,-98.41100,-98.41100,,-3426.97200,-126.09810,-126.09810,2043.49300,2043.49300,-947.93300,-153.93600,815.52600,-260.91800,294.95200,-947.93300
2019-12-31,507.24500,1297.87900,280.92300,1578.80200,-26.90900,-70.97700,-93.31900,1992.72800,-1889.90100,-34.14300,40.38600,-60.90900,-20.52300,,-1944.56700,391.90380,391.90380,1712.99400,1712.99400,-836.16400,-66.65200,1202.08200,1259.00900,236.53900,-836.16400
2018-12-31,365.35900,1241.10700,252.97600,1494.08300,-52.93100,-15.91000,-44.01600,1815.42600,-2266.43800,-829.68700,,20.59700,20.59700,,-3075.52800,803.25300,803.25300,438.30800,438.30800,-738.60000,-32.04900,470.91200,-823.09700,180.71600,-738.60000
2017-12-31,232.98200,1066.92900,235.65600,1302.58500,-161.77400,25.88800,-96.33400,1439.23300,-1426.04100,-3963.28000,,-11.50500,-11.50500,,-5400.82600,2814.30900,2814.30900,2523.11700,2523.11700,-621.49700,-108.06900,4607.86000,677.45400,175.50000,-621.49700
2016-12-31,126.80000,856.34400,169.24300,1025.58700,-100.23000,-123.38900,-133.03400,1019.35300,-289.90110,-1766.60600,,10.83900,10.83900,,-2045.66800,-408.96900,-408.96900,34.17900,34.17900,-499.46300,-22.81200,-897.06500,-1945.18000,155.56700,-499.46300
2015-12-31,187.77400,541.63000,154.25900,695.88900,-44.58300,56.19700,11.16000,894.82300,-906.40200,-245.50300,,514.10800,514.10800,,-637.79700,1553.17500,1553.17500,859.53590,859.53590,-521.46100,-18.09800,1873.15200,2090.39400,132.44300,-521.46100
2014-12-31,-260.72600,500.35800,282.40300,782.76100,-101.96600,31.89600,167.38500,689.42000,-676.99400,,785.54800,-545.99700,239.55100,1.60400,-435.83900,807.80990,807.80990,-494.91400,-494.91400,-83.26600,-122.22900,107.40100,349.02300,117.99000,-83.26600
2013-12-31,96.12300,456.33900,196.63600,652.97500,-27.95600,-15.58700,-144.49000,604.60800,-646.73800,-49.33700,276.35100,-755.48700,-479.13600,5.89800,-1169.31300,685.40500,685.40500,-16.90700,-16.90700,,-93.59100,574.90700,9.68100,102.94000,
2012-12-31,143.14400,421.94400,24.79400,446.73800,-26.60100,11.11800,42.14400,632.02600,-789.15600,-233.03400,,499.25100,499.25100,80.06600,-442.87300,-328.90500,-328.90500,42.77300,42.77300,,63.41100,-222.72100,-26.61000,83.02500,
2011-12-31,93.38200,379.84600,89.78500,469.63100,-23.06100,-17.11000,24.30700,587.32000,-713.45200,-41.95400,,-647.03500,-647.03500,-96.71400,-1499.15500,812.08100,812.08100,-47.77300,-47.77300,,-15.58000,748.72800,-164.01800,71.53200,
2010-12-31,36.88100,288.09100,91.84800,379.93900,-39.88600,-21.22900,-23.94800,392.87200,-594.25800,-113.28900,,107.91600,107.91600,-1.33800,-600.96900,297.44100,297.44100,39.81700,39.81700,,-27.57200,309.68600,96.78500,67.48900,
2009-12-31,69.43100,192.32100,80.27800,272.59900,2.27700,-11.57700,13.46200,355.49200,-369.54200,-28.17600,,-172.65800,-172.65800,12.19800,-558.17800,346.82700,346.82700,37.00600,37.00600,,-60.23500,323.59800,125.84900,53.05600,
