,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1412.39400,1643.13800,-534.07800,1109.06000,-470.59300,,377.65700,-45.58300,-120.16100,2401.29300,-3441.85200,,-709.05800,-709.05800,20.42000,-4130.49000,2870.00000,-78.17000,2791.83000,197.05800,197.05800,-867.55200,-91.39500,2029.94100,300.74400,-860.03300
2021-12-31,1228.04600,1334.97300,-328.80200,1006.17100,-135.50500,,-29.20100,3.71000,-271.61700,1962.60000,-3175.08000,,-294.47200,-294.47200,22.17800,-3447.37400,2087.50000,256.12500,2343.62500,,,-812.95800,-89.83500,1440.83200,-43.94200,-805.43900
2020-12-31,1212.68600,1159.05900,-478.72090,680.33800,-351.84300,,122.56700,-24.99500,-210.45200,1682.57200,-2942.99600,-1113.25200,-207.37200,-207.37200,134.34500,-4129.27500,2432.76400,13.95500,2446.71900,928.99200,928.99200,-752.18400,-28.93700,2594.59000,147.88700,-744.66500
2019-12-31,916.57200,1080.65800,285.48000,1366.13800,-98.71600,-8.07400,14.86600,-165.08000,-273.13300,2009.57700,-2911.48900,,-387.00300,-387.00300,24.20400,-3274.28800,666.59000,325.37000,991.96000,852.25400,852.25400,-670.75800,-1.00600,1172.45000,-92.26100,-663.23900
2018-12-31,1040.51900,1071.95600,-174.60500,897.35110,-141.43300,-0.83100,24.48100,78.22600,-107.32700,1830.54300,-2569.93600,,-67.78800,-67.78800,200.67800,-2437.04600,1785.33300,-379.31000,1406.02300,,,-647.62900,-28.45700,729.93700,123.43400,-640.11000
2017-12-31,995.51500,863.78800,63.38100,927.16890,-117.15500,-9.22300,56.06700,91.54500,73.51800,1996.20200,-2348.10500,-877.65200,-10.23800,-10.23800,5.47900,-3230.51600,1755.00000,72.81000,1827.81000,,,-609.60200,-4.75400,1213.45400,-20.86000,-602.08300
2016-12-31,949.82100,787.16200,372.04900,1159.21100,-142.69900,7.75500,-14.12600,13.73700,99.21000,2208.24200,-1976.86700,-188.95800,-21.93400,-21.93400,36.21100,-2151.54800,600.00000,-12.45300,587.54700,,,-572.00500,-33.48200,-17.94000,38.75400,-564.48600
2015-12-31,886.00400,688.19500,-117.45800,570.73700,-39.79700,34.11200,-91.61800,44.03100,-22.99000,1433.75100,-1724.13900,-23.35300,82.05100,82.05100,6.29100,-1659.15000,1008.30000,-242.12200,766.17800,,,-537.31000,-18.22500,210.64300,-14.75600,-529.79100
2014-12-31,827.06500,625.36100,525.68300,1151.04400,-122.13900,-41.31000,144.74300,15.79700,-326.13300,1651.97600,-1603.74400,-9.77900,-2.43100,-2.43100,24.15900,-1591.79500,148.44900,285.07500,433.52400,,,-482.74600,-15.62000,-64.84200,-4.66100,-475.22700
2013-12-31,793.68900,859.68000,316.72200,1176.40200,-163.54900,-14.81100,-54.61900,-22.62300,-306.55200,1663.53900,-1456.78700,,-52.25200,-52.25200,67.81600,-1441.22300,667.97600,-397.00000,270.97600,,,-470.42300,-25.25300,-224.70000,-2.38400,-462.74100
2012-12-31,533.07700,740.79100,-1.48900,739.30200,-20.21400,34.32100,-128.33900,8.53200,-111.15000,1161.22900,-1472.27200,,-31.33500,-31.33500,35.68300,-1467.92400,-103.56900,825.00000,721.43100,,,-382.07600,6.52900,345.88400,39.18900,-375.04700
2011-12-31,400.51300,463.18400,19.02500,482.20900,17.57000,-11.03300,18.91600,12.56900,87.66400,970.38600,-1076.73000,,-2.53100,-2.53100,60.67400,-1018.58700,188.60200,50.00000,238.60200,,,-200.11400,-7.12300,31.36500,-16.83600,-194.55500
2010-12-31,394.10700,623.66200,197.84500,821.50700,-51.28500,38.12600,-44.35500,17.46600,-122.15100,1093.46300,-954.47200,,-2.33900,-2.33900,-1.15700,-957.96800,-120.15000,166.68700,46.53700,,,-186.10100,0.51200,-139.05200,-3.55700,-180.54200
2009-12-31,335.59200,540.87400,194.47600,735.35000,91.08100,25.95700,-208.18000,-6.87600,-81.82400,989.11800,-908.14600,,-2.29600,-2.29600,7.96300,-902.47900,163.63900,-518.58400,-354.94500,383.29500,383.29500,-167.94000,-9.91300,-149.50300,-62.86400,-162.38100
