,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-01-31,256.00000,518.00000,502.00000,1020.00000,-593.00000,186.00000,-147.00000,-467.00000,809.00000,-694.00000,-156.00000,409.00000,409.00000,-5.00000,-446.00000,-1046.00000,,-1046.00000,-147.00000,-147.00000,-226.00000,-52.00000,-1471.00000,-1114.00000,139.00000,-226.00000
2021-01-31,-665.00000,550.00000,524.00000,1074.00000,-305.00000,564.00000,-113.00000,-172.00000,237.00000,-392.00000,,-120.00000,-120.00000,2.00000,-510.00000,943.00000,,943.00000,22.00000,22.00000,,-70.00000,895.00000,635.00000,77.00000,0.00000
2020-01-31,351.00000,559.00000,191.00000,750.00000,4.00000,66.00000,44.00000,310.00000,1411.00000,-825.00000,-69.00000,0.00000,,,-894.00000,,,,-175.00000,-175.00000,-364.00000,-21.00000,-560.00000,-39.00000,68.00000,-364.00000
2019-01-31,1003.00000,519.00000,162.00000,681.00000,-154.00000,-78.00000,12.00000,-303.00000,1381.00000,-705.00000,,-287.00000,-287.00000,-9.00000,-1001.00000,,,,-352.00000,-352.00000,-373.00000,-24.00000,-749.00000,-379.00000,91.00000,-373.00000
2018-01-31,848.00000,499.00000,195.00000,694.00000,-142.00000,-90.00000,88.00000,-162.00000,1380.00000,-731.00000,,0.00000,,65.00000,-666.00000,,,,-285.00000,-285.00000,-361.00000,-85.00000,-731.00000,2.00000,87.00000,-361.00000
2017-01-31,676.00000,602.00000,120.00000,722.00000,46.00000,146.00000,34.00000,321.00000,1719.00000,-524.00000,,0.00000,,-5.00000,-529.00000,,,,29.00000,29.00000,-367.00000,-439.00000,-777.00000,413.00000,76.00000,-367.00000
2016-01-31,920.00000,527.00000,103.00000,630.00000,-6.00000,-47.00000,162.00000,44.00000,1594.00000,-726.00000,,,,-4.00000,-730.00000,-21.00000,400.00000,379.00000,-950.00000,-950.00000,-377.00000,-42.00000,-990.00000,-145.00000,76.00000,-377.00000
2015-01-31,1262.00000,500.00000,118.00000,618.00000,-9.00000,-41.00000,419.00000,249.00000,2129.00000,-593.00000,,,,-3.00000,-596.00000,-21.00000,,-21.00000,-1089.00000,-1089.00000,-383.00000,-14.00000,-1507.00000,5.00000,100.00000,-383.00000
2014-01-31,1280.00000,470.00000,119.00000,589.00000,-193.00000,105.00000,3.00000,-164.00000,1705.00000,-670.00000,,50.00000,50.00000,-4.00000,-624.00000,144.00000,,144.00000,-837.00000,-837.00000,-321.00000,10.00000,-1004.00000,50.00000,116.00000,-321.00000
2013-01-31,1135.00000,483.00000,86.00000,569.00000,-143.00000,91.00000,70.00000,232.00000,1936.00000,-659.00000,-129.00000,-50.00000,-50.00000,-6.00000,-844.00000,-400.00000,-19.00000,-419.00000,-1030.00000,-1030.00000,-240.00000,208.00000,-1481.00000,-425.00000,113.00000,-240.00000
2012-01-31,833.00000,506.00000,118.00000,624.00000,4.00000,11.00000,27.00000,-94.00000,1363.00000,-548.00000,,100.00000,100.00000,-6.00000,-454.00000,1646.00000,16.00000,1662.00000,-2092.00000,-2092.00000,-236.00000,64.00000,-602.00000,324.00000,58.00000,-236.00000
2011-01-31,1204.00000,562.00000,225.00000,787.00000,-127.00000,-7.00000,-38.00000,-247.00000,1744.00000,-557.00000,,125.00000,125.00000,3.00000,-429.00000,,3.00000,3.00000,-1959.00000,-1959.00000,-252.00000,81.00000,-2127.00000,-787.00000,77.00000,-252.00000
2010-01-31,1102.00000,573.00000,24.00000,597.00000,43.00000,40.00000,105.00000,229.00000,1928.00000,-333.00000,,-225.00000,-225.00000,21.00000,-537.00000,-50.00000,,-50.00000,-547.00000,-547.00000,-234.00000,60.00000,-771.00000,633.00000,64.00000,-234.00000
2009-01-31,967.00000,568.00000,125.00000,693.00000,51.00000,-4.00000,83.00000,-248.00000,1412.00000,-430.00000,-142.00000,176.00000,176.00000,-2.00000,-398.00000,-138.00000,,-138.00000,-705.00000,-705.00000,-243.00000,81.00000,-1005.00000,-9.00000,55.00000,-243.00000
