,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-2269.90900,810.05300,310.25700,1120.31000,828.66100,-33.60900,-16.19600,327.86700,1359.61900,210.02000,-1783.85700,,,,240.00000,-212.04700,-1755.90400,1232.83100,1232.83100,5.26700,5.26700,-251.87400,986.22400,-559.66000,113.56300
2021-12-31,-4506.58700,758.60400,1484.06200,2242.66600,-1159.99800,-37.48100,152.02600,545.91400,-204.08800,-2468.00900,-752.84300,,,,-240.00000,-11.20100,-1004.04400,488.25390,488.25390,2668.98400,2668.98400,-1479.02000,1678.21800,-1793.83500,124.07700
2020-12-31,-4012.51400,739.61900,1792.03100,2531.65000,30.79700,10.55500,-21.41900,-901.37400,-1075.37900,-2556.24300,-946.54500,,,,,-28.81700,-975.36200,5182.60900,5182.60900,1547.26500,1547.26500,-150.66300,6579.21100,3047.60600,111.29700
2019-12-31,930.22800,647.10200,80.11600,727.21800,-14.10400,-6.15500,-58.63500,273.08100,165.15900,1822.60500,-1637.17000,,,,,-43.02200,-1680.19200,315.56490,315.56490,-317.92300,-317.92300,-51.03000,-53.38800,89.02500,95.05500
2018-12-31,954.84300,566.97200,123.87000,690.84200,-15.88600,-9.05200,106.38700,233.08400,429.48600,2075.17100,-1566.79600,,,-1.71900,-1.71900,65.80700,-1502.70800,188.62100,188.62100,-635.99190,-635.99190,-137.43100,-584.80200,-12.33900,115.98300
2017-12-31,759.87200,521.48400,120.83400,642.31810,15.05000,-17.12900,14.04700,131.29800,199.05700,1601.24700,-1372.21400,,,-35.69400,-35.69400,3.01000,-1404.89800,-100.49500,-100.49500,30.03200,30.03200,-78.04300,-148.50600,47.84300,87.03900
2016-12-31,633.08500,445.63500,106.09100,551.72600,-20.98300,-9.18400,-5.75500,121.60800,79.27600,1264.08700,-1092.09100,,,-36.95400,-36.95400,0.13100,-1128.91400,-8.62300,-8.62300,-40.83000,-40.83000,-73.31000,-122.76300,12.41000,66.41400
2015-12-31,427.13700,450.33500,35.70200,486.03700,-14.80300,-4.40800,-52.72300,207.93500,130.65100,1042.17800,-1121.98400,-0.75000,,-86.35100,-86.35100,2.83200,-1206.25300,249.45400,249.45400,-37.27100,-37.27100,-16.99500,195.18800,31.11300,42.20900
2014-12-31,342.60100,304.87700,43.70600,348.58300,-7.25600,-0.26100,0.96000,-30.32000,-55.58300,635.60100,-964.64000,,-826.68600,-5.33400,-5.33400,,-1796.66000,1381.95800,1381.95800,-76.14300,-76.14300,-116.39900,1189.41600,28.35700,14.61700
2013-12-31,102.88600,245.11100,61.41500,306.52600,-3.19800,-4.03400,7.66200,39.51400,65.86900,475.28100,-877.28200,,,-17.56900,-17.56900,,-894.85100,12.00390,12.00390,475.93400,475.93400,-57.40100,430.53700,10.96700,23.07500
2012-12-31,168.55600,216.13700,15.46300,231.60000,-4.59200,-3.44700,-1.22800,10.81200,-1.56200,398.59400,-303.84000,,,,,,-303.84000,-58.80400,-58.80400,,,-49.37600,-108.18000,-13.42600,5.16000
2011-12-31,126.85900,211.04900,-1.12700,209.92200,-0.28000,-3.47100,15.92800,23.90800,20.20900,356.99000,-184.79700,,,,,,-184.79700,-166.58400,-166.58400,,,-1.73000,-168.31400,3.87900,1.21100
2010-12-31,22.98600,191.91300,9.53300,201.44600,-0.01100,-3.89800,36.02300,167.74100,205.99100,430.42300,-977.46600,,,,,,-977.46600,645.87900,645.87900,,,-93.94100,551.93800,4.89500,2.52000
