,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2446.00000,436.00000,578.00000,1014.00000,2758.00000,70.00000,646.00000,2968.00000,6428.00000,-470.00000,-213.00000,-851.00000,26224.00000,-20860.00000,5364.00000,-8701.00000,-4871.00000,2264.00000,3757.00000,6021.00000,-100.00000,-100.00000,-927.00000,-6079.00000,-1085.00000,472.00000,165.00000,
2021-12-31,2770.00000,349.00000,-157.00000,192.00000,-19.00000,15.00000,-37.00000,-258.00000,2704.00000,-262.00000,-381.00000,-297.00000,-1172.00000,-2509.00000,-3681.00000,-3347.00000,-7968.00000,-3041.00000,-193.00000,-3234.00000,-1393.00000,-1393.00000,-897.00000,10635.00000,5111.00000,-153.00000,120.00000,
2020-12-31,1427.00000,492.00000,1523.00000,2015.00000,-2577.00000,12.00000,-855.00000,-3071.00000,371.00000,-325.00000,-44.00000,-4.00000,-31446.00000,123.00000,-31323.00000,-206.00000,-31902.00000,-242.00000,182.00000,-60.00000,,346.00000,-858.00000,31972.00000,31400.00000,-131.00000,123.00000,
2019-12-31,2512.00000,472.00000,-135.00000,337.00000,-876.00000,-29.00000,20.00000,-1025.00000,1824.00000,-214.00000,-26.00000,1210.00000,-612.00000,-1092.00000,-1704.00000,-63.00000,-797.00000,-346.00000,-1494.00000,-1840.00000,-1763.00000,-1521.00000,-753.00000,3684.00000,-430.00000,597.00000,132.00000,
2018-12-31,2193.00000,360.00000,-74.00000,286.00000,-250.00000,132.00000,303.00000,377.00000,2856.00000,-77.00000,-82.00000,-43.00000,928.00000,-1926.00000,-998.00000,-2941.00000,-4141.00000,-446.00000,-1688.00000,-2134.00000,-1453.00000,-1453.00000,-565.00000,5604.00000,1452.00000,167.00000,127.00000,
2017-12-31,2180.00000,341.00000,-752.00000,-411.00000,291.00000,-442.00000,0.00000,-289.00000,1480.00000,-191.00000,-109.00000,-44.00000,1.00000,-324.00000,-323.00000,1095.00000,428.00000,521.00000,519.00000,1040.00000,-1605.00000,-1605.00000,-505.00000,-716.00000,-1786.00000,122.00000,118.00000,-430.00000
2016-12-31,1543.00000,453.00000,133.00000,586.00000,-220.00000,-23.00000,362.00000,-38.00000,2091.00000,-230.00000,,,-83.00000,-2536.00000,-2619.00000,-15.00000,-2864.00000,-1384.00000,2009.00000,625.00000,-661.00000,-661.00000,-454.00000,1115.00000,625.00000,-148.00000,111.00000,-402.00000
2015-12-31,1706.00000,441.00000,213.00000,654.00000,-138.00000,-34.00000,-97.00000,58.00000,2418.00000,-212.00000,,,5243.00000,-6923.00000,-1680.00000,-2039.00000,-3931.00000,886.00000,-42.00000,844.00000,-850.00000,-850.00000,-497.00000,1465.00000,962.00000,-551.00000,100.00000,-422.00000
2014-12-31,1483.00000,414.00000,434.00000,848.00000,536.00000,-16.00000,-776.00000,-255.00000,2076.00000,-258.00000,,,-2798.00000,-3172.00000,-5970.00000,-2710.00000,-8938.00000,5171.00000,36.00000,5207.00000,-654.00000,-357.00000,-490.00000,2415.00000,6775.00000,-87.00000,83.00000,-423.00000
2013-12-31,1826.00000,507.00000,66.00000,573.00000,2422.00000,-131.00000,-103.00000,2196.00000,4595.00000,-447.00000,,,-2695.00000,-3623.00000,-6318.00000,-3419.00000,-10184.00000,2819.00000,-5518.00000,-2699.00000,-1320.00000,-286.00000,-430.00000,9741.00000,6326.00000,737.00000,78.00000,-393.00000
2012-12-31,1574.00000,531.00000,691.00000,1222.00000,22.00000,-28.00000,-234.00000,-239.00000,2557.00000,-475.00000,,,-640.00000,-156.00000,-796.00000,-5262.00000,-6533.00000,-2636.00000,3596.00000,960.00000,-650.00000,-650.00000,-344.00000,3788.00000,3754.00000,-222.00000,69.00000,-309.00000
2011-12-31,1298.00000,455.00000,1119.00000,1574.00000,-561.00000,115.00000,-139.00000,-506.00000,2366.00000,-343.00000,,,-267.00000,313.00000,46.00000,-4988.00000,-5285.00000,-107.00000,1732.00000,1625.00000,1368.00000,-2040.00000,-242.00000,4080.00000,3423.00000,504.00000,59.00000,-192.00000
2010-12-31,753.00000,457.00000,1784.00000,2241.00000,517.00000,67.00000,-210.00000,311.00000,3305.00000,-235.00000,,,1861.00000,1980.00000,3841.00000,-1898.00000,1708.00000,-2459.00000,135.00000,-2324.00000,,,-237.00000,-2611.00000,-5172.00000,-159.00000,64.00000,-32.00000
2009-12-31,737.00000,341.00000,2719.00000,3060.00000,-632.00000,1000.00000,829.00000,-3.00000,3794.00000,-228.00000,,546.00000,209.00000,-5288.00000,-5079.00000,5837.00000,1076.00000,-2538.00000,-8648.00000,-11186.00000,986.00000,717.00000,-212.00000,5390.00000,-5291.00000,-421.00000,45.00000,-27.00000
