,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,291.20000,1219.20000,157.20000,1376.40000,-184.70000,-75.60000,-1.20000,-311.40000,1356.20000,-446.20000,,-99.80000,,,,24.00000,-522.00000,-1060.70000,,-1060.70000,-48.30000,-48.30000,-201.20000,534.50000,-775.70000,-102.80000,105.00000,-201.20000
2021-12-31,402.10000,1083.70000,100.70000,1184.40000,-15.10000,18.80000,-44.20000,-87.30000,1499.20000,-473.80000,-8.40000,,,,,-21.40000,-503.60000,-1055.00000,,-1055.00000,122.50000,122.50000,-200.10000,-173.40000,-1306.00000,-323.60000,85.30000,-200.10000
2020-12-31,-137.40000,1677.70000,91.70000,1769.40000,-70.00000,-40.80000,69.50000,-427.50000,1204.50000,-409.20000,-0.40000,-235.50000,,,,31.30000,-613.80000,-252.90000,,-252.90000,129.80000,129.80000,-198.50000,-100.20000,-421.80000,184.20000,79.70000,-198.50000
2019-12-31,1131.50000,1076.20000,-454.40000,621.80000,-93.80000,-125.20000,-17.90000,-167.50000,1585.80000,-523.00000,-197.60000,-37.10000,,,,28.40000,-729.30000,-716.10000,,-716.10000,158.20000,158.20000,-196.70000,-25.30000,-779.90000,75.10000,84.30000,-196.70000
2018-12-31,-379.30000,2020.20000,78.90000,2099.10000,213.60000,-199.50000,8.40000,27.60000,1747.40000,-439.00000,,-15.30000,,,,37.70000,-416.60000,-1154.40000,,-1154.40000,107.90000,107.90000,-195.20000,-60.50000,-1302.20000,18.40000,65.50000,-195.20000
2017-12-31,1813.40000,1394.20000,-1689.50000,-295.30010,161.70000,-120.10000,5.70000,64.20000,1582.30000,-493.00000,,-4.00000,,,,-13.80000,-510.80000,-1248.20000,,-1248.20000,145.50000,145.50000,-193.60000,85.80000,-1210.50000,-109.70000,53.70000,-193.60000
2016-12-31,304.60000,1070.40000,280.70000,1351.10000,-141.60000,77.90000,18.50000,-23.50000,1632.20000,-530.20000,,-1443.00000,-1.50000,286.20000,284.70000,-3.00000,-1691.50000,-259.60010,,-259.60010,-278.90000,-278.90000,-188.40000,-16.30000,-743.20000,-825.20000,57.30000,-188.40000
2015-12-31,146.20000,712.40000,281.80000,994.20010,-56.10000,-205.40000,-21.80000,-290.60000,849.80000,-364.20000,,-7760.10000,-214.80000,802.90000,588.10000,-21.70000,-7557.90000,7366.30000,,7366.30000,-44.80000,-44.80000,-157.10000,-57.70000,7106.70000,376.00000,46.40000,-157.10000
2014-12-31,719.20000,375.80000,-46.80000,329.00000,-40.40000,-164.60000,114.40000,12.30000,1060.50000,-342.30000,-54.30000,,-1350.90000,1282.20000,-68.70010,-4.10000,-469.40000,-247.70000,,-247.70000,-116.20000,-116.20000,-145.50000,-60.70000,-570.10000,2.70000,49.40000,-145.50000
2013-12-31,778.60000,358.50000,-39.90000,318.60000,-74.30000,-148.10000,-49.70000,-134.10000,963.10000,-292.90000,-74.20000,,98.10000,,98.10000,-13.50000,-282.50000,-97.50000,,-97.50000,-246.00000,-246.00000,-132.40000,8.60000,-467.30000,196.30000,48.50000,-132.40000
2012-12-31,752.90000,459.10000,3.30000,462.40000,-45.50000,-67.50000,-57.40000,-63.40000,1151.90000,-263.60000,,-59.00000,-251.60000,,-251.60000,-17.90000,-592.10000,97.20000,,97.20000,-438.70000,-438.70000,-94.40000,-0.60000,-436.50000,116.00000,,-94.40000
2011-12-31,760.00000,359.90000,60.10000,420.00000,-63.20000,7.20000,18.30000,-3.10000,1176.90000,-269.20000,,-56.80000,-267.30000,,-267.30000,-31.10000,-624.40000,0.50000,549.30000,549.80000,-1006.60000,-1006.60000,,1.00000,-455.80000,99.40000,60.50000,
2010-12-31,596.90000,544.20000,-6.20000,538.00000,-33.00000,25.80000,58.90000,58.60000,1193.50000,-271.70000,-8.50000,-82.60000,-345.80000,,-345.80000,-18.30000,-726.90000,-2.20000,,-2.20000,-488.70000,-488.70000,,1.30000,-489.60000,-22.80000,62.00000,
2009-12-31,717.40000,410.40000,39.10000,449.50000,-4.60000,36.20000,44.60000,-49.40000,1117.50000,-228.80000,-35.80000,-39.50000,-66.40000,,-66.40000,-10.70000,-381.20000,-330.00000,998.80000,668.80000,-922.80000,-922.80000,,-8.10000,-262.10000,479.10000,75.30000,
