,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1336.00000,612.80000,485.50000,1098.30000,57.90000,172.60000,291.80000,2392.40000,-128.60000,-594.90000,,22873.90000,6782.30100,29656.20000,-3002.90000,25929.80000,1488.80000,5898.90000,7387.70000,-31.50000,-31.50000,-796.70000,-32996.90000,-26437.40000,1597.40000,-750.20000
2021-12-31,1545.30000,615.30000,-556.90000,58.40000,-460.90000,-7.80000,-431.50000,1356.00000,-95.50000,-419.60000,,-6728.20000,-3649.50000,-10377.70000,-7709.80000,-18602.60000,-778.80000,-194.40000,-973.20000,-213.80000,-213.80000,-625.10000,17885.60000,16073.50000,-1332.70000,-583.30000
2020-12-31,1209.30000,589.20000,108.40000,697.60000,4.50000,-23.60000,6.30000,1896.80000,-135.80000,-424.60000,,-19828.50000,-6667.89800,-26496.40000,-2866.20000,-29923.00000,484.60000,-3441.00000,-2956.40000,-280.30000,-680.30000,-630.50000,32139.10000,27871.90000,-69.70000,-584.60000
2019-12-31,1492.20000,523.50000,1169.10000,1692.60000,-50.30000,-23.60000,-144.60000,2592.00000,-158.00000,-441.80000,-10.50000,-3811.50000,382.79880,-3428.70100,634.00000,-3405.00000,498.00000,-2904.90000,-2406.90000,-1056.20000,-663.70000,-576.10000,4262.60000,615.90000,-122.40000,-529.70000
2018-12-31,1556.40000,556.80000,-777.10000,-220.30000,-197.00000,28.50000,-298.50000,1767.50000,-97.60000,-408.40000,-104.20000,10859.10000,-5064.60000,5794.50000,-857.20000,4327.10000,183.60000,1503.80000,1687.40000,-891.70000,-891.70000,-451.80000,-6162.10000,-5818.20000,63.50000,-405.40000
2017-12-31,1199.00000,526.70000,369.20000,895.90000,-119.30000,10.70000,-72.40000,1720.40000,-91.60000,-381.20000,-188.50000,-12537.50000,-1706.99800,-14244.50000,884.20000,-14021.60000,141.30000,3409.40000,3550.70000,-415.10000,-415.10000,-406.60000,8523.69900,11252.70000,-813.90000,-356.80000
2016-12-31,1032.50000,474.20000,-391.80000,82.40000,-129.20000,-0.10000,-258.30000,1510.00000,-111.30000,-362.10000,-16.90000,-2591.00000,-7971.30000,-10562.30000,860.50000,-10192.10000,-6.70000,853.90000,847.20000,-177.30000,316.20000,-356.40000,6729.90000,7536.90000,-1086.50000,-333.00000
2015-12-31,973.80000,404.90000,591.40000,996.30000,-16.20000,-8.20000,182.40000,1834.40000,-98.50000,-335.00000,,293.70000,-4361.40100,-4067.70100,-2398.90000,-6900.10000,-231.00000,1392.90000,1161.90000,-402.90000,-402.90000,-348.40000,8123.50000,8534.10000,3397.50000,-321.40000
2014-12-31,811.80000,370.50000,-404.00000,-33.50000,20.90000,-4.50000,71.60000,936.00000,-81.90000,-327.60000,,-1732.90000,-3422.40000,-5155.30000,-2669.80000,-8234.60000,-640.00000,-228.70000,-868.70000,-353.20000,35.30000,-302.90000,8210.00000,7073.70000,-138.00000,-302.90000
2013-12-31,731.30000,363.20000,-183.20000,180.00000,-206.20000,-11.20000,-248.90000,839.30000,-91.90000,-293.00000,,-6543.00000,426.80080,-6116.19900,817.80000,-5683.30000,-54.40000,1661.20000,1606.80000,-163.50000,-163.50000,-220.60000,3165.60000,4388.30000,-590.30000,-220.60000
2012-12-31,687.30000,277.70000,-133.80000,143.90000,-41.90000,-10.00000,-33.40000,814.40000,-73.30000,-239.20000,,3782.40000,59.30080,3841.70100,-1901.60000,1627.60000,-423.70000,-969.60000,-1393.30000,-55.60000,-55.60000,-354.30000,-1269.70000,-3072.90000,-562.60000,-354.30000
2011-12-31,603.60000,230.90000,213.60000,444.49990,-179.70000,5.00000,-290.20000,1254.30000,-96.90000,-274.20000,-172.60000,-3818.70000,-10093.90000,-13912.60000,-932.10000,-15388.40000,-380.70000,-2020.40000,-2401.10000,-3.40000,-3.40000,-273.70000,18481.80000,15803.60000,1497.30000,-273.70000
2010-12-31,669.50000,194.00000,-286.30000,-92.30000,-90.60000,7.70000,70.60000,790.20000,-90.50000,-220.60000,,1692.20000,-3284.00000,-1591.80000,134.90000,-1768.00000,224.40000,-4786.40000,-4562.00000,64.70000,64.70000,-273.20000,5915.60000,1145.10000,326.20000,-273.20000
2009-12-31,864.20000,193.30000,246.50000,439.80000,65.30000,-13.80000,112.90000,1014.70000,-132.60000,-181.60000,,-1834.40000,-2128.80000,-3963.20000,2598.80000,-1678.60000,77.60000,5717.00000,5794.60000,775.30000,-800.70000,-306.90000,-4265.80000,421.20000,-156.40000,-260.30000
