,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2774.00000,1156.00000,-40.00000,1116.00000,-156.00000,108.00000,7117.00000,7626.00000,11954.00000,-734.00000,,2562.00000,4818.00000,7380.00000,170.00000,6816.00000,1766.00000,1969.00000,3735.00000,-1623.00000,-1623.00000,-972.00000,-19571.00000,-18431.00000,339.00000,-972.00000
2021-12-31,2693.00000,1557.00000,-252.00000,1305.00000,-173.00000,57.00000,-10419.00000,-11109.00000,-6710.00000,-811.00000,-333.00000,10696.00000,-7358.00000,3338.00000,-4366.00000,-2172.00000,-1938.00000,-3859.00000,-5797.00000,961.00000,461.00000,-866.00000,15248.00000,9046.00000,164.00000,-866.00000
2020-12-31,2420.00000,1510.00000,-110.00000,1400.00000,127.00000,99.00000,-705.00000,-649.00000,3532.00000,-560.00000,,-49614.00000,-15080.00000,-64694.00000,-280.00000,-65534.00000,3076.00000,3148.00000,6224.00000,-593.00000,-1093.00000,-889.00000,57925.00000,62167.00000,165.00000,-889.00000
2019-12-31,2242.00000,1337.00000,-119.00000,1218.00000,-28.00000,-54.00000,1608.00000,1820.00000,5690.00000,-730.00000,-54.00000,7267.00000,-9310.00000,-2043.00000,201.00000,-2626.00000,1113.00000,-2253.00000,-1140.00000,-1666.00000,-2416.00000,-930.00000,1512.00000,-2974.00000,90.00000,-930.00000
2018-12-31,2593.00000,1203.00000,-127.00000,1076.00000,26.00000,233.00000,5468.00000,6121.00000,10175.00000,-609.00000,-2595.00000,-7251.00000,8344.00000,1093.00000,-2385.00000,-4496.00000,-2226.00000,1948.00000,-278.00000,676.00000,1171.00000,-828.00000,-4536.00000,-4471.00000,1208.00000,-828.00000
2017-12-31,2156.00000,1085.00000,131.00000,1216.00000,-455.00000,-69.00000,3752.00000,3261.00000,6940.00000,-637.00000,,2423.00000,1671.00000,4094.00000,-3409.00000,48.00000,254.00000,-1999.00000,-1745.00000,-1418.00000,-1418.00000,-768.00000,-2257.00000,-6188.00000,800.00000,-768.00000
2016-12-31,2143.00000,929.00000,-365.00000,564.00000,-298.00000,-175.00000,697.00000,-923.00000,2290.00000,-613.00000,-437.00000,5851.00000,183.00000,6034.00000,-754.00000,4230.00000,51.00000,-268.00000,-217.00000,-1487.00000,-994.00000,-723.00000,-4479.00000,-6413.00000,107.00000,-723.00000
2015-12-31,1980.00000,801.00000,-162.00000,639.00000,-104.00000,75.00000,-4524.00000,-4601.00000,-1403.00000,-703.00000,,17171.00000,9015.00000,26186.00000,-488.00000,24995.00000,1828.00000,-7074.00000,-5246.00000,-1738.00000,-996.00000,-655.00000,-17343.00000,-24240.00000,-648.00000,-655.00000
2014-12-31,2022.00000,699.00000,56.00000,755.00000,-119.00000,-81.00000,-2792.00000,-3627.00000,-561.00000,-427.00000,,-25426.00000,1997.00000,-23429.00000,-4636.00000,-28492.00000,206.00000,1575.00000,1781.00000,-1868.00000,-398.00000,-539.00000,26844.00000,27688.00000,-1365.00000,-539.00000
2013-12-31,2050.00000,675.00000,137.00000,812.00000,-153.00000,-206.00000,-4993.00000,-5219.00000,-2024.00000,-388.00000,,-14708.00000,2086.00000,-12622.00000,-1075.00000,-14085.00000,2351.00000,-1155.00000,1196.00000,-2108.00000,-2108.00000,-486.00000,18137.00000,16739.00000,630.00000,-486.00000
2012-12-31,2061.00000,489.00000,208.00000,697.00000,-148.00000,70.00000,-821.00000,-1149.00000,1933.00000,-355.00000,-511.00000,10152.00000,-11690.00000,-1538.00000,-2187.00000,-4591.00000,-783.00000,-1587.00000,-2370.00000,-1488.00000,-1000.00000,-463.00000,6888.00000,3055.00000,397.00000,-463.00000
2011-12-31,1920.00000,418.00000,151.00000,569.00000,-89.00000,-624.00000,1464.00000,604.00000,3374.00000,-298.00000,-214.00000,-40769.00000,-14539.00000,-55308.00000,1925.00000,-53895.00000,-500.00000,-8555.00000,-9055.00000,-689.00000,-189.00000,-295.00000,58942.00000,49403.00000,-1118.00000,-295.00000
2010-12-31,1556.00000,-230.00000,1530.00000,1300.00000,-236.00000,224.00000,-2062.00000,-2013.00000,823.00000,-262.00000,-2332.00000,3857.00000,2886.00000,6743.00000,-957.00000,3192.00000,-341.00000,-11233.00000,-11574.00000,-34.00000,-34.00000,-20.00000,8283.00000,-3345.00000,670.00000,-20.00000
2009-12-31,-1881.00000,-321.00000,3994.00000,3673.00000,241.00000,366.00000,1358.00000,1965.00000,-4231.00000,-325.00000,,28470.00000,2257.00000,30727.00000,1230.00000,31632.00000,4406.00000,-10205.00000,-5799.00000,2167.00000,167.00000,-168.00000,-22141.00000,-27941.00000,-540.00000,-168.00000
