,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1675.00000,1724.00000,226.00000,1950.00000,-49.00000,-5.00000,-693.00000,-747.00000,2878.00000,-1310.00000,-35.00000,-7.00000,-1352.00000,-600.00000,1616.00000,1016.00000,-65.00000,-65.00000,-2602.00000,-14.00000,-1665.00000,-139.00000,156.00000,-2602.00000
2021-12-31,1158.00000,1657.00000,320.00000,1977.00000,-113.00000,15.00000,-231.00000,-346.00000,2789.00000,-1229.00000,-111.00000,8.00000,-1332.00000,820.00000,355.00000,1175.00000,-70.00000,-70.00000,-2373.00000,-42.00000,-1310.00000,85.00000,129.00000,-2373.00000
2020-12-31,1056.00000,1614.00000,315.00000,1929.00000,166.00000,-77.00000,-50.00000,70.00000,3055.00000,-1624.00000,-107.00000,-10.00000,-1741.00000,1138.00000,-105.00000,1033.00000,-76.00000,-76.00000,-2190.00000,-38.00000,-1271.00000,43.00000,138.00000,-2105.00000
2019-12-31,860.00000,1573.00000,138.00000,1711.00000,-96.00000,19.00000,183.00000,127.00000,2698.00000,-2057.00000,-17.00000,-7.00000,-2081.00000,1796.00000,-395.00000,1401.00000,-44.00000,-44.00000,-2025.00000,-24.00000,-692.00000,-75.00000,117.00000,-1912.00000
2018-12-31,622.00000,1534.00000,239.00000,1773.00000,-105.00000,37.00000,157.00000,105.00000,2500.00000,-1739.00000,-42.00000,-12.00000,-1793.00000,291.00000,95.00000,386.00000,-34.00000,807.00000,-1895.00000,-31.00000,-733.00000,-27.00000,103.00000,-1782.00000
2017-12-31,366.00000,1250.00000,126.00000,1376.00000,71.00000,-34.00000,218.00000,290.00000,2032.00000,-1217.00000,-9260.00000,-5.00000,-10482.00000,2974.00000,980.00000,3954.00000,4198.00000,5806.00000,-1539.00000,-29.00000,8192.00000,-257.00000,92.00000,-1509.00000
2016-12-31,357.00000,1123.00000,187.00000,1310.00000,-59.00000,11.00000,138.00000,120.00000,1787.00000,-874.00000,-557.00000,2.00000,-1429.00000,1060.00000,-1125.00000,-65.00000,1301.00000,1301.00000,-1283.00000,-42.00000,-89.00000,382.00000,79.00000,-1239.00000
2015-12-31,525.28600,1073.30400,-25.61000,1047.69400,12.66800,-5.28700,213.63200,221.04500,1794.02500,-908.89200,-1102.17900,51.33700,-1959.73400,-172.20300,430.00000,257.79700,-29.65700,-29.65700,-1160.43200,-3.18400,-935.47600,3.19000,60.77300,-1116.44400
2014-12-31,346.31400,1066.63500,62.83400,1129.46900,-77.11600,12.28100,187.88800,124.41400,1600.19700,-758.53500,-461.65100,3.47700,-1216.70900,-107.57500,321.00000,213.42500,-21.87200,-21.87200,-668.65100,14.11100,-462.98700,-47.77400,51.49700,-624.29700
2013-12-31,60.00100,840.58700,266.99500,1107.58200,-64.02600,28.66500,25.84700,3.47600,1171.05900,-534.80900,-4931.75200,7.27600,-5459.28500,754.13810,-879.00000,-124.86190,2881.12800,3832.01400,,355.98100,4063.13300,-217.97000,39.03000,
2012-12-31,200.88800,731.94200,79.70400,811.64590,-98.57000,34.54300,-162.43000,-239.97700,772.55700,-441.38300,-3759.47500,1.26200,-4199.59600,3190.47300,1002.00000,4192.47300,-35.78500,-35.78500,-2.48100,-367.40400,3786.80300,361.24400,41.94400,
2011-12-31,171.46000,655.89400,63.64300,719.53690,-17.40700,-7.49700,-222.84000,-247.54300,643.45400,-347.94200,-37.55100,-14.37200,-399.86500,-35.34500,94.00000,58.65500,-301.85700,-316.85900,-19.48700,1.97900,-275.71200,-32.41100,32.61000,
2010-12-31,-311.25900,626.22500,449.69000,1075.91500,-11.65300,1.70200,-146.99000,-161.22600,603.43000,-228.05800,-139.15800,-23.73300,-390.94900,-117.71000,157.00000,39.29000,-140.90800,-140.90800,-19.87900,-745.12700,-866.62400,-653.61500,36.54000,
2009-12-31,-114.12300,591.09600,156.25400,747.35000,-4.83000,-1.70300,-108.14300,-61.97100,571.25600,-173.53500,-2.59800,3.98800,-172.14500,528.12890,-169.40000,358.72890,42.04600,42.04600,-19.87800,-166.50100,214.39600,610.92700,29.22500,
