,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1123.00000,258.00000,157.00000,415.00000,-101.00000,19.00000,250.00000,168.00000,1706.00000,-152.00000,-41.00000,-111.00000,320.00000,209.00000,33.00000,49.00000,-556.00000,-556.00000,-610.00000,-610.00000,-383.00000,2585.00000,1036.00000,1498.00000,106.00000,-383.00000
2021-12-31,1187.00000,278.00000,87.00000,365.00000,-6.00000,-17.00000,-446.00000,-469.00000,1083.00000,-163.00000,-2240.00000,-448.00000,285.00000,-163.00000,-87.00000,-2653.00000,22.00000,22.00000,-917.00000,-917.00000,-350.00000,2663.00000,1418.00000,-483.00000,90.00000,-350.00000
2020-12-31,933.00000,202.00000,126.00000,328.00000,-167.00000,5.00000,153.00000,-9.00000,1252.00000,-188.00000,-157.00000,-174.00000,424.00000,250.00000,-27.00000,-122.00000,2339.00000,2339.00000,-172.00000,-172.00000,-320.00000,63.00000,1910.00000,3393.00000,87.00000,-320.00000
2019-12-31,774.00000,190.00000,47.00000,237.00000,-42.00000,-49.00000,43.00000,-48.00000,963.00000,-127.00000,-74.00000,-753.00000,554.00000,-199.00000,-14.00000,-414.00000,-535.00000,-535.00000,-163.00000,-163.00000,-305.00000,-1469.00000,-2472.00000,-2111.00000,79.00000,-305.00000
2018-12-31,458.00000,210.00000,257.00000,467.00000,-35.00000,33.00000,105.00000,103.00000,1028.00000,-111.00000,211.00000,-421.00000,543.00000,122.00000,-26.00000,196.00000,-115.00000,-115.00000,-377.00000,-377.00000,-280.00000,-255.00000,-1027.00000,187.00000,69.00000,-280.00000
2017-12-31,729.00000,188.00000,87.00000,275.00000,11.00000,-12.00000,-94.00000,-95.00000,909.00000,-144.00000,-776.00000,-392.00000,424.00000,32.00000,-2.00000,-890.00000,-60.00000,-60.00000,-150.00000,-150.00000,-243.00000,400.00000,-53.00000,-19.00000,70.00000,-243.00000
2016-12-31,106.00000,170.00000,542.00000,712.00000,73.00000,5.00000,-120.00000,-42.00000,776.00000,-134.00000,-1466.00000,-468.00000,411.00000,-57.00000,,-1657.00000,1300.00000,1300.00000,-46.00000,-46.00000,-200.00000,-106.00000,948.00000,61.00000,86.00000,-200.00000
2015-12-31,427.00000,138.00000,180.00000,318.00000,55.00000,-38.00000,-35.00000,-18.00000,727.00000,-133.00000,-226.00000,-385.00000,319.00000,-66.00000,-10.00000,-435.00000,137.00000,137.00000,-348.00000,-348.00000,-149.00000,-40.00000,-400.00000,-119.00000,68.00000,-149.00000
2014-12-31,413.00000,137.00000,138.00000,275.00000,-16.00000,-40.00000,0.00000,-56.00000,632.00000,-140.00000,,-5.00000,,-5.00000,-10.00000,-155.00000,-235.00000,-235.00000,-138.00000,-138.00000,-98.00000,11.00000,-460.00000,-6.00000,62.00000,-98.00000
2013-12-31,384.00000,122.00000,55.00000,177.00000,-55.00000,51.00000,17.00000,13.00000,574.00000,-115.00000,-1121.00000,20.00000,,20.00000,,-1216.00000,606.00000,606.00000,25.00000,25.00000,-87.00000,3.00000,547.00000,-99.00000,47.00000,-87.00000
2012-12-31,349.00000,104.00000,141.00000,245.00000,-30.00000,1.00000,23.00000,-6.00000,588.00000,-87.00000,-112.00000,-301.00000,372.00000,71.00000,,-128.00000,-145.00000,-145.00000,-269.00000,-269.00000,-65.00000,,-479.00000,-9.00000,46.00000,-65.00000
2011-12-31,383.00000,115.00000,91.00000,206.00000,-11.00000,24.00000,67.00000,80.00000,669.00000,-88.00000,-26.00000,-533.00000,501.00000,-32.00000,,-146.00000,-248.00000,-248.00000,-90.00000,-90.00000,,13.00000,-325.00000,191.00000,36.00000,
2010-12-31,389.00000,109.00000,69.00000,178.00000,5.00000,4.00000,-136.00000,-127.00000,440.00000,-42.00000,-190.00000,-237.00000,351.00000,114.00000,,-118.00000,193.00000,193.00000,-791.00000,-791.00000,,3.00000,-595.00000,-279.00000,33.00000,
2009-12-31,263.00000,115.00000,167.00000,282.00000,33.00000,-125.00000,129.00000,37.00000,582.00000,-59.00000,8.00000,-582.00000,580.00000,-2.00000,,-53.00000,-340.00000,-340.00000,8.00000,8.00000,,-4.00000,-336.00000,220.00000,35.00000,
