,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,1275.20000,694.10000,282.80000,976.90000,-337.80000,-337.30000,31.30000,-183.70000,-827.50000,1424.60000,-481.70000,-20.30000,,,123.10000,123.10000,-378.90000,-50.00000,,-50.00000,-939.50000,-939.50000,-373.10000,,-1362.60000,-316.90000,195.20000,-373.10000
2021-09-30,1498.30000,437.80000,139.70000,577.50000,-397.70000,-41.20000,59.60000,75.50000,-303.80000,1772.00000,-637.80000,-14.30000,-2751.00000,,269.90000,269.90000,-3133.20000,2238.20000,,2238.20000,-214.40000,-214.40000,-340.60000,-5.80000,1677.40000,316.20000,191.90000,-340.60000
2020-09-30,814.80000,364.30000,158.80000,523.10000,76.80000,-190.40000,61.10000,-80.90000,-133.40000,1204.50000,-389.40000,-9.10000,,,-182.90000,-182.90000,-581.40000,,,,-600.70000,-600.70000,-307.00000,,-907.70000,-284.60000,156.60000,-307.00000
2019-09-30,853.60000,371.60000,87.70000,459.30000,228.80000,-119.60000,-33.00000,-21.70000,54.50000,1367.40000,-398.40000,-25.00000,,,86.50000,86.50000,-336.90000,,,,-638.60000,-638.60000,-273.90000,,-912.50000,118.00000,80.10000,-273.90000
2018-09-30,918.40000,299.20000,122.50000,421.70000,-193.80000,11.90000,-126.00000,228.40000,-79.50000,1260.60000,-422.30000,-8.60000,-404.00000,,-315.50000,-315.50000,-1150.40000,,,,-750.50000,-750.50000,-243.20000,,-993.70000,-883.50000,107.80000,-243.20000
2017-09-30,1010.20000,254.80000,48.90000,303.70000,-37.10000,-69.20000,147.80000,100.90000,142.40000,1456.30000,-303.30000,-12.10000,-13.70000,3.20000,,3.20000,-325.90000,,,,-412.70000,-412.70000,-214.60000,29.90000,-597.40000,533.00000,88.50000,-214.60000
2016-09-30,995.20000,247.80000,34.60000,282.40000,121.40000,-147.30000,-181.50000,7.50000,-199.90000,1077.70000,-189.30000,-6.00000,-55.60000,,,,-250.90000,-76.50000,,-76.50000,-552.80000,-552.80000,-201.00000,43.70000,-786.60000,40.20000,78.00000,-201.00000
2015-09-30,798.30000,195.80000,60.00000,255.80000,-222.20000,3.60000,90.50000,66.80000,-61.30000,992.80000,-430.10000,,-24.60000,,,,-454.70000,,,,-234.50000,-234.50000,-123.10000,57.30000,-300.30000,237.80000,99.80000,-123.10000
2014-09-30,457.70000,122.70000,66.60000,189.30000,-12.40000,-6.10000,74.20000,69.70000,125.40000,772.40000,-208.60000,,-148.50000,,,,-357.10000,,,,-120.00000,-120.00000,-41.40000,40.80000,-120.60000,294.70000,86.00000,-41.40000
2013-09-30,278.10000,103.40000,92.00000,195.40000,4.90000,3.40000,-14.10000,32.00000,26.20000,499.70000,-123.80000,,,0.80000,,0.80000,-123.00000,,,,-182.40000,-182.40000,,9.70000,-172.70000,204.00000,71.70000,
2012-09-30,202.00000,102.70000,89.50000,192.20000,-109.20000,-19.30000,15.20000,4.30000,-109.00000,285.20000,-94.10000,,-229.60000,20.90000,,20.90000,-302.80000,-48.10000,,-48.10000,8.10000,8.10000,,-46.10000,-86.10000,-103.70000,72.20000,
2011-09-30,226.60000,78.00000,72.10000,150.10000,12.90000,-49.70000,-14.30000,40.20000,-10.90000,365.80000,-100.60000,,-249.30000,,,,-349.90000,,-50.00000,-50.00000,-27.00000,-27.00000,,12.50000,-64.50000,-48.60000,58.30000,
2010-09-30,137.29400,55.40200,84.99500,140.39700,-60.19800,-38.81800,42.86900,1.41800,-54.72900,222.96200,-88.92900,,-6.40000,,,,-95.32900,,-80.70900,-80.70900,36.09000,36.09000,,6.02200,-38.59700,89.03600,40.74100,
2009-09-30,94.98300,56.12000,19.33900,75.45900,29.94700,15.67800,9.21900,-6.48100,48.36300,218.80500,-39.17200,,-10.35600,,,,-49.52800,-51.10700,,-51.10700,36.27900,36.27900,,-15.33200,-30.16000,139.11700,23.46600,
