,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,3246.00000,4790.00000,-186.00000,4604.00000,,,,412.00000,412.00000,8262.00000,-17719.00000,,-729.00000,-729.00000,89.00000,-18359.00000,9331.00000,5115.00000,14446.00000,1460.00000,1460.00000,-3352.00000,-325.00000,12229.00000,2125.00000,-3352.00000
2021-12-31,2827.00000,4214.00000,998.00000,5212.00000,,,,-486.00000,-486.00000,7553.00000,-13316.00000,,-315.00000,-315.00000,40.00000,-13591.00000,7089.00000,2353.00000,9442.00000,14.00000,14.00000,-3024.00000,-625.00000,5807.00000,-230.00000,-3024.00000
2020-12-31,2369.00000,4315.00000,1903.00000,6218.00000,,,,-604.00000,-604.00000,7983.00000,-13598.00000,,-184.00000,-184.00000,83.00000,-13699.00000,6301.00000,2615.00000,8916.00000,-92.00000,-92.00000,-2743.00000,93.00000,6174.00000,438.00000,-2743.00000
2019-12-31,3388.00000,4478.00000,-88.00000,4390.00000,,,,377.00000,377.00000,8155.00000,-16146.00000,,-152.00000,-152.00000,121.00000,-16177.00000,8413.00000,-3195.00000,5218.00000,1494.00000,1494.00000,-2408.00000,-431.00000,3873.00000,-4145.00000,-2408.00000
2018-12-31,5776.00000,4147.00000,-2725.00000,1422.00000,,,,-605.00000,-605.00000,6593.00000,-4266.00000,,314.00000,314.00000,-6998.00000,-10950.00000,1289.00000,8113.00000,9402.00000,718.00000,718.00000,-2101.00000,-385.00000,7634.00000,3270.00000,-2101.00000
2017-12-31,5323.00000,2638.00000,-1849.00000,789.00000,,,,346.00000,346.00000,6458.00000,-5227.00000,1454.00000,-30.00000,-30.00000,-5115.00000,-8918.00000,1574.00000,3281.00000,4855.00000,55.00000,603.00000,-1845.00000,-725.00000,2888.00000,454.00000,-1845.00000
2016-12-31,2999.00000,3428.00000,231.00000,3659.00000,,,,-257.00000,-257.00000,6369.00000,-3582.00000,,-53.00000,-53.00000,-4411.00000,-8046.00000,2347.00000,1591.00000,3938.00000,537.00000,537.00000,-1612.00000,-439.00000,2424.00000,757.00000,-1612.00000
2015-12-31,2762.00000,3203.00000,226.00000,3429.00000,,,,-102.00000,-102.00000,6089.00000,-8325.00000,,-131.00000,-131.00000,460.00000,-7996.00000,1800.00000,405.00000,2205.00000,1298.00000,1298.00000,-1385.00000,-221.00000,1897.00000,7.00000,-1385.00000
2014-12-31,2469.00000,2896.00000,673.00000,3569.00000,,,,-538.00000,-538.00000,5500.00000,-6710.00000,,-146.00000,-146.00000,495.00000,-6361.00000,304.00000,1358.00000,1662.00000,633.00000,633.00000,-1261.00000,-34.00000,1000.00000,139.00000,-1261.00000
2013-12-31,1908.00000,2521.00000,725.00000,3246.00000,-268.00000,-81.00000,122.00000,231.00000,-52.00000,5102.00000,-6517.00000,,-65.00000,-65.00000,459.00000,-6123.00000,1775.00000,-583.00000,1192.00000,842.00000,842.00000,-1122.00000,218.00000,1130.00000,109.00000,-1122.00000
2012-12-31,1911.00000,1777.00000,494.00000,2271.00000,-286.00000,1.00000,-56.00000,171.00000,-190.00000,3992.00000,-9461.00000,,-118.00000,-118.00000,651.00000,-8928.00000,5018.00000,-78.00000,4940.00000,386.00000,386.00000,-1004.00000,566.00000,4888.00000,-48.00000,-1004.00000
2011-12-31,1923.00000,1849.00000,804.00000,2653.00000,149.00000,-308.00000,-184.00000,-233.00000,-502.00000,4074.00000,-5424.00000,,-119.00000,-119.00000,264.00000,-5279.00000,1819.00000,360.00000,2179.00000,-327.00000,-327.00000,-920.00000,348.00000,1280.00000,75.00000,-920.00000
2010-12-31,1957.00000,2073.00000,-433.00000,1640.00000,-102.00000,22.00000,179.00000,85.00000,237.00000,3834.00000,-5846.00000,,-102.00000,-102.00000,664.00000,-5284.00000,2955.00000,-1130.00000,1825.00000,308.00000,308.00000,-823.00000,204.00000,1514.00000,64.00000,-823.00000
2009-12-31,1615.00000,2004.00000,1037.00000,3041.00000,-13.00000,85.00000,-86.00000,-209.00000,-193.00000,4463.00000,-6006.00000,,-127.00000,-127.00000,198.00000,-5935.00000,1585.00000,154.00000,1739.00000,198.00000,198.00000,-766.00000,4.00000,1175.00000,-297.00000,-766.00000
