,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,5313.00000,474.00000,1081.00000,1555.00000,-2472.00000,6847.00000,,4226.00000,11243.00000,-4982.00000,-1452.00000,2972.00000,1520.00000,-2192.00000,-5654.00000,-998.00000,,-998.00000,-2894.00000,-2894.00000,-1375.00000,140.00000,-5127.00000,316.00000,-1375.00000
2021-12-31,8539.00000,619.00000,-3659.00000,-3040.00000,-2937.00000,9005.00000,,6116.00000,11149.00000,,1175.00000,-6447.00000,-5272.00000,-1387.00000,-6659.00000,1576.00000,,1576.00000,-4861.00000,-4861.00000,-1401.00000,277.00000,-4409.00000,-25.00000,-1401.00000
2020-12-31,3533.00000,657.00000,-854.00000,-197.00000,-450.00000,6183.00000,,5779.00000,9785.00000,,-81.00000,-5953.00000,-6034.00000,-1487.00000,-7521.00000,-313.00000,,-313.00000,-523.00000,-523.00000,-1388.00000,142.00000,-2082.00000,190.00000,-1388.00000
2019-12-31,4454.00000,700.00000,-184.00000,516.00000,568.00000,500.00000,,1061.00000,6342.00000,-29.00000,-1117.00000,-4177.00000,-5294.00000,-582.00000,-5905.00000,2318.00000,,2318.00000,-1530.00000,-1530.00000,-1354.00000,415.00000,-151.00000,306.00000,-1354.00000
2018-12-31,3962.00000,931.00000,668.00000,1599.00000,-2146.00000,2556.00000,,571.00000,5480.00000,,516.00000,-2561.00000,-2045.00000,-890.00000,-2935.00000,180.00000,,180.00000,-929.00000,-929.00000,-1337.00000,95.00000,-1991.00000,489.00000,-1337.00000
2017-12-31,3861.00000,954.00000,-611.00000,343.00000,-1491.00000,2372.00000,,516.00000,4503.00000,,-537.00000,-1791.00000,-2328.00000,-94.00000,-2422.00000,-496.00000,,-496.00000,-650.00000,-650.00000,-1308.00000,135.00000,-2319.00000,-237.00000,-1308.00000
2016-12-31,4135.00000,2315.00000,241.00000,2556.00000,-974.00000,591.00000,,-236.00000,5292.00000,-14248.00000,12350.00000,-3427.00000,8923.00000,3.00000,-5322.00000,-1.00000,,-1.00000,167.00000,167.00000,-1173.00000,265.00000,-742.00000,-797.00000,-1173.00000
2015-12-31,2834.00000,329.00000,533.00000,862.00000,198.00000,623.00000,-212.00000,461.00000,3864.00000,264.00000,-8216.00000,1921.00000,-6295.00000,-263.00000,-6294.00000,4942.00000,,4942.00000,-627.00000,-627.00000,-862.00000,242.00000,3695.00000,1120.00000,-862.00000
2014-12-31,2853.00000,188.00000,652.00000,840.00000,-346.00000,1383.00000,-89.00000,1051.00000,4496.00000,-766.00000,-603.00000,-861.00000,-1464.00000,-274.00000,-2504.00000,198.00000,1.00000,199.00000,-1302.00000,-1302.00000,-862.00000,188.00000,-1777.00000,76.00000,-862.00000
2013-12-31,3758.00000,268.00000,-264.00000,4.00000,186.00000,441.00000,-31.00000,551.00000,4022.00000,-977.00000,524.00000,-3596.00000,-3072.00000,-393.00000,-4442.00000,947.00000,,947.00000,-152.00000,-152.00000,-517.00000,113.00000,391.00000,-36.00000,-517.00000
2012-12-31,2706.00000,220.00000,-85.00000,135.00000,759.00000,690.00000,-123.00000,1159.00000,3995.00000,-98.00000,117.00000,-2903.00000,-2786.00000,-555.00000,-3439.00000,,150.00000,150.00000,115.00000,115.00000,-815.00000,,-550.00000,1.00000,-815.00000
2011-12-31,1540.00000,152.00000,810.00000,962.00000,339.00000,385.00000,-34.00000,729.00000,3470.00000,-606.00000,-300.00000,-1648.00000,-1948.00000,-482.00000,-3036.00000,,-50.00000,-50.00000,-56.00000,-56.00000,-459.00000,,-565.00000,-158.00000,-459.00000
2010-12-31,3085.00000,145.00000,-322.00000,-177.00000,725.00000,-92.00000,-13.00000,630.00000,3546.00000,-1139.00000,,-2709.00000,-2709.00000,-333.00000,-4181.00000,199.00000,1141.00000,1340.00000,-173.00000,-173.00000,-435.00000,,732.00000,103.00000,-435.00000
2009-12-31,2549.00000,53.00000,177.00000,230.00000,348.00000,695.00000,24.00000,1080.00000,3335.00000,,,-3323.00000,-3323.00000,99.00000,-3224.00000,500.00000,-466.00000,34.00000,25.00000,25.00000,-388.00000,8.00000,-321.00000,-198.00000,-388.00000
