,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-09-30,313.08100,122.04000,215.31200,337.35200,-165.00600,-35.08400,-215.10700,435.32600,-19.49600,-6.45100,-250.42500,0.00000,46.90600,46.90600,28.26500,-201.20100,-0.29700,-91.00000,-91.29700,-103.79300,-103.79300,-68.99100,-264.08100,-54.15900,174.86300
2021-09-30,476.92300,122.53400,-51.02600,71.50800,-119.41800,-116.05400,-179.62200,368.80900,-24.71300,-0.55000,-718.03000,2.29900,52.17000,54.46900,0.96500,-687.85900,-0.35400,432.00000,431.64600,-8.42500,-8.42500,-52.95700,370.26400,51.08700,177.28900
2020-09-30,130.69500,119.50400,87.34100,206.84500,-32.36500,-49.89800,-103.73200,233.80800,-20.19600,-11.05000,-483.47800,-3.34800,1.52100,-1.82700,-9.42100,-525.97200,500.00000,-155.12500,344.87500,18.38200,18.38200,-65.84700,297.41000,5.27100,115.14900
2019-09-30,-27.46000,77.82400,83.96000,161.78400,29.44600,117.04100,150.82100,285.14500,-64.41100,,-86.73700,-1.05100,-7.50000,-8.55100,9.67500,-150.02400,,25.00000,25.00000,-102.01900,-102.01900,-45.94100,-122.96000,9.59600,86.40000
2018-09-30,51.98700,87.40800,26.91700,114.32500,20.39600,52.45800,81.44000,247.75200,-36.04100,-3.00000,-3.00000,-6.17100,-1.00000,-7.17100,,-49.21200,,-70.00000,-70.00000,-84.34600,-84.34600,-56.50000,-210.84600,-20.11600,82.93900
2017-09-30,6.23900,86.74200,50.69100,137.43300,12.83200,-5.97200,-8.46900,135.20300,-25.44400,,-4.96000,-0.94100,15.21800,14.27700,,-16.12700,,-40.00000,-40.00000,-40.21300,-40.21300,-37.89200,-118.10500,2.03700,76.70800
2016-09-30,-54.46500,86.55400,22.78000,109.33400,52.61700,22.26700,128.39200,183.26100,-26.18900,,-165.80200,-44.60500,-0.56000,-45.16500,,-237.15600,,90.00000,90.00000,0.02100,0.02100,-38.41500,51.60600,4.51800,65.99600
2015-09-30,47.55700,84.43300,0.95400,85.38700,29.72300,46.58800,46.95900,179.90300,-30.62800,,-98.41100,,-11.00000,-11.00000,,-140.03900,,56.25000,56.25000,-64.89900,-64.89900,-33.50600,-42.15500,-20.23700,50.18200
2014-09-30,160.19400,77.30700,19.75500,97.06200,7.55400,12.07000,47.29600,304.55200,-25.27500,,-323.52500,,,,,-348.80000,,353.75000,353.75000,-224.03800,-224.03800,-24.35900,105.35300,51.74100,50.88900
2013-09-30,143.76900,76.55100,9.07800,85.62900,17.30800,-13.02000,-4.71500,224.68300,-29.32800,,-245.84300,,,,0.72100,-274.45000,,-111.87500,-111.87500,-69.98700,-69.98700,-14.66200,-196.52400,-247.63000,48.78700
2012-09-30,-35.39800,66.47100,155.03700,221.50800,32.30900,11.13400,31.86500,217.97500,-31.41300,,-0.22000,,,,,-31.63300,,170.00000,170.00000,-13.74300,-13.74300,-21.59400,134.66300,321.66500,51.30500
2011-09-30,85.42400,62.39400,10.44500,72.83900,-32.33400,-4.78900,-74.16700,78.69800,-27.81700,,-280.02600,,,,,-307.84300,,200.00000,200.00000,-30.16500,-30.16500,-19.41500,150.42000,-72.37500,45.40200
2010-09-30,24.36800,62.18200,72.19900,134.38100,-0.53100,-11.04200,-1.88400,156.64400,-26.72900,,-2.72100,,,,,-29.45000,,-50.83200,-50.83200,-47.25800,-47.25800,-22.64500,-120.73500,5.13100,48.91100
2009-09-30,31.52200,61.61000,-10.06500,51.54500,55.34700,-24.87100,-0.29700,69.67600,-30.08700,,-32.79000,,,,,-62.87700,,-31.95100,-31.95100,-9.02100,-9.02100,8.52000,-32.45200,-21.81900,43.32800
