,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1377.15900,276.06600,91.13400,367.20000,-13.00900,23.75600,-75.46800,-52.77700,1691.58200,-753.05200,205.58000,205.58000,,-547.47200,,,-1277.21900,-1277.21900,-134.48400,-8.65900,-1420.36200,-276.25200,15.89300,-134.48400
2021-12-31,1034.37500,259.89900,59.53100,319.43000,-125.56200,14.00800,-12.67900,-141.19900,1212.60600,-530.52910,75.74100,75.74100,-0.50000,-455.28800,,,-536.46500,-536.46500,-92.36600,-67.35300,-696.18400,61.13400,15.03900,-92.36600
2020-12-31,672.68200,261.26700,-16.97500,244.29200,-49.04500,-1.74300,59.54700,16.05000,933.02400,-221.39100,-330.17200,-330.17200,-0.10000,-551.66300,54.92300,54.92300,-364.05700,-364.05700,-71.02300,-3.34500,-383.50200,-2.14100,11.33700,-71.02300
2019-12-31,615.51800,253.68100,47.00600,300.68700,30.33000,-8.26400,7.70800,67.68300,983.88800,-473.63900,0.00000,,,-473.63900,,,-240.96000,-240.96000,-54.55200,-1.44800,-296.96000,213.28900,16.71700,-54.55200
2018-12-31,605.66800,230.35700,63.08000,293.43700,-34.66600,4.78900,48.70100,1.01100,900.11600,-581.30900,,,0.91800,-580.39100,-50.00000,-50.00000,-163.26500,-163.26500,-42.56600,-1.07400,-256.90500,62.82000,4.89400,-42.56600
2017-12-31,463.77400,205.76300,-78.12300,127.64000,-76.35300,-15.48700,39.81600,-55.12000,536.29400,-369.88500,,,2.13900,-367.74600,,-9.97500,-8.01300,-8.01300,-32.92500,-0.34400,-51.25700,117.29100,3.24200,-32.92500
2016-12-31,295.76500,189.86700,36.38600,226.25300,-11.17600,22.44200,11.11500,43.56500,565.58300,-407.40000,,,,-407.40000,-26.48800,-28.83000,-130.31600,-130.31600,,-0.33800,-159.48400,-1.30100,1.41000,
2015-12-31,304.69000,165.34300,40.05000,205.39300,-8.67200,21.46000,19.49800,43.79700,553.88000,-437.61700,,,,-437.61700,-37.77800,-25.46100,-114.11700,-114.11700,,,-139.57800,-23.31500,,
2014-12-31,267.51400,146.46600,24.82800,171.29400,-54.44300,8.52600,35.54100,-47.13400,391.67400,-345.81400,,,,-345.81400,-35.71500,-35.71500,-5.53200,-5.53200,,,-41.24700,4.61300,,
2013-12-31,206.11300,127.07200,26.99300,154.06500,-30.06300,-8.10300,40.68100,-9.51200,350.66600,-284.37100,,,,-284.37100,-38.97800,-48.97800,,,,,-48.97800,17.31700,,
2012-12-31,169.45200,110.74300,17.76000,128.50300,-5.41000,2.79500,23.45200,30.10100,328.05600,-361.17500,,,,-361.17500,-39.87200,-29.87200,,,,-0.00200,-29.87400,-62.99300,,
2011-12-31,139.47000,90.82000,44.61100,135.43100,-40.41400,12.87500,27.34800,3.03300,277.93400,-245.33200,,,,-245.33200,55.62800,-10.60200,48.40000,48.40000,,,37.79800,70.40000,,
2010-12-31,75.65100,80.36200,8.38200,88.74400,-36.16900,-4.24700,20.15600,-23.87300,140.52200,-103.74300,,,,-103.74300,-36.68100,-35.49800,,,,-0.00200,-35.50000,1.27900,,
2009-12-31,34.87100,94.78400,10.95100,105.73500,2.80600,-7.53100,-7.97700,-9.89000,130.71600,-208.58500,4.86100,4.86100,,-203.72400,-11.97200,53.07500,,,,,53.07500,-19.93300,,
