,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,820.00000,649.00000,45.00000,694.00000,-114.00000,,-56.00000,-406.00000,1108.00000,-1689.00000,-315.00000,-123.00000,-2127.00000,807.00000,591.00000,1398.00000,,,-467.00000,69.00000,1000.00000,-19.00000,,-467.00000
2021-12-31,1263.00000,636.00000,-544.00000,92.00000,-74.00000,,-56.00000,86.00000,1441.00000,-1292.00000,-135.00000,-109.00000,-1536.00000,246.00000,-198.00000,48.00000,,,-428.00000,35.00000,-345.00000,-440.00000,,-428.00000
2020-12-31,709.00000,604.00000,207.00000,811.00000,-97.00000,,5.00000,-94.00000,1426.00000,-1820.00000,-135.00000,-106.00000,-2061.00000,1492.00000,-5.00000,1487.00000,,,-389.00000,22.00000,1120.00000,485.00000,,-389.00000
2019-12-31,621.00000,582.00000,246.00000,828.00000,-25.00000,,-107.00000,-66.00000,1383.00000,-1606.00000,-235.00000,-104.00000,-1945.00000,1035.00000,-178.00000,857.00000,-21.00000,-21.00000,-353.00000,11.00000,494.00000,-68.00000,,-353.00000
2018-12-31,565.00000,545.00000,308.00000,853.00000,,-17.00000,-40.00000,-32.00000,1386.00000,-1551.00000,-398.00000,-87.00000,-2036.00000,832.00000,60.00000,892.00000,154.00000,154.00000,-319.00000,-1.00000,726.00000,76.00000,,-319.00000
2017-12-31,426.00000,492.00000,478.00000,970.00000,21.00000,,-6.00000,53.00000,1449.00000,-1419.00000,-177.00000,-76.00000,-1672.00000,499.00000,55.00000,554.00000,-39.00000,-39.00000,-289.00000,-19.00000,207.00000,-16.00000,,-289.00000
2016-12-31,468.00000,470.00000,330.00000,800.00000,-31.00000,,-8.00000,21.00000,1289.00000,-1302.00000,-204.00000,-84.00000,-1590.00000,409.00000,221.00000,630.00000,-52.00000,-52.00000,-261.00000,11.00000,328.00000,27.00000,,-261.00000
2015-12-31,476.00000,440.00000,349.00000,789.00000,-84.00000,,-66.00000,-70.00000,1195.00000,-1155.00000,-197.00000,-107.00000,-1459.00000,433.00000,180.00000,613.00000,-87.00000,-87.00000,-239.00000,3.00000,290.00000,26.00000,,-239.00000
2014-12-31,423.00000,424.00000,299.00000,723.00000,-62.00000,27.00000,-14.00000,-49.00000,1097.00000,-942.00000,-9.00000,-63.00000,-1014.00000,261.00000,-180.00000,81.00000,21.00000,21.00000,-216.00000,27.00000,-87.00000,-4.00000,,-216.00000
2013-12-31,369.00000,407.00000,355.00000,762.00000,-79.00000,15.00000,-171.00000,-235.00000,896.00000,-979.00000,-24.00000,-50.00000,-1053.00000,-92.00000,360.00000,268.00000,26.00000,26.00000,-149.00000,15.00000,160.00000,3.00000,,-149.00000
2012-12-31,358.07000,379.98500,308.14100,688.12600,-34.52800,-10.57200,-86.36900,-90.59800,955.59800,-366.83500,-44.56000,29.03900,-382.35600,-156.52400,-245.87600,-402.40000,27.86000,23.48400,-213.45900,29.35900,-563.01600,10.22600,11.47000,-213.45900
2011-12-31,309.61300,351.82100,254.30900,606.13000,-34.81900,37.82400,-112.04900,-107.38600,808.35700,-914.88600,-7.22000,9.70900,-912.39700,-57.53500,286.16200,228.62700,13.86600,11.97800,-157.85500,22.38500,105.13500,1.09500,10.00800,-157.85500
2010-12-31,267.82700,330.26400,179.30000,509.56400,-35.97700,6.48700,-31.21100,-2.45800,774.93300,-765.39700,-1.64200,20.29600,-746.74300,-4.14100,110.20200,106.06100,6.71100,6.48300,-150.30100,0.42300,-37.33400,-9.14400,10.33400,-150.30100
2009-12-31,-233.08300,308.46100,708.36500,1016.82600,-18.75100,0.05200,-144.14600,-187.58700,596.15600,-784.02800,-18.14400,98.56100,-703.61100,364.79500,-359.51300,5.28200,244.39000,244.17200,-137.33100,8.04600,120.16900,12.71400,7.60200,-137.33100
