,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-11-30,4756.00000,856.00000,1890.00000,2746.00000,-198.00000,66.00000,442.00000,336.00000,7838.00000,-442.00000,-126.00000,44.00000,-46.00000,-2.00000,,-570.00000,,,,-6272.00000,-6272.00000,-553.00000,-6825.00000,392.00000,1440.00000
2021-11-30,4822.00000,788.00000,1328.00000,2116.00000,-430.00000,-20.00000,578.00000,292.00000,7230.00000,-348.00000,-2682.00000,-465.00000,-42.00000,-507.00000,,-3537.00000,,,,-3659.00000,-3659.00000,-642.00000,-4301.00000,-634.00000,1069.00000
2020-11-30,5260.00000,757.00000,-476.00000,281.00000,106.00000,96.00000,-30.00000,186.00000,5727.00000,-419.00000,,11.00000,-6.00000,5.00000,,-414.00000,-6.00000,,-6.00000,-2780.00000,-2780.00000,-702.00000,-3488.00000,1828.00000,909.00000
2019-11-30,2951.00000,757.00000,757.00000,1514.00000,-188.00000,23.00000,-54.00000,-43.00000,4422.00000,-395.00000,-101.00000,86.00000,-46.00000,40.00000,,-456.00000,,,,-2517.00000,-2517.00000,-429.00000,-2946.00000,1007.00000,788.00000
2018-11-30,2591.00000,346.00000,149.00000,495.00000,-2.00000,55.00000,367.00000,943.00000,4029.00000,-267.00000,-6314.00000,1909.00000,-13.00000,1896.00000,,-4685.00000,2248.00000,,2248.00000,-1859.00000,-1859.00000,-394.00000,-5.00000,-663.00000,610.00000
2017-11-30,1693.95400,325.99700,505.20800,831.20500,-187.17300,-45.18600,503.44200,387.69400,2912.85300,-178.12200,-459.62600,222.65510,-27.78400,194.87110,,-442.87700,,,,-941.64900,-941.64900,-242.08600,-1183.73500,1294.75700,454.47200
2016-11-30,1168.78200,331.53500,303.58100,635.11600,-160.41600,-6.28100,453.81900,395.83000,2199.72800,-203.80500,-48.42700,-655.14490,-52.65600,-707.80090,,-960.03300,-0.10800,,-0.10800,-929.30300,-929.30300,-161.29500,-1090.70600,134.75500,349.29700
2015-11-30,629.55100,339.47300,168.64000,508.11300,-79.50200,22.87000,313.10000,331.83800,1469.50200,-127.15700,-826.00400,-516.56700,-18.63000,-535.19700,,-1488.35800,989.28000,-602.18900,387.09100,-460.73000,-460.73000,-127.04800,-200.68700,-240.84000,335.85900
2014-11-30,268.39500,313.59000,309.41700,623.00710,7.92800,6.21100,324.52000,396.08000,1287.48200,-148.33200,-29.80200,-298.53300,-14.04000,-312.57300,,-490.70700,,-14.68400,-14.68400,-372.15900,-372.15900,-120.44000,-507.28300,282.84400,333.70100
2013-11-30,289.98500,321.22700,377.83200,699.05900,33.64900,7.13200,145.85700,162.64200,1151.68600,-164.09800,-704.58900,-247.61210,-61.50400,-309.11610,,-1177.80300,25.70300,-25.87900,-0.17600,-501.80600,-501.80600,-57.15600,-559.13800,-590.49600,328.98700
2012-11-30,832.77500,299.76600,356.63100,656.39700,45.16600,-62.87400,91.89200,10.40800,1499.58000,-271.07600,-353.19500,-209.72090,-0.67000,-210.39090,,-834.66200,3.15200,-9.85500,-6.70300,-169.74900,-169.74900,-58.27100,-234.72300,435.55200,298.50200
2011-11-30,832.84700,270.20500,362.55200,632.75700,-81.06500,32.20300,96.00900,77.71000,1543.31400,-210.29400,-259.04600,-226.87690,-61.18500,-288.06190,,-757.40200,,-10.04600,-10.04600,-550.26100,-550.26100,9.94900,-550.35800,239.60900,286.10300
2010-11-30,774.68000,292.73800,68.21300,360.95100,-134.27600,-10.09200,69.38500,-22.63600,1112.99500,-137.49100,-193.28100,-822.80810,-5.71400,-828.52210,,-1159.29400,1493.43900,-1003.71900,489.72000,-710.75000,-710.75000,5.76800,-215.26200,-249.59600,231.08600
2009-11-30,386.50800,282.42300,264.51000,546.93300,172.28700,-13.60100,-23.32800,184.35300,1117.79400,-119.59200,-1582.66900,213.84100,-11.44700,202.39400,2.77100,-1497.09600,636.10300,,636.10300,-170.44700,-170.44700,11.98000,477.63600,113.03700,167.58100
