,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,12587.00000,3747.00000,2298.00000,6045.00000,-1124.00000,-6465.00000,,-2348.00000,-3908.00000,14724.00000,-6222.00000,-9.00000,,-5813.00000,-5813.00000,71.00000,-11973.00000,-3866.00000,-3866.00000,541.00000,541.00000,-202.00000,-3527.00000,-1220.00000,1560.00000
2021-12-31,5644.00000,2911.00000,2424.00000,5335.00000,-130.00000,-1709.00000,,-2221.00000,518.00000,11497.00000,-7710.00000,0.00000,,-132.00000,-132.00000,-26.00000,-7868.00000,-5732.00000,-5732.00000,707.00000,707.00000,-178.00000,-5203.00000,-1757.00000,2121.00000
2020-12-31,862.00000,2322.00000,2575.00000,4897.00000,-652.00000,-422.00000,,-844.00000,184.00000,5943.00000,-3157.00000,-10.00000,-13.00000,,,48.00000,-3132.00000,-2488.00000,-2488.00000,12686.00000,12686.00000,-225.00000,9973.00000,13118.00000,1734.00000
2019-12-31,-775.00000,2154.00000,1375.00000,3529.00000,-367.00000,-429.00000,,-199.00000,-349.00000,2405.00000,-1327.00000,-5.00000,-45.00000,,,-59.00000,-1436.00000,322.00000,322.00000,1285.00000,1285.00000,-78.00000,1529.00000,2506.00000,898.00000
2018-12-31,-1063.00000,2060.00000,1043.00000,3103.00000,-497.00000,-1023.00000,,-219.00000,58.00000,2098.00000,-2101.00000,0.00000,-18.00000,,,-218.00000,-2337.00000,89.00000,89.00000,296.00000,296.00000,189.00000,574.00000,312.00000,749.00000
2017-12-31,-2241.00000,1727.00000,950.00000,2677.00000,-25.00000,-179.00000,,-681.00000,-497.00000,-61.00000,-3415.00000,0.00000,-115.00000,,,-666.00000,-4196.00000,3468.00000,3468.00000,482.00000,482.00000,465.00000,4415.00000,198.00000,467.00000
2016-12-31,-773.04600,1041.78900,301.28900,1343.07800,-216.56500,-632.86700,,-595.06900,-693.86100,-123.82900,-1280.80200,,342.71900,16.66700,16.66700,-159.66900,-1081.08500,1718.19000,1718.19000,1865.55100,1865.55100,160.23500,3743.97600,2532.50900,334.22500
2015-12-31,-888.66300,500.64400,356.80900,857.45300,46.26700,-369.36400,,-433.53700,-493.28900,-524.49900,-1634.85000,,-12.26000,,,-26.44100,-1673.55100,683.93700,683.93700,856.61100,856.61100,-17.02500,1523.52300,-708.80500,197.99900
2014-12-31,-294.04000,301.66500,191.86300,493.52800,-183.65800,-1050.26400,,562.24100,-256.82500,-57.33700,-969.88500,,,-16.71000,-16.71000,-3.84900,-990.44400,1688.66400,1688.66400,489.61500,489.61500,-35.14900,2143.13000,1059.82400,156.49600
2013-12-31,-74.01400,120.78400,69.07600,189.86000,-21.70500,-460.56100,,543.81100,148.95800,264.80400,-264.22400,,,,,14.80700,-249.41700,21.69800,21.69800,630.62500,630.62500,-16.90100,635.42200,643.99900,80.73700
2012-12-31,-396.21300,28.82500,58.63100,87.45600,-17.30300,-194.72600,189.94400,57.42400,44.94200,-263.81500,-239.22800,,,25.00800,25.00800,7.29000,-206.93000,173.25400,173.25400,246.38100,246.38100,,419.63500,-53.37600,50.14500
2011-12-31,-254.41100,16.91900,34.23000,51.14900,-2.82900,-13.63800,19.89100,61.18400,75.22800,-128.03400,-184.22600,,,-24.95200,-24.95200,46.92000,-162.25800,204.00700,204.00700,241.99300,241.99300,,446.00000,155.70800,29.41900
2010-12-31,-154.32800,10.62300,27.06300,37.68600,-3.22200,-28.51300,-0.21200,7.42700,-11.17500,-127.81700,-40.20300,,-65.21000,,,-74.88400,-180.29700,71.51300,71.51300,270.19200,270.19200,-3.66000,338.04500,29.93100,21.15600
2009-12-31,-55.74000,6.94000,5.51800,12.45800,-0.16800,-7.92500,0.90200,-33.73900,-37.54300,-80.82500,-11.88400,,,,,-2.36000,-14.24400,25.14600,25.14600,0.49700,132.31900,-2.04600,155.41900,60.35000,1.43400
