,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-369.00000,2185.00000,2245.00000,4430.00000,-841.00000,-841.00000,3220.00000,-2131.00000,-15.00000,-101.00000,-707.00000,-808.00000,-29.00000,-2983.00000,-155.00000,-155.00000,,,-1746.00000,-455.00000,-2356.00000,-2149.00000,73.00000,-1746.00000
2021-12-31,233.00000,2323.00000,2264.00000,4587.00000,-541.00000,-541.00000,4279.00000,-1653.00000,-328.00000,-150.00000,153.00000,3.00000,110.00000,-1868.00000,-463.00000,-463.00000,-525.00000,-525.00000,-1757.00000,-213.00000,-2958.00000,-555.00000,72.00000,-1757.00000
2020-12-31,2791.00000,2300.00000,-504.00000,1796.00000,295.00000,295.00000,4882.00000,-1302.00000,,-60.00000,328.00000,268.00000,1125.00000,91.00000,-241.00000,-241.00000,-521.00000,-521.00000,-834.00000,-84.00000,-1680.00000,3299.00000,72.00000,-834.00000
2019-12-31,2884.00000,1960.00000,-1669.00000,291.00000,-309.00000,-309.00000,2866.00000,-1463.00000,127.00000,-28.00000,87.00000,59.00000,51.00000,-1226.00000,-1241.00000,-1241.00000,-479.00000,-479.00000,-889.00000,-168.00000,-2777.00000,-1140.00000,97.00000,-889.00000
2018-12-31,380.00000,1215.00000,975.00000,2190.00000,-743.00000,-743.00000,1827.00000,-1032.00000,-140.00000,,-21.00000,-21.00000,16.00000,-1177.00000,,,-98.00000,-98.00000,-301.00000,-56.00000,-455.00000,191.00000,76.00000,-301.00000
2017-12-31,-109.00000,1261.00000,1364.00000,2625.00000,-392.00000,-392.00000,2124.00000,-866.00000,,,-95.00000,-95.00000,15.00000,-946.00000,-384.00000,-384.00000,,,-134.00000,-150.00000,-668.00000,516.00000,70.00000,-134.00000
2016-12-31,-943.00000,1213.00000,3009.00000,4222.00000,-493.00000,-493.00000,2786.00000,-1133.00000,,,180.00000,180.00000,879.00000,-74.00000,-1307.00000,-1307.00000,,,-213.00000,-297.00000,-1817.00000,394.00000,70.00000,-213.00000
2015-12-31,304.00000,1217.00000,830.00000,2047.00000,-206.00000,-206.00000,2145.00000,-1311.00000,-823.00000,,12.00000,12.00000,81.00000,-2041.00000,-229.00000,-229.00000,675.00000,675.00000,-55.00000,-89.00000,302.00000,128.00000,77.00000,-55.00000
2014-12-31,329.00000,1109.00000,690.00000,1799.00000,-690.00000,-690.00000,1438.00000,-1040.00000,-28.00000,,-1.00000,-1.00000,562.00000,-507.00000,-87.00000,-87.00000,,,-118.00000,140.00000,-65.00000,919.00000,51.00000,-118.00000
2013-12-31,-2795.00000,1362.00000,4062.00000,5424.00000,-1086.00000,-1086.00000,1543.00000,-1900.00000,-13.00000,-1.00000,589.00000,588.00000,12.00000,-1313.00000,388.00000,388.00000,2.00000,2.00000,-612.00000,10.00000,-212.00000,-6.00000,64.00000,-612.00000
2012-12-31,2111.00000,1032.00000,302.00000,1334.00000,-1073.00000,-1073.00000,2372.00000,-3210.00000,-25.00000,-220.00000,210.00000,-10.00000,-19.00000,-3264.00000,1548.00000,1548.00000,24.00000,24.00000,-698.00000,-185.00000,689.00000,-199.00000,72.00000,-698.00000
2011-12-31,972.00000,1036.00000,1887.00000,2923.00000,-311.00000,-311.00000,3584.00000,-2787.00000,-2309.00000,60.00000,,60.00000,-31.00000,-5067.00000,-262.00000,-262.00000,40.00000,40.00000,-611.00000,-21.00000,-854.00000,-2296.00000,79.00000,-611.00000
2010-12-31,3116.00000,945.00000,-140.00000,805.00000,-754.00000,-754.00000,3167.00000,-1402.00000,-4.00000,-25.00000,,-25.00000,12.00000,-1419.00000,-430.00000,-430.00000,60.00000,60.00000,-708.00000,163.00000,-915.00000,841.00000,70.00000,-708.00000
2009-12-31,2093.00000,806.00000,275.00000,1081.00000,-227.00000,-227.00000,2947.00000,-1769.00000,-1007.00000,12.00000,,12.00000,-17.00000,-2781.00000,1568.00000,1568.00000,1278.00000,1278.00000,-590.00000,314.00000,2570.00000,2780.00000,57.00000,-590.00000
