,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-10-31,1.49010,0.41660,0.71410,37.36070,4.60510,4.60510,4.15940,6.98190,0.33660,0.83140,10.96850,10.96850,2.35000,6.39890,7.04380,0.258,0.1318
2022-07-31,1.36940,0.44320,0.79610,34.48280,-0.72600,-0.72600,-1.24450,-1.27040,0.31690,0.80610,-2.12580,-2.12580,-0.40260,-1.18360,6.33240,0.4144,-0.0683
2022-04-30,1.44150,0.42780,0.74780,31.52140,-5.66580,-5.66580,-6.21230,-4.65920,0.28370,0.75130,-6.60150,-6.60150,-1.32170,-3.77710,6.65040,-0.97840,-0.69460
2022-01-31,1.26690,0.35280,0.54520,33.65750,0.17680,0.17680,-0.17680,-0.35360,0.35460,0.99470,-0.58780,-0.58780,-0.12540,-0.38040,7.33690,0.2985,-0.221
2021-10-31,1.36200,0.34750,0.53250,42.12530,3.88030,3.88030,-5.45270,-3.85490,0.30850,0.83870,-5.45390,-5.45390,-1.18940,-3.55890,7.45190,-0.238,-0.8336
2021-07-31,1.69650,0.42370,0.73510,43.29140,9.71270,9.71270,8.52530,6.12680,0.30610,1.04690,8.54300,8.54300,1.87510,4.92370,8.03190,1.1687,0.7939
2021-04-30,1.64980,0.44150,0.79040,40.84190,6.01350,6.01350,4.68550,4.15940,0.29340,0.99620,5.91590,5.91590,1.22020,3.30410,7.44300,0.88310,0.56100
2021-01-31,1.54690,0.45880,0.84770,37.70340,3.02890,3.02890,1.74050,5.28930,0.32130,1.12440,8.95180,8.95180,1.69950,4.84470,6.98930,-0.4163,-0.7065
2020-10-31,1.43580,0.48290,0.93380,40.56080,4.38160,4.38160,3.02950,2.37860,0.27790,0.86420,4.00670,4.00670,0.66100,2.07200,6.33960,1.2826,1.0809
2020-07-31,1.46260,0.49540,0.98180,35.08400,2.22900,2.22900,-1.25190,-1.89310,0.23880,0.94830,-2.75190,-2.75190,-0.45200,-1.38860,6.02410,2.2943,2.066
2020-04-30,1.22880,0.35040,0.75530,12.71950,-59.04130,-59.04130,-59.75320,-44.23350,0.16580,0.82950,-40.22440,-40.22440,-7.33280,-26.12840,6.21180,-2.52690,-2.85480
2020-01-31,1.40730,0.27360,0.37670,35.81520,-5.24180,-5.24180,-5.43430,-3.93670,0.34170,1.39150,-5.54890,-5.54890,-1.34510,-4.03070,8.93800,2.3285,1.8641
2019-10-31,1.43230,0.25580,0.34370,38.99450,5.52780,5.52780,5.22760,3.50180,0.28320,0.89670,3.85250,3.85250,0.99160,2.86710,9.74260,-0.134,-0.6726
2019-07-31,1.45720,0.25630,0.34460,38.85140,7.04120,7.04120,6.76650,4.19480,0.28520,1.05290,4.63450,4.63450,1.19630,3.44690,9.64100,1.4622,1.0386
2019-04-30,1.48780,0.25910,0.34980,36.26550,8.52670,8.52670,8.14890,6.12520,0.27210,1.05350,6.35680,6.35680,1.66670,4.70950,9.44710,0.07610,-0.67980
2019-01-31,1.95540,0.26010,0.35150,35.58300,8.04670,8.04670,7.89530,5.97010,0.57440,1.39750,7.76810,7.76810,3.42900,5.74760,9.39950,2.0942,1.595
2018-10-31,1.96990,0.26640,0.36310,39.69190,8.87750,8.87750,8.55960,6.50530,0.50030,0.92430,7.73260,7.73260,3.25460,5.67290,9.00520,0.0651,-0.4168
2018-07-31,1.96070,0.27220,0.37400,39.82860,9.74300,9.74300,9.49820,7.27050,0.51000,1.11630,8.89220,8.89220,3.70790,6.47200,8.67530,1.5679,1.0832
2018-04-30,2.03450,0.28090,0.39070,37.72140,6.05340,6.05340,5.78910,4.33520,0.49870,1.15770,5.12980,5.12980,2.16220,3.68870,8.26100,-0.16790,-0.51910
2018-01-31,1.85620,0.28430,0.39730,36.81460,8.28800,8.28800,8.01590,4.29050,0.59810,1.51180,6.52040,6.52040,2.56600,4.66650,8.08230,1.9581,1.2903
2017-10-31,1.72690,0.29210,0.41270,39.73420,9.84890,9.84890,9.48410,5.96660,0.48610,0.93420,7.57280,7.57280,2.90060,5.36050,7.77380,0.2994,-0.1842
2017-07-31,1.77490,0.29760,0.42380,38.93130,11.87150,11.87150,11.55570,7.13350,0.49880,1.13120,9.20200,9.20200,3.55780,6.46320,7.51280,0.9998,0.5803
2017-04-30,1.78930,0.30360,0.45950,37.87790,7.38370,7.38370,6.91860,4.15700,0.46420,1.08980,4.99650,4.99650,1.92960,3.47930,7.22730,0.22750,-0.04750
2017-01-31,1.75910,0.30060,0.45210,33.89030,6.79610,6.79610,6.43490,4.96730,0.58200,1.60000,7.57580,7.57580,2.89090,5.29870,7.27820,2.2975,1.945
2016-10-31,1.60240,0.32620,0.63980,39.31020,10.24220,10.24220,9.79460,5.37120,0.47430,0.96120,7.48350,7.48350,2.54780,5.04200,6.83210,0.1604,-0.1204
2016-07-31,1.54660,0.34050,0.68190,37.31500,7.24490,7.24490,6.82940,3.24590,0.49770,1.23730,4.88470,4.88470,1.61560,3.22160,6.42960,1.4185,1.0902
2016-04-30,1.54400,0.34320,0.69070,35.16580,6.45720,6.45720,5.93370,3.69400,0.45800,1.13840,5.03570,5.03570,1.69180,3.30730,6.33670,0.42110,0.07270
2016-01-31,1.57200,0.33980,0.68020,32.83920,8.09580,8.09580,7.75370,4.88030,0.58680,1.57230,8.40860,8.40860,2.86360,5.55120,6.41060,2.0606,1.5404
2015-10-31,1.57550,0.33780,0.67150,37.33470,10.73370,10.73370,10.26710,6.42990,0.49410,0.96760,9.50560,9.50560,3.17700,6.29440,6.45790,0.2631,-0.2545
