,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.90460,0.69600,2.31790,34.84000,13.25100,13.25100,10.10670,7.94500,0.14710,1.32560,67.89160,5.29270,-2.25530,1.16830,1.60890,28.77830,4.5958,3.7088
2022-06-30,0.96220,0.70210,2.38550,34.17110,12.79300,12.79300,9.26290,7.22960,0.14500,1.30040,69.20930,4.78330,-2.05050,1.04860,1.42480,28.68170,1.7532,0.8997
2022-03-31,0.92530,0.67950,2.13500,34.89350,13.87330,13.87330,11.21080,9.10870,0.14290,1.34030,67.14690,5.49080,-2.59380,1.30160,1.76000,31.26780,2.62670,1.71150
2021-12-31,0.90880,0.66570,2.00680,34.98350,12.73380,12.73380,10.34100,8.74590,0.14730,1.39360,64.57920,5.26320,-2.60610,1.28800,1.75920,31.69990,3.5665,2.6192
2021-09-30,0.93540,0.67450,2.08820,33.55940,8.90590,8.90590,8.05070,7.69680,0.14110,1.42120,63.32650,4.47760,-2.15580,1.08600,1.45730,30.50240,4.3067,3.4804
2021-06-30,1.05170,0.67820,2.13320,32.43170,8.31880,8.31880,6.45720,5.09020,0.14360,1.46610,61.38740,3.03820,-1.51370,0.73110,0.97770,30.06260,2.7656,2.0216
2021-03-31,1.14610,0.65970,1.96180,32.73690,10.03230,10.03230,7.53890,6.21880,0.13930,1.40580,64.02170,3.47920,-1.95620,0.88690,1.18390,32.55220,4.44840,3.68390
2020-12-31,1.11670,0.66350,1.99570,34.14190,8.76290,8.76290,5.88240,3.60820,0.13430,1.33740,67.29530,2.07010,-1.12270,0.52920,0.69650,32.84520,3.843,2.9416
2020-09-30,1.12230,0.66630,2.02050,35.39120,6.71210,6.71210,3.66120,3.62530,0.11690,1.11800,80.50250,1.76850,-0.94090,0.45310,0.59010,31.85710,2.8769,2.1017
2020-06-30,1.09500,0.67150,2.06890,32.40780,2.45930,2.45930,-0.99170,-0.91230,0.10870,1.04000,86.53710,-0.35890,0.18190,-0.09060,-0.11790,30.59070,2.4934,1.7315
2020-03-31,1.09470,0.67210,2.07390,33.76910,7.00800,7.00800,3.70370,2.97750,0.11930,1.02650,87.67970,1.56840,-0.79030,0.39430,0.51420,30.37700,0.83290,0.11240
2019-12-31,1.04590,0.64830,1.85930,34.33510,5.73400,5.73400,3.31610,0.55270,0.12450,1.09740,82.01040,0.31930,-0.17530,0.08600,0.11230,32.56890,2.9082,2.2286
2019-09-30,1.11720,0.64160,1.80510,33.11670,7.36730,7.36730,2.49190,2.05850,0.12100,1.07370,83.82450,1.07910,-0.62320,0.30140,0.38680,32.95880,1.6785,0.9179
2019-06-30,1.13820,0.62490,1.68100,34.34310,7.18980,7.18980,2.84670,2.18980,0.11880,1.11160,80.96720,1.04700,-0.65400,0.30780,0.39270,34.63230,1.9523,1.1757
2019-03-31,1.14190,0.61970,1.64410,34.87330,7.82410,7.82410,4.06110,2.16100,0.11610,1.06250,84.70190,0.97600,-0.62020,0.28990,0.37120,34.81240,0.56020,-0.13880
2018-12-31,1.09620,0.61070,1.58280,35.19350,7.70090,7.70090,3.86900,2.56700,0.11920,1.09140,82.46650,1.09290,-0.70390,0.33700,0.42550,35.21010,1.9757,1.3232
2018-09-30,1.09350,0.58500,1.42350,35.31230,6.97760,6.97760,1.96610,2.31300,0.11530,1.09730,82.02000,0.89810,-0.64190,0.29780,0.37270,36.87590,1.6987,1.0898
2018-06-30,1.13300,0.58260,1.40900,34.78770,6.62250,6.62250,3.42810,2.37630,0.11350,1.15420,77.97430,0.89310,-0.64600,0.30050,0.37280,37.60000,1.4902,0.962
2018-03-31,1.16410,0.55030,1.23580,35.54430,7.14010,7.14010,3.31640,2.69220,0.11030,1.11680,80.58920,0.86360,-0.71790,0.31420,0.38840,40.69810,0.85850,0.44340
2017-12-31,1.12610,0.55110,1.24030,36.25550,5.63270,5.63270,1.30900,40.73780,0.11030,1.17580,76.54110,12.55460,-10.15000,4.52820,5.63540,39.61560,0.9923,0.5538
2017-09-30,1.22400,0.56250,1.29930,34.67150,7.90750,7.90750,3.48740,3.56850,0.10990,1.28770,69.89050,1.23880,-0.87260,0.41430,0.54200,31.76890,2.0113,1.5928
2017-06-30,1.22520,0.53260,1.15150,33.88540,5.35030,5.35030,2.03820,2.63270,0.10810,1.24870,72.07640,0.84900,-0.66150,0.30300,0.39680,35.92420,1.1156,0.647
