,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.12530,0.14320,46.16200,34.93910,0.01220,4.79290,7.48060,0.44130,3.75650,17.06920,1.3504,1.3209
2022-09-30,0.13030,0.14990,32.44800,23.32560,0.01100,3.17450,5.13220,0.27190,2.45890,16.23770,0.3415,0.3192
2022-06-30,0.12320,0.14050,43.83890,33.05690,0.01050,3.92650,6.00470,0.36230,3.09680,17.66700,0.9844,0.9745
2022-03-31,0.12120,0.13800,42.93580,32.04890,0.01000,3.57630,5.26920,0.33400,2.83570,18.20360,0.61670,0.58290
2021-12-31,0.11610,0.13130,35.49870,27.16540,0.00940,2.62790,3.69340,0.26880,2.11260,19.45630,0.7878,0.7494
2021-09-30,0.11630,0.13160,46.97570,35.27420,0.01130,3.83750,5.03440,0.41690,3.08910,19.50930,0.8788,0.861
2021-06-30,0.13590,0.15720,53.20480,38.97860,0.01230,4.76100,6.28430,0.50770,3.74020,19.12180,0.737,0.7266
2021-03-31,0.14030,0.16330,46.97140,35.08570,0.01140,3.96150,5.27700,0.41870,3.08980,18.59220,0.74280,0.71490
2020-12-31,0.16460,0.19710,42.74940,34.10670,0.01170,3.74350,4.92680,0.41790,2.84130,18.85630,-0.001,-0.0405
2020-09-30,0.21550,0.27470,41.43790,32.74510,0.01050,3.26190,4.30160,0.36510,2.32220,18.64520,0.7043,0.6962
2020-06-30,0.26660,0.36350,-39.36650,-35.74660,0.00460,-1.33980,-1.77610,-0.14850,-0.89030,18.36100,0.8936,0.8466
2020-03-31,0.36830,0.76480,19.61540,13.36540,0.00780,1.01110,1.33500,0.12130,0.59040,18.10180,0.81890,0.77420
2019-12-31,0.32590,0.60930,35.18790,26.44510,0.01100,2.59590,3.53640,0.30810,1.60920,17.02280,0.4807,0.4306
2019-09-30,0.35510,0.87620,37.20260,27.75780,0.01080,2.67830,3.61370,0.31920,1.59090,17.19180,0.7976,0.7238
2019-06-30,0.35680,0.81060,35.93750,27.82740,0.01050,2.54940,3.43890,0.30580,1.51040,16.54480,0.743,0.7238
2019-03-31,0.45500,0.93780,36.71820,27.81460,0.01060,2.67970,3.86270,0.30590,1.38340,15.32480,0.56230,0.52720
2018-12-31,0.45160,0.92940,36.53270,29.01790,0.01070,2.84510,4.17350,0.32300,1.47560,14.72450,0.9037,0.8845
2018-09-30,0.43080,0.97680,33.04290,39.79670,0.01110,2.65230,3.93070,0.29700,1.42590,13.99440,0.5756,0.5234
2018-06-30,0.38530,0.71560,33.88970,26.05230,0.01110,2.52720,3.65040,0.30350,1.47270,14.15760,0.4501,0.4336
