,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,5.35540,58.21780,29.75830,29.75830,30.60030,25.88850,0.22340,0.42970,2.51770,35.74750,7.13710,7.16530,5.78420,7.13710,35.42150,1.0788,0.8134
2022-09-30,4.54820,58.71850,30.65510,30.65510,30.65610,25.09740,0.25650,0.51460,3.22950,27.86810,8.12280,8.15790,6.43830,8.12280,32.60920,-0.3819,-0.5314
2022-06-30,5.23440,58.77630,30.77810,30.77810,29.67350,24.87590,0.25820,0.52840,3.67310,24.50240,8.05830,8.09570,6.42210,8.05830,30.41700,2.1778,1.9329
2022-03-31,4.57620,57.94860,25.45150,25.45150,25.28370,21.06520,0.22040,0.51070,3.13930,28.66880,5.99990,6.02980,4.64220,5.99990,28.44210,2.22630,1.66930
2021-12-31,4.95650,57.61420,23.34950,23.34950,24.35720,21.59590,0.21220,0.54980,3.21050,28.03290,5.84180,5.87280,4.58250,5.84180,26.89350,0.5842,0.2186
2021-09-30,4.67570,57.58840,23.84100,23.84100,24.08620,21.25670,0.21630,0.65950,4.05120,22.21580,5.91460,5.94820,4.59720,5.91460,25.22650,2.4544,2.0685
2021-06-30,5.19930,55.98550,20.66980,20.66980,21.70310,18.80870,0.21360,0.72810,3.78210,23.79600,5.07370,5.10450,4.01820,5.07370,23.68090,2.0286,1.2061
2021-03-31,4.90890,55.43570,18.11170,18.11170,19.12830,17.84720,0.19450,0.64720,3.02710,29.73140,4.44540,4.47420,3.47140,4.44540,22.33590,1.61510,1.21750
2020-12-31,5.72910,55.30050,17.14790,17.14790,19.07030,18.40260,0.19280,0.66320,3.48640,25.81440,4.43680,4.46720,3.54870,4.43680,21.35300,1.6891,1.4461
2020-09-30,5.17530,55.13800,23.12020,23.12020,24.08160,21.41920,0.22340,0.78590,2.77350,32.44960,6.07560,6.11960,4.78480,6.07560,20.28050,1.6422,1.2263
2020-06-30,5.47480,55.09560,15.01270,15.01270,17.80530,16.20060,0.17380,0.54970,3.37730,26.64880,3.55350,3.58120,2.81630,3.55350,18.90280,1.2631,0.9525
2020-03-31,6.26500,55.16230,18.69130,18.69130,17.65740,21.56860,0.16450,0.56530,3.05070,29.50140,4.39700,4.43280,3.54900,4.39700,18.18610,1.10180,0.88850
2019-12-31,6.67050,55.13800,18.40850,18.40850,20.04640,19.45390,0.17430,0.58670,3.16370,28.44800,4.19360,4.22950,3.39170,4.19360,17.73410,1.3378,1.1456
2019-09-30,5.99180,55.18410,17.79010,17.79010,19.12710,17.49150,0.18430,0.55780,2.89750,31.06090,4.02050,4.05680,3.22310,4.02050,16.90870,1.5663,1.5425
2019-06-30,6.64020,55.11330,13.32320,13.32320,14.79930,13.70330,0.17390,0.47190,2.72590,33.01710,2.93870,2.96640,2.38370,2.93870,16.28700,0.9639,0.5473
2019-03-31,6.26890,55.18130,15.36260,15.36260,17.72600,18.52040,0.16670,0.44450,2.40050,37.49220,3.84870,3.88630,3.08660,3.84870,15.80770,0.85860,-0.39980
2018-12-31,7.22050,55.10960,21.54840,21.54850,21.29310,18.00570,0.19350,0.50520,2.78000,32.37390,4.31780,4.36260,3.48330,4.31780,15.05920,1.0701,0.9694
2018-09-30,6.51880,55.64490,20.93640,20.93640,22.63290,19.73310,0.20960,0.51870,2.67130,33.69170,5.17370,5.23270,4.13650,5.17370,14.38800,1.1619,1.0503
2018-06-30,6.76850,55.49760,17.80330,17.80330,19.40030,17.31960,0.19410,0.48250,2.61430,34.42590,4.18050,4.23220,3.36220,4.18050,13.69330,0.5715,0.4459
2018-03-31,6.60430,55.35810,17.06310,17.06310,17.40380,16.92300,0.18510,0.51530,2.67720,33.61740,3.91470,3.96640,3.13230,3.91470,13.24730,0.36790,0.20080
2017-12-31,6.81420,54.97950,19.35560,19.35560,20.62810,9.32550,0.19830,0.58690,3.40270,26.44930,2.31220,2.34600,1.84960,2.31220,12.54400,1.2208,0.289
2017-09-30,7.00950,54.95310,18.48320,18.48320,19.45650,18.33580,0.21310,0.58150,2.54030,35.42860,4.67670,4.75230,3.90770,4.67670,12.17890,0.7723,0.6679
2017-06-30,6.80430,54.74700,13.34250,13.34250,14.44500,13.38170,0.19750,0.54790,2.67250,33.67600,3.16890,3.22710,2.64310,3.16890,11.45370,0.5717,0.1778
2017-03-31,7.25500,54.64420,13.52110,13.52110,14.89710,14.42480,0.18700,0.57960,2.63310,34.17980,3.20910,3.27480,2.69690,3.20910,10.93940,0.50600,0.42690
2016-12-31,7.23690,54.53880,16.93050,16.93050,17.79610,15.99530,0.20270,0.65910,3.02550,29.74700,3.84440,3.93170,3.24260,3.84440,10.56840,0.7387,0.5463
2016-09-30,6.60730,54.41220,14.09130,14.09130,14.82400,13.50140,0.21510,0.68650,3.19350,28.18210,3.45260,3.53830,2.90450,3.45260,10.23830,0.7812,0.536
2016-06-30,6.69940,54.13110,12.25250,12.25250,12.88700,11.90280,0.20070,0.61720,3.00080,29.99170,2.83390,2.91200,2.38950,2.83390,9.76140,0.3584,0.0389
2016-03-31,7.62450,53.85030,12.27760,12.27760,12.92010,12.51300,0.18900,0.62590,2.93080,30.70850,2.76840,2.85140,2.36520,2.76840,9.49360,0.69320,0.56490
2015-12-31,7.66880,53.97790,13.56660,13.56660,14.19940,11.63040,0.20150,0.63290,2.81930,31.92280,2.74320,2.83250,2.34390,2.74320,9.28510,0.5905,0.4135
2015-09-30,6.78670,54.21410,14.59530,14.59530,14.58870,12.28260,0.21710,0.62030,2.99240,30.07600,3.16310,3.27540,2.66640,3.16310,8.96420,0.5427,0.4994
2015-06-30,7.03630,54.20190,12.41890,12.41890,12.70760,9.70200,0.19500,0.57400,3.04190,29.58690,2.22660,2.30890,1.89140,2.22660,8.95480,0.1868,0.1393
2015-03-31,6.86880,53.96260,7.96460,7.96460,8.83760,8.10870,0.17950,0.63400,2.90170,31.01620,1.72610,1.79370,1.45570,1.72610,8.80070,0.38630,0.27040
2014-12-31,8.35330,54.10490,12.10660,12.10660,12.64150,11.70230,0.18960,0.84910,2.95370,30.47040,2.55730,2.66000,2.21830,2.55730,8.92110,0.5139,0.4694
2014-09-30,8.05110,54.20690,13.33500,13.33500,13.59290,14.32440,0.19950,0.86260,3.22710,27.88870,3.28430,3.42200,2.85740,3.28430,8.80480,0.4001,0.356
2014-06-30,7.29800,54.20980,9.64990,9.64990,10.08100,9.34740,0.17700,0.76060,3.19500,28.16940,1.91170,1.91170,1.65450,1.91170,8.63020,0.6457,0.6096
2014-03-31,9.57140,53.44070,15.12630,15.12630,15.44260,15.01470,0.16030,0.70210,2.72300,33.05190,2.69460,2.69460,2.40720,2.69460,8.65400,0.30330,0.18900
2013-12-31,7.58880,53.95530,12.64950,12.64950,12.55980,11.79990,0.17230,0.73650,2.67850,33.60130,2.31910,2.31910,2.03300,2.31910,8.44580,0.7962,0.7857
2013-09-30,10.27920,54.01010,13.24620,13.24620,13.15590,11.33950,0.18670,0.69930,2.97610,30.24060,2.33510,2.33510,2.11690,2.33510,8.30120,0.1942,0.0813
2013-06-30,7.72550,53.58840,8.51440,8.51440,8.89210,9.51070,0.17350,0.66520,2.84040,31.68570,1.86720,1.86720,1.65040,1.86720,7.87340,0.4032,0.2118
2013-03-31,8.42970,53.20580,4.47830,4.47830,4.45890,4.85530,0.16560,0.68910,2.27050,39.63880,0.90440,0.90440,0.80410,0.90440,7.52210,0.17780,0.08670
2012-12-31,9.13470,52.99910,2.03270,2.03260,2.01190,0.51440,0.16790,0.70560,2.48740,36.18180,0.09600,0.09600,0.08640,0.09600,7.24060,0.3182,0.2514
2012-09-30,9.75580,53.11280,11.18430,11.18430,11.46030,10.47820,0.17920,0.81220,2.62080,34.34010,2.07710,2.07710,1.87810,2.07710,8.04540,0.0276,-0.1203
2012-06-30,6.69260,53.18820,11.57030,11.57030,12.18290,11.24780,0.18900,0.93140,2.73670,32.88600,2.44840,2.44840,2.12590,2.44840,7.73240,0.1665,-0.0622
2012-03-31,7.16320,52.31360,6.33470,6.33470,6.54460,5.93260,0.17340,1.11730,2.53090,35.56040,1.17550,1.17550,1.02860,1.17550,7.40410,0.17500,0.03780
2011-12-31,8.11300,52.50000,5.07990,5.08000,5.28860,5.16850,0.17330,1.12140,3.14370,28.62840,1.01000,1.01000,0.89570,1.01000,7.18020,0.3541,0.3051
2011-09-30,8.09620,52.51690,9.53700,9.53700,9.54270,10.33380,0.19820,1.06750,3.22550,27.90300,2.30880,2.30880,2.04860,2.30880,7.03550,0.272,-0.1259
2011-06-30,6.70040,51.44110,7.82330,7.82330,7.86980,6.74440,0.19620,1.01440,2.93520,30.66190,1.53300,1.53300,1.32320,1.53300,6.78690,0.3885,0.3221
2011-03-31,8.21500,50.15970,4.30870,4.30870,4.72020,4.25700,0.16170,0.95870,2.52060,35.70610,0.77820,0.77820,0.68830,0.77820,6.97350,0.22790,0.14330
2010-12-31,7.74500,50.45160,8.41740,8.41740,8.75750,7.60990,0.16710,0.90410,2.56480,35.09000,1.45040,1.45040,1.27160,1.45040,7.04150,0.2681,0.1582
2010-09-30,7.17310,54.65430,20.40460,20.40460,20.52760,20.07650,0.22520,1.53440,2.03920,44.13540,5.21770,5.21770,4.52040,5.21770,7.07220,0.4207,0.2609
2010-06-30,8.04600,58.24030,12.22120,12.22120,12.82100,11.50480,0.19540,1.60850,1.83660,49.00310,2.56310,2.56310,2.24770,2.56310,6.83980,0.3753,0.1373
2010-03-31,8.53180,58.30050,12.52940,12.52940,13.21990,12.64880,0.19380,1.44010,2.04760,43.95400,2.77690,2.77690,2.45110,2.77690,6.40150,0.21790,0.12340
2009-12-31,8.50680,58.73420,9.49790,9.49790,9.81160,9.99850,0.19250,0.97920,2.99900,30.01030,2.18540,2.18540,1.92460,2.18540,6.05590,0.4475,0.3724
2009-09-30,8.27520,60.66380,27.36310,27.36310,27.54030,26.18940,0.20910,0.92680,2.46070,36.57530,6.23910,6.23910,5.47590,6.23910,5.77890,0.1054,-0.0064
2009-06-30,5.11730,59.14070,7.44180,7.44180,7.67490,7.73810,0.19020,0.83770,3.30760,27.21010,1.76980,1.76980,1.47170,1.76980,5.25490,0.3017,0.2423
2009-03-31,5.58460,57.60520,-3.68320,-3.68320,-2.69080,-2.48280,0.14660,0.66980,2.19360,41.02820,-0.43160,-0.43160,-0.36400,-0.43160,4.98100,0.01250,-0.01300
