,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2015-12-31,1.22030,0.52320,1.18590,100.00000,-130.49200,-130.49200,-143.17400,-103.11850,0.09800,,2.61180,34.45950,-30.52140,-56.30350,-11.38840,-14.55410,26.28950,1.4383,-1.1449
2015-09-30,1.22760,0.41720,0.74740,100.00000,-151.18020,-151.18020,-156.15110,-97.41740,0.10480,,2.71570,33.14080,-24.55090,-38.52370,-11.37960,-14.30720,38.73970,3.8252,0.9532
2015-06-30,1.18310,0.36080,0.59770,100.00000,-128.58830,-128.58830,-132.00710,-83.02390,0.08360,,2.10610,42.73210,-13.86040,-20.23620,-6.87830,-8.85940,49.02920,2.7118,-0.8325
2015-03-31,1.04420,0.30920,0.51040,100.00000,-168.30020,-168.30020,-172.25120,-110.26030,0.07200,,1.96330,45.84070,-15.59150,-21.50260,-7.91540,-10.77130,56.00730,4.05910,-1.16010
2014-12-31,1.09490,0.27180,0.42750,100.00000,6.50910,6.50910,4.11770,-5.61770,0.13960,,2.84840,31.59620,-1.43880,-1.89140,-0.74850,-1.04780,64.40340,2.4644,-3.0983
2014-09-30,0.99650,0.27510,0.45050,100.00000,33.24590,33.24590,30.99700,18.83430,0.10500,,2.65600,33.88490,3.88900,5.63980,2.04760,2.81890,65.44740,3.8095,5.2182
2014-06-30,0.93870,0.31310,0.47410,100.00000,39.33480,39.33480,34.45680,14.96670,0.08820,,1.96000,45.91800,2.68620,3.96580,1.36950,1.84510,63.71390,5.0382,6.9378
2014-03-31,0.66230,0.31910,0.61930,100.00000,18.52350,18.52350,15.03360,8.69800,0.07060,,1.44380,62.33560,1.31360,2.07040,0.62350,0.89440,61.38730,3.48150,-14.73090
2013-12-31,1.20290,0.27960,0.58650,100.00000,22.52290,22.52290,18.10210,7.85060,0.06120,,1.63080,55.18670,1.00980,1.41380,0.48280,0.72750,50.49020,3.5993,-0.0031
2013-09-30,1.32060,0.27850,0.48850,100.00000,27.00810,27.00810,23.54460,15.80690,0.06640,,1.78550,50.40530,2.08130,2.92670,1.05030,1.50170,50.76850,3.9727,0.5781
2013-06-30,1.30670,0.28390,0.50580,100.00000,35.62180,35.62180,32.28630,22.11790,0.07720,,2.00780,44.82510,3.40380,4.82720,1.70660,2.43740,49.42370,3.4579,-0.5949
2013-03-31,1.23570,0.28760,0.61660,100.00000,-94.21610,-94.21610,-99.54340,-67.98580,0.04740,,1.43970,62.51140,-6.79420,-9.78010,-3.22010,-4.84040,48.54190,2.49250,-2.22640
2012-12-31,1.49440,0.28440,0.54720,100.00000,-61.24030,-61.24030,-19.41860,-13.60470,0.05950,,2.07230,43.43020,-1.67780,-2.34880,-0.82400,-1.20070,52.40890,2.8575,-1.9575
2012-09-30,1.71630,0.27960,0.51580,100.00000,3.69970,3.69970,-62.25200,-38.55230,0.04280,,1.67570,53.71050,-3.30100,-4.58930,-1.65110,-2.37800,53.78030,3.4025,-0.1675
2012-06-30,1.85790,0.27560,0.47710,100.00000,34.27120,34.27120,28.68310,18.40560,0.05890,,2.54630,35.34580,2.14620,2.94120,1.09730,1.55480,54.94440,3.5714,0.2709
2012-03-31,1.44970,0.23430,0.49370,100.00000,28.35400,28.35400,24.46940,15.73890,0.05860,,2.25560,39.89990,1.88560,2.60560,0.97170,1.44380,54.29280,2.55860,-2.64840
2011-12-31,1.38100,0.21790,0.45640,100.00000,30.20190,30.20190,30.82300,19.75930,0.06270,,1.86800,48.17940,2.43120,3.37940,1.26710,1.90150,53.04460,4.637,0.3084
2011-09-30,1.59290,0.22050,0.43870,100.00000,48.62940,48.62940,43.91780,29.64020,0.08780,,2.44900,36.75040,4.92840,6.86420,2.60870,3.84180,51.82220,3.5466,-0.9739
2011-06-30,1.98730,0.21780,0.37010,100.00000,46.58390,46.58390,42.79500,85.12420,0.08360,,2.22680,40.41620,0.85870,1.20640,0.47750,0.67160,51.26320,3.7417,-0.8258
2011-03-31,0.97310,0.16500,0.35380,100.00000,30.32140,30.32140,27.01440,19.37590,0.06210,,1.69190,53.19520,2.02300,2.97450,1.12590,1.68920,45.25540,2.96470,-1.33410
2010-12-31,1.21210,0.16550,0.29240,100.00000,32.64640,32.64640,31.28810,26.32320,0.06480,,1.77620,50.66980,2.48270,3.62860,1.45170,2.07180,44.61880,2.7359,-0.696
2010-09-30,1.33710,0.17000,0.30180,100.00000,35.23160,35.23160,29.70680,88.82280,0.07380,,2.28890,39.32000,2.30000,3.38460,1.34640,1.90900,43.16590,3.2705,-0.3245
2010-06-30,1.48410,0.24870,0.33420,100.00000,35.08060,35.08060,27.46420,31.63080,0.07450,,1.85230,48.58870,2.09150,3.21810,1.17450,1.57140,38.31100,3.1831,5.2195
2010-03-31,1.20590,0.25640,0.35890,100.00000,51.39750,51.39750,49.31680,37.01860,0.10500,,2.48460,36.22360,6.33440,9.81990,3.50100,4.71050,37.94760,3.37470,3.39730
2009-12-31,0.78700,0.27300,0.46750,100.00000,38.85480,38.85480,35.41920,27.28020,0.08240,,2.02400,44.46630,3.57740,5.77800,1.87630,2.60070,34.85560,3.3255,0.8696
2009-09-30,0.75780,0.28530,0.50450,100.00000,25.10820,25.10820,25.48700,27.00220,0.06570,,1.55420,57.90590,2.60700,4.37870,1.35750,1.86330,32.99480,2.7551,0.8481
2009-06-30,0.73800,0.29950,0.53770,100.00000,22.11860,22.11860,16.41050,17.23380,0.06730,,1.35460,66.43800,1.38870,2.38330,0.70220,0.97280,30.82230,2.3248,0.0363
2009-03-31,0.73470,0.31130,0.53500,100.00000,-319.84210,-319.84210,-324.31580,-208.36840,0.07390,,1.43180,62.85790,-29.99540,-52.22660,-15.09160,-20.65660,29.15520,2.38500,-2.00000
