,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.40180,1.19420,38.70910,28.95180,0.00990,4.41100,5.46180,0.30220,2.26420,32.29090,2.3635,2.3635
2022-06-30,0.37470,1.10810,34.34420,25.81100,0.00960,3.62980,4.45610,0.25940,1.95470,33.02610,1.5086,1.5086
2022-03-31,0.38930,1.04460,35.82560,26.86460,0.00930,3.47300,4.18550,0.26560,1.84160,34.77750,5.70460,5.70460
2021-12-31,0.36710,0.79300,37.68960,27.90120,0.00990,3.42340,4.05440,0.29270,1.91750,37.33530,0.447,0.447
2021-09-30,0.39610,0.95180,43.10600,32.08890,0.01060,4.20160,4.97870,0.35840,2.25880,36.67520,1.8014,1.8014
2021-06-30,0.40380,0.92730,42.84510,32.29840,0.01060,4.16720,4.92080,0.35570,2.20810,36.20250,3.7524,3.7524
2021-03-31,0.41700,0.94660,46.11710,34.68350,0.01130,4.93090,5.86790,0.41290,2.54660,34.94170,0.62340,0.62340
2020-12-31,0.43460,0.98770,36.33610,26.96820,0.00950,3.19430,3.72470,0.27530,1.60490,35.64770,-0.7143,-0.7143
2020-09-30,0.44380,1.05590,36.44420,28.16740,0.00980,3.35940,3.90140,0.29350,1.65830,35.31290,2.1792,2.1792
2020-06-30,0.44790,1.20380,18.61660,15.06010,0.00750,1.49480,1.73230,0.12710,0.73110,34.83930,-0.5537,-0.5537
2020-03-31,0.50070,1.50760,30.26290,22.88120,0.00880,2.55320,2.97000,0.21720,1.12870,34.63420,1.54970,1.54970
2019-12-31,0.43350,1.21730,35.19440,26.82930,0.01060,3.21080,3.76970,0.30140,1.61140,34.20970,-0.0491,-0.0491
2019-09-30,0.43250,1.03150,43.12590,32.94140,0.01130,3.98020,4.61570,0.39310,2.00900,34.46350,1.9409,1.9409
2019-06-30,0.43370,1.04670,41.93370,32.06260,0.01130,3.84390,4.47700,0.37950,1.93340,33.79000,0.3891,0.3891
2019-03-31,0.43570,1.06430,40.32480,31.18110,0.01090,3.65720,4.29170,0.35900,1.82940,32.94860,0.80750,0.80750
2018-12-31,0.44450,1.07400,39.62820,32.70750,0.01160,4.07680,4.78710,0.39840,2.00220,32.11830,1.603,1.603
2018-09-30,0.44500,1.26970,42.84640,32.51970,0.01150,4.04680,4.80320,0.39220,1.98260,31.42660,1.9976,1.9976
2018-06-30,0.42520,1.10050,41.61620,31.75630,0.01150,3.92080,4.69840,0.38110,2.01080,30.71790,1.9833,1.9833
2018-03-31,0.39990,1.02190,40.08630,31.31990,0.01110,3.78890,4.54790,0.36560,2.02620,30.20780,0.86540,0.86540
2017-12-31,0.39380,0.98480,25.16320,30.92130,0.01130,3.81040,4.55630,0.36490,2.05800,29.99800,-0.1122,-0.1122
2017-09-30,0.41150,1.02070,41.85420,28.80140,0.01120,3.57140,4.26500,0.34170,1.87080,29.60880,1.1299,1.1299
2017-06-30,0.43580,1.06690,40.87580,28.33370,0.01090,3.47350,4.15700,0.32600,1.74270,29.15480,0.9524,0.9524
2017-03-31,0.42600,0.99380,40.55990,28.34080,0.01090,3.45470,4.15410,0.33060,1.76110,28.62850,1.87540,1.87540
2016-12-31,0.41010,0.98650,41.67520,28.41680,0.01100,3.51390,4.22550,0.33430,1.83490,28.24720,1.2082,1.2082
2016-09-30,0.43970,1.10900,41.53200,28.60560,0.01100,3.53400,4.19310,0.33380,1.75510,28.38940,0.3364,0.3364
2016-06-30,0.43480,1.15290,40.98620,28.30380,0.01160,3.61170,4.28830,0.35030,1.80770,27.94420,0.827,0.827
2016-03-31,0.42390,1.23750,40.93250,28.55610,0.01090,3.34430,4.00480,0.32680,1.70300,27.36310,0.72350,0.72350
2015-12-31,0.40660,1.28060,42.13020,28.92460,0.01150,3.60390,4.36580,0.35300,1.88730,26.82630,1.4164,1.4164
2015-09-30,0.41530,1.29830,42.33170,29.55110,0.01160,3.66490,4.52400,0.36130,1.92030,26.09900,1.6301,1.6301
2015-06-30,0.43010,1.36910,43.02100,30.10410,0.01120,3.69860,4.58750,0.35720,1.88610,25.59870,0.9307,0.9307
2015-03-31,0.43840,1.40840,41.91370,29.75150,0.01120,3.59120,4.43370,0.35200,1.80340,25.26120,0.97880,0.97880
2014-12-31,0.42210,1.40720,41.89810,29.42400,0.01200,3.80850,4.74740,0.37290,1.96390,24.73200,0.4695,0.4695
2014-09-30,0.41250,1.38750,43.45660,30.39150,0.01180,3.80310,4.77970,0.37980,1.99200,24.41940,0.3386,0.3386
2014-06-30,0.37370,1.26750,42.75320,29.67350,0.01240,3.90630,4.92700,0.38790,2.17820,23.98590,0.6165,0.6165
2014-03-31,0.35740,1.27630,42.85710,29.89670,0.01200,3.71710,4.68840,0.38030,2.12280,23.46870,1.51640,1.51640
2013-12-31,0.32410,1.13990,41.13260,30.48730,0.01250,3.97020,5.05970,0.40410,2.37810,22.91110,1.4932,1.4932
2013-09-30,0.31090,1.08000,43.46480,30.85740,0.01260,3.88630,4.94400,0.39650,2.37140,22.68550,1.1807,1.1807
2013-06-30,0.32450,1.11820,43.55410,31.01550,0.01280,3.97860,5.04770,0.40860,2.37600,22.26070,2.6231,2.6231
2013-03-31,0.38190,1.28200,44.05440,30.75880,0.01240,3.84440,4.81980,0.39020,2.09880,21.97860,0.89340,0.89340
2012-12-31,0.38790,1.28690,41.77330,29.24340,0.01300,3.87350,4.83850,0.38860,2.09020,21.53970,2.1546,2.1546
2012-09-30,0.39740,1.35890,43.69880,30.29780,0.01320,4.08490,5.05130,0.40650,2.16680,21.18270,0.1312,0.1312
2012-06-30,0.42570,1.53070,42.74710,29.60600,0.01290,4.04050,5.06100,0.39020,2.03560,20.55180,0.2932,0.2932
2012-03-31,0.45160,1.56710,41.71220,29.25770,0.01290,3.92840,5.20870,0.38300,1.93880,19.42250,1.61830,1.61830
2011-12-31,0.47750,1.78490,40.76030,28.87280,0.01340,4.10320,5.69760,0.39040,1.98430,18.31110,0.5514,0.5514
2011-09-30,0.47230,1.83140,41.29920,29.32670,0.01280,3.96150,5.53930,0.37920,1.93110,17.88590,-0.0114,-0.0114
2011-06-30,0.49610,1.87410,40.30040,28.72970,0.01270,3.83600,5.58110,0.36740,1.78170,17.32350,1.3363,1.3363
2011-03-31,0.50350,2.00400,37.61120,27.04230,0.01190,3.49940,5.42350,0.33040,1.63050,16.26430,3.23030,3.23030
2010-12-31,0.50980,2.11380,33.83920,25.31950,0.01220,3.36710,5.26580,0.31060,1.54550,15.78530,1.2668,1.2668
2010-09-30,0.50340,2.16060,32.60810,24.61150,0.01220,3.19140,4.94930,0.30760,1.48270,15.61490,-0.5999,-0.5999
2010-06-30,0.50170,2.17460,28.57570,25.90140,0.01170,2.78420,4.45760,0.26550,1.29480,15.09660,0.5627,0.5627
2010-03-31,0.54190,2.32200,27.83780,21.89190,0.01050,2.56100,4.42210,0.23480,1.10890,14.29380,1.49870,1.49870
2009-12-31,0.55000,2.39650,24.16610,19.74130,0.01040,2.39260,4.22630,0.21410,1.01620,13.93720,1.8868,1.8868
2009-09-30,0.56230,2.37310,25.18220,21.24640,0.01040,2.48150,4.28320,0.22830,1.02320,13.53490,1.7807,1.7807
2009-06-30,0.61170,2.76840,21.55490,8.14300,0.01020,2.07390,3.59950,0.18260,0.75680,13.01650,-0.6287,-0.6287
2009-03-31,0.58150,2.32020,25.66550,16.64680,0.00950,2.72460,3.23920,0.20670,0.81630,15.88900,1.04940,1.04940
