,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2017-12-31,1.02500,0.45510,0.83530,72.92140,5.64690,5.64690,2.11030,4.52540,0.13300,2.33970,38.46580,1.56080,-2.57510,0.60180,0.85050,7.65630,0.21690,0.16270
2017-09-30,0.98180,0.44590,0.80460,73.14140,6.01730,6.01730,1.78010,5.69070,0.12980,2.01170,44.73840,1.96910,-3.14010,0.73870,1.09120,7.67720,0.2659,0.2163
2017-06-30,0.93630,0.46020,0.85250,71.75760,3.86410,3.86410,0.24000,-0.32650,0.12710,2.26580,39.72110,-0.11380,0.15590,-0.04150,-0.06150,7.23560,0.6395,0.6001
2017-03-31,0.98210,0.45660,0.84020,70.77920,2.68280,2.68280,-0.37710,-0.39420,0.12000,1.96350,45.83560,-0.13030,0.18580,-0.04730,-0.07080,7.31680,0.662,0.5957
2016-12-31,0.92180,0.47190,0.89350,71.32130,1.59290,1.59290,-2.27120,-3.19250,0.13030,2.15520,41.75910,-1.11620,1.44120,-0.41610,-0.58950,7.08410,-0.41530,-0.47680
2016-09-30,0.98180,0.47140,0.89190,71.25390,-11.47520,-11.47530,-15.04800,-9.87830,0.12290,1.78630,50.38260,-3.37890,4.46670,-1.21380,-1.78600,7.32960,0.1331,0.0484
2016-06-30,1.05200,0.47420,0.90200,71.42930,2.63150,2.63150,-0.24390,1.06460,0.12340,1.90260,47.30480,0.35620,-0.48750,0.13140,0.18730,7.50450,0.5045,0.4381
2016-03-31,1.19810,0.49530,0.98130,70.58580,0.64480,0.64480,-1.30910,-1.89750,0.11310,1.85880,48.41860,-0.60570,0.78700,-0.21450,-0.30570,7.45150,0.4248,0.3841
2015-12-31,1.13840,0.46210,0.85910,72.45970,-4.56740,-4.56740,-6.71610,-8.20980,0.13130,1.80310,49.91520,-2.85810,4.20660,-1.07820,-1.53740,7.29870,0.53660,0.49990
2015-09-30,1.14160,0.41810,0.77670,75.56950,-6.91380,-6.91370,-8.38470,-1.77690,0.14140,1.58440,56.80290,-0.64570,1.11040,-0.25130,-0.37570,7.56230,-0.1081,-0.1942
2015-06-30,0.99530,0.41150,0.75200,73.81310,7.12840,7.12840,5.91830,5.75200,0.14120,1.65510,54.37890,2.09980,-3.18740,0.81220,1.23570,7.27300,0.7476,0.6914
2015-03-31,1.06890,0.36600,0.62120,72.60470,1.26960,1.26960,0.12320,1.71650,0.14900,1.55980,57.69820,0.63120,-1.24760,0.25570,0.40020,7.42900,0.7947,0.7409
2014-12-31,1.18180,0.40170,0.70800,71.44130,11.56310,11.56310,10.57240,9.30550,0.15230,1.61600,55.69410,3.54010,-6.51890,1.41700,2.11800,7.44340,0.11650,0.04860
2014-09-30,1.16840,0.40730,0.71660,73.86100,9.84650,9.84650,8.82640,10.56840,0.16670,1.55590,57.84420,4.53860,-7.82120,1.76160,2.68990,7.42350,0.425,0.3538
2014-06-30,1.29700,0.23540,0.32390,72.94510,16.15520,16.15520,15.47850,11.29600,0.17190,1.47240,61.12300,3.91030,-22.86390,1.94190,2.98980,8.29020,0.8957,0.8419
2014-03-31,1.33780,0.23730,0.32380,71.46430,15.58050,15.58050,14.76150,13.31180,0.16780,1.48540,60.59000,4.45390,-26.23200,2.23340,3.39710,8.28220,0.9183,0.8803
2013-12-31,1.68690,0.26720,0.38000,71.39160,16.88730,16.88730,16.34780,12.20500,0.17060,1.52860,58.87910,4.09410,-65.25320,2.08200,3.00030,8.10500,0.29930,0.25160
2013-09-30,1.28680,0.20790,0.27860,73.45790,14.21100,14.21100,14.03730,16.37430,0.18860,1.50520,59.79360,6.09470,-48.78860,3.08740,4.82780,7.82200,0.355,0.2714
2013-06-30,1.29540,0.23320,0.31520,71.05740,13.71920,13.71920,14.72910,10.93820,0.17930,1.56810,57.39590,4.05020,-21.15410,1.96130,3.10560,7.14770,0.7017,0.646
2013-03-31,1.29290,0.26640,0.37220,70.29140,6.76670,6.76670,6.17200,5.42670,0.17590,1.47220,61.13310,2.05810,-8.55270,0.95460,1.50980,6.92230,0.6846,0.6426
2012-12-31,1.39750,0.30500,0.44570,69.64140,4.33430,4.33430,3.76980,11.19970,0.17740,1.44240,62.39800,4.33570,-16.12800,1.98660,3.01320,6.88940,0.11190,0.05130
2012-09-30,1.82490,0.31260,0.46410,72.99710,17.70850,17.70850,17.26400,-25.81810,0.18160,1.49650,60.14020,-10.53420,-8177.39500,-4.68760,-7.24160,6.66870,0.1989,0.1214
2012-06-30,1.26060,0.13960,0.16220,70.14180,9.99510,9.99510,9.89730,7.36210,0.19300,1.53000,58.82470,2.65290,36.19070,1.42080,2.28260,7.26470,0.5363,0.4868
