,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,0.30180,0.43230,2.30200,2.30200,1.11500,0.91860,0.16920,0.86890,0.85840,0.16430,0.58640,25.25420,3.4463,3.2695
2022-06-30,0.28980,0.40800,-4.26680,-4.26680,-5.52030,-4.77120,0.15770,-3.58140,-3.54200,-0.74310,-2.46330,26.76130,2.3678,2.268
2022-03-31,0.27250,0.37450,4.33560,4.33560,3.29520,2.59430,0.16020,1.89580,1.90290,0.42460,1.33930,29.15230,4.26800,4.15450
2021-12-31,0.21180,0.26870,10.60910,10.60910,9.63730,7.64880,0.17560,5.42520,5.44850,1.35280,4.16030,31.19710,0.77,0.6813
2021-09-30,0.20880,0.26390,2.29860,2.29860,1.17210,0.94270,0.16330,0.65600,0.65930,0.16320,0.50520,31.72330,4.0346,3.9695
2021-06-30,0.22420,0.28900,9.48970,9.48970,8.39280,6.58020,0.17050,4.34560,4.37090,1.13160,3.28210,31.91320,3.961,3.8861
2021-03-31,0.23230,0.30260,17.29280,17.29280,16.32040,12.87270,0.17500,8.53390,8.59140,2.26250,6.37020,30.47930,4.45480,4.38150
2020-12-31,0.24050,0.31670,19.43530,19.43530,18.44990,14.75060,0.17810,10.18030,10.26110,2.62770,7.50760,29.11590,2.6363,2.5704
2020-09-30,0.22980,0.29830,18.62580,18.62580,17.57070,13.92230,0.17400,8.70100,8.77300,2.43350,6.51890,30.88660,2.5107,2.4138
2020-06-30,0.24450,0.32360,21.71500,21.71500,20.67870,16.25730,0.18460,11.06780,11.17730,3.01310,8.11410,28.47730,3.8351,3.7551
2020-03-31,0.27320,0.37580,10.46290,10.46290,9.38180,7.35780,0.16570,5.04490,5.10850,1.24250,3.54060,24.51990,2.77010,2.66980
2019-12-31,0.24380,0.32230,13.40090,13.40090,12.46520,9.78110,0.19560,8.15370,8.27110,1.95700,5.94350,23.38900,1.9198,1.8025
2019-09-30,0.23780,0.31200,11.67200,11.67200,10.60070,8.83160,0.17650,6.18960,6.28250,1.56200,4.55270,24.15890,2.9937,2.887
2019-06-30,0.24840,0.33050,14.20530,14.20530,13.15880,10.29240,0.18410,7.62650,7.75790,1.90750,5.51960,22.82280,2.5647,2.379
2019-03-31,0.26670,0.36380,17.84090,17.84090,16.85480,11.59570,0.19040,9.32100,9.51390,2.21660,6.55600,20.73750,3.18530,3.06670
2018-12-31,0.28930,0.40700,4.06340,4.06340,3.01430,3.11130,0.17250,2.51550,2.57880,0.55780,1.70620,18.55590,1.8449,1.6747
2018-09-30,0.24560,0.32550,14.29060,14.29060,13.30660,10.92780,0.18650,8.18490,8.38510,2.04240,5.91780,20.33750,2.921,2.8166
2018-06-30,0.25970,0.35080,12.03540,12.03540,10.97660,8.69920,0.18490,6.67370,6.86270,1.61700,4.71860,18.88550,2.9628,2.8586
2018-03-31,0.27210,0.37380,13.22860,13.22860,12.25830,9.66340,0.17980,7.42470,7.66440,1.76570,5.14580,17.72530,2.98340,2.92490
2017-12-31,0.26260,0.35610,10.68150,10.68150,9.71090,8.09430,0.18400,6.25000,6.85490,1.49940,4.60880,15.96150,0.9103,0.8343
2017-09-30,0.26280,0.35660,4.76310,4.76310,3.70150,3.29810,0.17450,2.31230,2.54140,0.55170,1.70450,15.97220,2.0394,1.9796
2017-06-30,0.27340,0.37630,9.56140,9.56140,8.39580,5.56490,0.18000,4.14500,4.58030,1.01580,3.01170,15.47590,1.5711,1.508
2017-03-31,0.26750,0.36510,11.22800,11.22800,10.14760,6.71180,0.18160,5.04880,5.62030,1.23610,3.69850,14.67190,1.89340,1.85260
2016-12-31,0.28350,0.39560,9.88000,9.88000,8.76890,6.25160,0.18340,5.00310,5.62690,1.19090,3.58480,13.72150,0.7784,0.6911
