,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,0.94180,1.02440,-42.04090,40.59390,19.89770,19.89770,17.33200,14.52410,0.12800,0.31650,284.38770,-220.57210,-5.19930,1.85940,5.37450,-0.17860,0.5722,0.5137
2020-03-31,0.90620,1.05130,-20.50840,42.57140,19.59660,19.59660,16.96640,14.84870,0.14230,0.37960,237.07060,-118.03600,-5.51950,2.11230,6.05050,-0.36430,0.26870,0.23480
2019-12-31,0.96520,1.01240,-81.75440,42.15030,17.32050,17.32050,15.10290,10.35410,0.14930,0.39670,226.88920,-342.78490,-4.36630,1.54590,4.24480,-0.09450,0.5637,0.5308
2019-09-30,0.96060,1.00610,-164.87310,41.18910,15.10450,15.10450,12.41110,10.32980,0.14840,0.39640,227.06940,-685.27770,-4.35370,1.53340,4.18180,-0.04690,0.6275,0.589
2019-06-30,0.93680,0.99030,101.99340,42.08130,19.31370,19.31370,55.62100,45.86350,0.14820,0.35950,250.32150,2035.76400,-20.01370,6.79840,19.76600,0.07090,0.3866,0.321
2019-03-31,0.85690,1.12490,-9.00670,41.28650,18.78830,18.78830,16.16310,12.94690,0.14180,0.38230,235.43380,-46.25870,-4.93810,1.83520,5.77750,-0.86440,0.54470,0.49350
2018-12-31,0.88120,1.09920,-11.08360,40.51090,19.33500,19.33510,16.76660,15.13270,0.15580,0.36750,244.89310,-68.46350,-5.83820,2.35750,6.78960,-0.70220,0.6526,0.5461
2018-09-30,0.84140,1.14420,-7.93400,41.46130,21.80430,21.80430,19.19590,15.03100,0.15440,0.34530,260.62260,-50.22880,-5.57040,2.32050,7.24380,-0.93600,0.5049,0.3513
2018-06-30,0.85890,1.15670,-7.38270,41.23730,20.09780,20.09780,18.10640,15.42060,0.15480,0.35170,255.87270,-48.21630,-5.84510,2.38710,7.55420,-1.00580,0.3637,0.2666
2018-03-31,0.84320,1.13580,-8.36460,40.59310,19.06580,19.06580,16.87780,15.37350,0.15120,0.34510,260.82120,-56.83880,-5.81750,2.32480,7.71790,-0.81590,0.28620,0.22820
2017-12-31,0.81620,1.19330,-6.17340,39.49110,-17.51380,-17.51380,-20.10710,-77.93230,0.15580,0.34340,262.11580,228.10330,29.45400,-12.14230,-44.09170,-1.07060,0.6767,0.622
2017-09-30,0.99590,0.83280,4.98080,40.16520,19.37780,19.37780,17.02860,16.77230,0.14230,0.35590,252.88670,33.21120,-7.71750,2.38620,5.55290,1.54450,0.9599,0.9121
2017-06-30,1.02880,0.84580,5.48610,38.91510,15.62120,15.62120,13.37300,12.07480,0.14660,0.37820,237.99840,25.18150,-5.34270,1.76970,3.88240,1.42410,-0.2293,-0.3049
2017-03-31,0.98900,0.82310,4.65270,38.58260,18.43520,18.43520,16.36210,12.41550,0.13730,0.37730,238.54420,21.55140,-5.28210,1.70460,3.81260,1.58960,0.17850,0.13800
2016-12-31,0.87530,0.75540,3.08810,38.57990,-22.61430,-22.61430,-24.66280,-25.88030,0.14560,0.36590,245.98600,-39.34830,12.14090,-3.76870,-9.62500,1.87370,0.4349,0.3725
2016-09-30,1.11660,0.69920,2.32400,40.27440,20.19890,20.19890,17.41910,15.74250,0.14470,0.40660,221.37460,15.63130,-8.78810,2.27870,4.70250,2.85990,0.6913,0.6043
2016-06-30,1.10700,0.71070,2.45630,40.25590,18.92130,18.92130,16.17360,14.94510,0.14640,0.40980,219.62570,15.64210,-8.06430,2.18840,4.52570,2.69340,0.5623,0.5186
2016-03-31,1.08690,0.72250,2.60350,39.93990,19.92760,19.92760,16.76040,14.30990,0.13780,0.39020,230.67660,14.98790,-7.08560,1.97170,4.15930,2.51980,0.42270,0.36760
2015-12-31,1.12060,0.69600,2.28910,41.23190,20.42030,20.42030,17.16670,15.38410,0.14600,0.41710,215.78470,15.11140,-8.61640,2.24680,4.59440,2.79640,0.506,0.4153
2015-09-30,1.13450,0.72110,2.58600,41.59520,21.76240,21.76240,18.96800,16.60230,0.14250,0.41520,216.76030,17.24320,-9.07810,2.36660,4.80850,2.66250,0.6711,0.5754
2015-06-30,1.20350,0.74020,2.84980,42.22320,18.12660,18.12660,14.95370,13.68170,0.13750,0.39640,227.04250,14.47910,-7.19990,1.88100,3.76100,2.55300,0.4926,0.4527
2015-03-31,1.23330,0.73420,2.76210,41.57010,20.61470,20.61470,17.60920,15.43640,0.12760,0.38040,236.57280,15.10480,-7.86990,1.96950,4.01500,2.61100,0.40330,0.35150
2014-12-31,1.24910,0.74100,2.86100,40.99580,19.58300,19.58300,16.73170,15.71030,0.14260,0.42550,211.52770,17.03320,-8.46420,2.23950,4.41160,2.49360,0.4889,0.4427
2014-09-30,1.20400,0.75890,3.14840,41.66840,21.79890,21.79890,18.93260,16.24680,0.14630,0.41570,216.47720,19.84400,-8.48590,2.37750,4.78350,2.25310,0.6258,0.5709
2014-06-30,1.19480,0.77820,3.50780,41.10700,19.79940,19.79940,16.51250,13.78770,0.14230,0.39000,230.74350,18.10880,-6.68550,1.96260,4.01720,2.01810,0.4754,0.432
2014-03-31,1.20820,0.78260,3.60040,40.98310,20.13620,20.13620,16.83450,15.02810,0.13610,0.38420,234.25450,19.01280,-6.91320,2.04580,4.13290,1.98130,0.35830,0.30550
2013-12-31,1.29500,0.79230,3.81370,40.52320,16.76630,16.76630,13.55930,12.19500,0.14050,0.43480,207.00180,15.69660,-5.97700,1.71320,3.26080,2.01290,0.486,0.4431
2013-09-30,1.22520,0.79070,3.77860,41.92220,20.96110,20.96110,17.86630,15.21860,0.14170,0.41340,217.71720,20.41320,-7.16150,2.15670,4.27180,1.90340,0.6037,0.5443
2013-06-30,1.15260,0.80010,4.00310,41.43160,19.97260,19.97260,16.75450,14.33000,0.14450,0.40020,224.87340,21.38700,-6.31420,2.07100,4.27470,1.68290,0.4388,0.3689
2013-03-31,1.16320,0.80240,4.06150,42.70410,22.40080,22.40080,18.87730,15.99520,0.14160,0.39930,225.38710,23.10380,-6.78570,2.26450,4.56460,1.64030,0.41650,0.37070
2012-12-31,1.25760,0.81070,4.28360,42.62650,20.07440,20.07440,17.18260,16.69830,0.15050,0.45740,196.75310,25.29240,-7.62990,2.51330,4.78690,1.64410,0.5287,0.4843
2012-09-30,1.14990,0.74960,2.99380,43.98570,25.71750,25.71750,22.77720,18.95750,0.15200,0.42730,210.60350,23.50220,-9.33330,2.88080,5.88470,1.91560,0.6957,0.6567
2012-06-30,1.18960,0.77720,3.48890,44.03900,24.27200,24.27200,21.75990,19.03020,0.15550,0.45920,195.98410,25.75990,-9.09180,2.95880,5.73860,1.74160,0.3813,0.3432
2012-03-31,1.16180,0.78970,3.75620,43.80650,23.86250,23.86250,20.81960,17.74800,0.15150,0.43750,205.72630,25.56340,-8.03650,2.68870,5.37480,1.57580,0.34570,0.31360
2011-12-31,1.13580,0.80020,4.00450,44.63770,25.04020,25.04020,24.63490,31.60070,0.15780,0.46300,194.37440,50.54760,-14.35190,4.98680,10.10050,1.44460,0.4448,0.4176
2011-09-30,1.42670,0.88810,7.93540,43.29460,25.73010,25.73010,22.24980,16.99040,0.16000,0.51170,175.87890,47.75850,-10.36770,2.71780,5.34480,0.81070,0.6115,0.583
2011-06-30,1.33870,0.90440,9.45790,44.06790,25.66790,25.66790,24.40170,19.26370,0.17060,0.52850,170.29710,69.42760,-10.81570,3.28610,6.63880,0.60410,0.4105,0.3851
2011-03-31,1.36740,0.92750,12.78380,41.90180,24.38820,24.38820,21.41080,16.38350,0.16270,0.50640,177.72720,74.99110,-9.13870,2.66490,5.44050,0.44270,0.38580,0.36310
2010-12-31,1.36460,0.84950,5.64600,42.26230,23.73620,23.73620,21.24540,17.87770,0.17110,0.51500,174.77370,41.63380,-12.08770,3.05960,6.26450,0.89100,0.4131,0.3867
2010-09-30,1.31780,0.88280,7.52970,43.39650,26.41400,26.41400,23.21000,17.93020,0.17560,0.55550,162.00810,54.45410,-10.98470,3.14910,6.38410,0.66720,0.5879,0.5423
2010-06-30,1.31180,0.89190,8.24740,42.85380,24.42280,24.42280,21.38370,17.35510,0.17330,0.54390,165.47590,55.29150,-9.91650,3.00770,5.97910,0.60410,0.3769,0.3473
2010-03-31,1.24320,0.88900,8.00840,42.02970,25.61860,25.61860,22.38990,16.86540,0.17510,0.53890,167.01880,54.62430,-9.23260,2.95270,6.06370,0.56410,0.10870,0.09270
2009-12-31,1.19510,0.89610,8.62380,41.94060,24.24660,24.24660,21.62100,17.02440,0.17870,0.55000,163.63700,63.28150,-9.81530,3.04210,6.57550,0.51490,0.3722,0.3395
2009-09-30,1.26390,0.90310,9.31750,43.48980,21.42150,21.42150,18.75810,13.77370,0.21150,1.04620,86.02770,55.25030,-7.78660,2.91270,5.35500,0.47140,0.5027,0.4821
2009-06-30,1.47020,0.91440,10.67860,44.16810,27.24230,27.24230,23.57490,17.55560,0.21410,1.02840,87.51730,77.10090,-11.18220,3.75820,6.60190,0.40720,0.3591,0.328
2009-03-31,1.33030,0.96410,26.83580,44.29740,28.38000,28.38000,25.40790,18.63970,0.21250,1.01610,88.57640,196.57590,-10.45870,3.96000,7.06200,0.16240,0.50370,0.48590
