,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.63270,1.77740,14.22920,11.75760,0.05760,6.36150,6.36150,0.68840,2.33640,33.25840,11.1454,10.4703
2022-09-30,0.63910,1.83410,19.24400,14.48580,0.05950,7.84880,7.84880,0.87430,2.83270,32.04820,6.0764,5.4786
2022-06-30,0.63540,1.82820,19.58410,14.89410,0.06320,8.45280,8.45280,0.95670,3.08180,30.93880,5.6901,5.0859
2022-03-31,0.63140,1.80760,23.04560,17.58160,0.06010,9.37770,9.37770,1.07170,3.45690,29.64640,5.11870,4.52900
2021-12-31,0.63560,1.84510,19.07050,13.88520,0.06410,7.75130,7.75130,0.91170,2.82490,29.14190,6.2928,5.7018
2021-09-30,0.58540,1.50400,22.03440,16.03560,0.06030,7.47560,7.47560,0.99100,3.09970,31.39590,5.431,4.8193
2021-06-30,0.59400,1.53600,27.09930,20.73000,0.05800,8.92750,8.92750,1.21940,3.62470,32.00380,3.9819,3.6189
2021-03-31,0.63220,1.78320,30.73210,22.65120,0.05040,9.14150,9.14150,1.15760,3.36250,30.44710,2.83230,2.43600
2020-12-31,0.65140,1.95050,19.63640,14.95460,0.04940,6.25650,6.25650,0.75140,2.18090,28.55160,4.3392,3.7999
2020-09-30,0.67190,2.12600,16.86870,12.98540,0.04320,4.90650,4.90650,0.57300,1.61000,27.16650,2.7081,2.2696
2020-06-30,0.69850,2.39120,10.16340,3.88890,0.03240,1.22020,1.22020,0.13630,0.36790,26.16400,2.6357,2.1944
2020-03-31,0.71460,2.67000,5.87850,4.33090,0.04130,1.74710,1.74710,0.19720,0.49870,26.09440,-2.74630,-3.16090
2019-12-31,0.71480,2.78610,19.20510,16.06230,0.05210,7.33820,7.33820,0.85370,2.09260,28.48270,3.805,3.291
2019-09-30,0.71750,2.74290,22.41350,17.04250,0.05210,7.62210,7.62210,0.90380,2.15340,28.04510,-1.1094,-1.5725
2019-06-30,0.71430,2.70990,22.24120,17.32990,0.05050,7.62600,7.62600,0.89120,2.17870,27.75480,3.5897,2.9977
2019-03-31,0.72450,2.82060,20.49190,15.88700,0.04850,6.97630,6.97630,0.78600,1.92220,26.54480,10.13880,9.72600
2018-12-31,0.72380,2.76010,19.23320,20.74580,0.05050,9.01750,9.01750,1.06570,2.49030,26.31640,-1.4437,-1.9559
2018-09-30,0.72040,2.78010,22.70830,17.37970,0.04930,7.70740,7.70740,0.87470,2.15480,25.12880,5.9277,5.5367
2018-06-30,0.72790,2.87560,22.73820,17.30100,0.04970,7.76850,7.76850,0.87800,2.11400,24.26480,3.5157,3.1692
2018-03-31,0.72790,2.89340,23.28080,17.89110,0.04970,8.33120,8.33120,0.90800,2.26710,22.80580,2.39610,2.12080
2017-12-31,0.75340,3.37530,20.26370,-13.69320,0.04900,-6.60420,-6.60420,-0.66560,-1.62830,21.25840,5.5421,5.2651
2017-09-30,0.69810,2.53640,21.49060,15.57510,0.05050,6.44530,6.44530,0.80620,1.94570,24.20780,4.9428,4.6236
2017-06-30,0.71040,2.73310,22.78500,15.29860,0.05140,6.34710,6.34710,0.80480,1.83810,23.92660,3.5127,3.2169
2017-03-31,0.71160,2.76820,22.60320,14.99510,0.05040,5.97560,5.97560,0.77520,1.72360,23.39110,1.28460,0.97790
2016-12-31,0.69620,2.70150,10.33130,7.15820,0.06740,3.86320,3.86320,0.49840,1.17350,22.67810,3.5034,3.0891
2016-09-30,0.68110,2.39860,23.86520,15.29570,0.04740,5.43370,5.43370,0.74460,1.73260,22.91930,1.9634,1.5968
2016-06-30,0.70980,2.69380,38.80600,25.46320,0.04870,9.72870,9.72870,1.26220,2.82370,22.39140,0.7744,0.3983
2016-03-31,0.69540,2.55310,28.53410,18.21270,0.04820,6.87990,6.87990,0.89790,2.09590,21.79500,2.62620,2.31260
2015-12-31,0.69920,2.71470,18.59570,11.16510,0.04850,4.34870,4.34870,0.55770,1.30790,21.33440,2.8265,2.3711
2015-09-30,0.69520,2.57120,25.28710,16.10130,0.04970,5.93390,5.93390,0.82090,1.80890,21.65990,3.6668,3.3154
2015-06-30,0.70670,2.76220,28.52760,18.44700,0.04970,6.73060,6.73060,0.93730,1.97390,21.84130,2.1025,1.8225
2015-03-31,0.71480,2.76850,30.75700,20.10620,0.04870,6.98580,6.98580,0.98590,1.99240,21.48620,2.07820,1.82800
2014-12-31,0.73710,3.14940,26.17960,16.75490,0.05340,6.99950,6.99950,0.90950,1.84030,20.20820,2.2561,1.9348
