,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2012-06-30,8.39890,100.00000,43.42040,43.42040,43.42040,25.86590,0.16850,1.47020,61.21470,4.82510,5.54150,4.35890,4.82510,7.02270,0.346,0.299
2012-03-31,8.58680,100.00000,44.83690,44.83690,44.83690,26.59510,0.18480,1.53560,58.60870,5.42070,6.28380,4.91530,5.42070,6.81980,0.34560,0.29640
2011-12-31,7.89770,100.00000,60.10310,60.10300,60.10300,32.14430,0.10280,0.99280,90.65160,4.25230,4.78090,3.80190,4.25230,8.05880,0.4784,0.4318
2011-09-30,8.41020,100.00000,47.88250,47.88250,47.88250,28.87210,0.13730,1.46160,61.57590,4.39590,4.96230,3.96340,4.39590,8.01370,0.6833,0.6311
2011-06-30,9.09130,100.00000,43.46930,43.46930,43.46920,26.06840,0.14250,1.32750,67.79630,4.07610,4.63430,3.71560,4.07610,7.70450,0.4644,0.4148
2011-03-31,10.52280,100.00000,40.51000,40.51000,40.51000,24.71970,0.14360,1.45050,62.04590,3.83110,4.38680,3.54920,3.83110,7.43070,0.02710,-0.00700
2010-12-31,6.65570,100.00000,37.41740,37.41740,37.41740,20.93250,0.12890,1.50320,59.87260,3.81570,3.91080,2.98710,3.37890,7.85100,0.5693,0.5426
2010-09-30,7.00310,100.00000,36.14790,36.14790,36.14790,20.80560,0.13030,1.36940,65.72050,3.81440,4.62130,2.99860,3.81440,6.68610,0.5024,0.4647
2010-06-30,8.66010,100.00000,33.56170,33.56170,33.56170,18.38020,0.12380,1.46640,61.37660,3.11550,3.24980,2.51160,2.75280,7.42250,0.573,0.5408
2010-03-31,9.91360,100.00000,31.77670,31.77670,31.77680,17.39770,0.12800,1.30730,68.84680,3.01560,3.15930,2.45790,2.65360,7.23950,-0.00210,-0.08750
2009-12-31,6.64480,100.00000,32.50690,32.50690,32.50690,18.99640,0.12250,1.46690,61.35340,2.51080,2.64050,1.96040,2.20240,7.17970,0.509,0.4086
2009-09-30,7.60290,100.00000,28.46810,28.46810,28.46810,13.99250,0.11220,1.26870,70.93770,2.19060,2.31380,1.73460,1.91640,7.04450,0.4732,0.4459
2009-06-30,10.23010,100.00000,22.19900,22.19900,22.19900,11.16140,0.10250,1.19160,75.53120,1.55630,1.65290,1.26420,1.35560,6.93800,0.2176,0.1897
2009-03-31,11.54220,100.00000,19.20670,19.20670,19.20670,10.42550,0.10130,1.37480,65.46480,1.42770,1.52310,1.16720,1.23880,6.68220,-0.06210,-0.08500
