,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-09-30,2.75010,58.79330,20.98960,20.98960,19.31430,18.48840,0.14950,0.30650,1.77890,50.59170,3.58700,4.08810,2.76430,3.58700,30.58690,0.8006,0.5398
2022-06-30,2.53870,58.73680,23.59220,23.59220,22.48220,20.78230,0.15880,0.35190,1.77550,50.68960,4.39610,5.04600,3.30030,4.39610,30.38430,0.4133,0.0279
2022-03-31,3.54200,56.49360,19.49040,19.49040,20.11360,18.04370,0.15220,0.38090,1.95530,46.02860,3.38610,3.87070,2.74680,3.38610,32.35650,0.95900,0.65630
2021-12-31,2.94290,55.48370,22.64450,22.64450,22.19310,20.56170,0.17720,0.50460,1.64990,54.54920,4.67990,5.37540,3.64300,4.67990,31.74410,0.8785,0.2578
2021-09-30,2.91790,58.38610,23.71450,23.71450,23.10340,21.73200,0.15740,0.44550,1.86440,48.27380,4.42440,5.13400,3.42120,4.42440,30.44240,1.2654,1.0523
2021-06-30,2.66220,58.84750,27.97280,27.97280,28.03960,23.89000,0.17920,0.58180,1.79980,50.00670,5.67660,6.65380,4.28220,5.67660,29.03610,1.1902,0.6219
2021-03-31,3.81290,59.82840,23.28200,23.28200,23.36170,20.51880,0.15320,0.51410,1.92110,46.84880,3.84950,4.49630,3.14340,3.84950,29.74760,1.91050,1.71910
2020-12-31,3.15180,58.53050,27.47280,27.47280,28.96730,24.68150,0.19220,0.73540,1.59090,56.57240,6.04680,7.11560,4.74370,6.04680,28.79410,2.2731,2.0209
2020-09-30,2.97600,60.22240,28.58840,28.58840,30.35690,28.25630,0.16930,0.53720,1.68570,53.39010,6.14020,7.31330,4.78450,6.14020,26.69120,1.4242,1.2234
2020-06-30,2.79950,59.25390,21.65720,21.65720,22.71520,21.17340,0.13980,0.43580,1.66040,54.20490,3.88490,4.50980,2.96110,3.88490,24.79230,1.0404,0.7434
2020-03-31,3.74600,59.21450,20.73130,20.73130,20.74910,18.82710,0.14140,0.44190,1.71140,52.58890,3.26650,3.76970,2.66240,3.26650,25.83230,1.17840,0.97250
2019-12-31,2.95180,58.01460,25.08740,25.08750,26.07550,32.73280,0.17870,0.61470,1.55950,57.70900,7.52670,8.72770,5.85050,7.52670,25.13820,1.2286,1.0901
2019-09-30,2.64430,60.73080,27.98210,27.98210,27.58690,24.38680,0.16240,0.48930,1.67360,53.77550,5.20140,6.08750,3.95940,5.20140,23.04490,0.9876,0.8263
2019-06-30,2.39430,60.25770,26.83390,26.83390,28.88210,23.42340,0.17280,0.58550,1.63520,55.03770,5.38800,6.39390,4.04820,5.38800,21.83550,0.5796,0.4214
2019-03-31,4.03540,58.96460,19.76150,19.76150,21.70420,18.29820,0.14510,0.52530,1.69080,53.22920,3.24830,3.59040,2.65470,3.24830,22.73030,0.86350,0.70590
2018-12-31,2.89300,58.91660,23.88930,23.88930,24.87610,20.40000,0.17320,0.68160,1.63580,55.02040,4.56760,5.07620,3.53250,4.56760,21.97270,1.1529,0.9801
2018-09-30,2.81090,59.35070,24.19210,24.19210,24.85490,22.74220,0.15900,0.59150,1.73160,51.97530,4.66050,5.22160,3.61490,4.66050,20.93500,1.3813,1.2261
2018-06-30,2.50080,58.50170,24.31750,24.31750,26.39250,21.28030,0.17930,0.74020,1.67790,53.63820,5.06380,5.68280,3.81540,5.06380,19.90970,1.1807,0.8347
2018-03-31,3.92810,60.00170,20.00390,20.00390,21.66070,18.19930,0.14640,0.51940,1.73510,51.87060,3.23660,3.61770,2.66460,3.23660,21.20290,1.13150,0.99300
2017-12-31,2.96190,56.10950,20.43180,20.43180,20.55620,15.88620,0.18130,0.76080,1.51860,59.26470,3.70030,4.14070,2.88080,3.70030,20.47100,1.0474,0.7598
2017-09-30,2.75690,58.23980,23.11470,23.11470,25.27990,20.10980,0.15540,0.54530,1.64250,54.79600,4.15070,4.54160,3.12430,4.15070,19.41170,1.0544,0.8143
2017-06-30,2.48240,58.22470,25.21050,25.21050,28.18170,21.28470,0.17510,0.66140,1.61470,55.73730,5.07910,5.57390,3.72680,5.07910,18.56360,0.7628,0.6873
2017-03-31,3.77440,58.11380,18.24260,18.24260,13.77610,37.16290,0.13940,0.50400,1.63920,54.90340,6.43980,7.01470,5.18190,6.43980,19.67550,0.63690,0.50180
2016-12-31,2.89120,54.03060,19.00790,19.00790,19.99240,16.16330,0.19620,0.84190,1.68460,53.42460,4.19880,4.61010,3.17150,4.19880,18.12640,1.1252,0.8711
2016-09-30,2.44290,56.21050,22.09980,22.09980,20.73590,17.31450,0.15730,0.59150,1.56550,57.48970,3.71940,4.08640,2.72340,3.71940,17.84190,1.1264,1.0548
2016-06-30,2.18980,57.04200,24.72550,24.72550,25.11070,19.84500,0.17930,0.68610,1.59040,56.58860,5.00380,5.52440,3.55740,5.00380,17.04200,0.7932,0.7154
2016-03-31,3.12780,54.45970,16.63400,16.63400,17.23400,14.11640,0.14150,0.54890,1.52850,58.88320,2.56290,2.81360,1.99740,2.56290,18.16790,0.68220,0.60890
2015-12-31,2.55320,52.87500,18.65500,18.65500,19.52270,16.94260,0.17370,0.73560,1.47010,61.21830,3.95750,4.27100,2.94220,3.95750,17.63170,0.8276,0.7231
2015-09-30,2.49480,53.28750,18.45800,18.45800,24.25970,17.55200,0.15490,0.63100,1.57360,57.19490,3.68810,3.95840,2.71850,3.68810,16.99410,0.722,0.6501
2015-06-30,2.37430,54.17860,21.53760,21.53760,22.42840,17.80150,0.17490,0.77340,1.54140,58.38890,4.29340,4.61400,3.11420,4.29340,16.80410,-0.5065,-0.6196
2015-03-31,3.03340,58.78470,19.08080,19.08080,13.01620,11.40990,0.12880,0.51290,1.37530,65.44050,1.92060,2.05310,1.47020,1.92060,18.15810,0.42450,0.33370
2014-12-31,2.43010,53.63420,21.90930,21.90930,24.88420,26.17230,0.17120,0.88580,1.40880,63.88250,6.17750,6.60050,4.47970,6.17750,17.74300,0.7274,0.6348
2014-09-30,2.15530,56.38620,24.84900,24.84900,24.44660,-20.78970,0.15130,0.66030,1.47540,61.00240,-4.53690,-4.87040,-3.14460,-4.53690,16.92450,0.7575,0.6613
2014-06-30,2.57580,57.14290,28.12300,28.12300,26.83300,23.39570,0.16400,0.77590,1.56520,57.50240,5.22850,5.56970,3.83780,5.22850,18.07020,0.8438,0.7349
2014-03-31,3.42490,56.72530,20.63870,20.63870,24.42760,20.37270,0.12310,0.57100,1.36440,65.96320,3.16650,3.36010,2.50730,3.16650,19.26540,0.36340,0.28720
