,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.50250,2.11920,33.69030,29.45390,0.00770,2.91340,3.49310,0.23370,1.29870,34.16340,3.799,3.799
2022-09-30,0.49960,2.19110,35.16780,27.87240,0.00770,2.94600,3.53210,0.23050,1.31480,33.58780,1.6101,1.6101
2022-06-30,0.50600,2.24880,31.09410,26.76290,0.00710,2.60310,3.12200,0.20080,1.14660,33.49230,-0.645,-0.645
2022-03-31,0.51110,2.38280,33.96410,28.45070,0.00720,2.95100,3.57650,0.21820,1.29590,33.07040,-5.53880,-5.53880
2021-12-31,0.50910,2.21020,34.67120,30.03680,0.00710,2.85830,3.48830,0.22130,1.27470,33.43300,5.264,5.264
2021-09-30,0.50560,2.27020,38.26420,31.03890,0.00760,3.08850,3.78050,0.24930,1.39560,33.06100,0.9517,0.9517
2021-06-30,0.49770,2.23770,34.83350,38.82710,0.00760,3.63610,4.43260,0.30440,1.67190,32.65160,-1.0797,-1.0797
2021-03-31,0.47830,2.09910,37.13790,30.63090,0.00830,3.22410,3.92590,0.27100,1.53270,31.89860,-5.97650,-5.97650
2020-12-31,0.49070,1.91960,30.52480,25.98030,0.00710,2.20200,2.68170,0.19400,1.02080,31.54890,6.2102,6.2102
2020-09-30,0.48750,2.04220,23.99320,23.43380,0.00690,1.98880,2.44170,0.17820,0.93050,31.03960,-3.7203,-3.7203
2020-06-30,0.49620,2.03120,22.07570,19.08300,0.00630,1.45870,1.79630,0.12890,0.67000,30.65960,-0.3197,-0.3197
2020-03-31,0.49210,2.01580,25.16380,19.66570,0.00690,1.66050,2.04630,0.15310,0.76870,30.53640,2.14870,2.14870
2019-12-31,0.47630,1.93890,38.15860,31.52090,0.00880,2.89720,3.57090,0.28730,1.38310,29.96890,6.2563,6.2563
2019-09-30,0.47560,2.06710,31.13760,23.93320,0.00910,2.36010,2.89670,0.23810,1.12880,29.56040,-0.5903,-0.5903
2019-06-30,0.46720,1.99830,40.30680,31.98360,0.00930,2.97830,3.62940,0.30670,1.44240,29.05060,-0.6667,-0.6667
2019-03-31,0.46700,1.95050,39.86630,31.23550,0.00930,2.98790,3.69130,0.30760,1.45950,27.90540,1.54290,1.54290
2018-12-31,0.46370,1.90250,39.95040,32.33050,0.00920,2.99510,3.70620,0.30910,1.47110,27.44000,-1.394,-1.394
2018-09-30,0.47170,2.00150,40.86700,30.44800,0.00940,2.98830,3.70950,0.30640,1.44420,26.59280,1.9724,1.9724
2018-06-30,0.46170,2.01410,39.12160,29.76710,0.00950,2.81450,3.47430,0.29600,1.38220,26.38800,-0.5712,-0.5712
2018-03-31,0.46590,2.06250,37.74960,29.18690,0.00950,2.86400,3.50680,0.29710,1.38780,26.16220,3.85330,3.85330
2017-12-31,0.45980,1.93950,32.07350,10.82310,0.00840,0.96600,1.19330,0.10370,0.47820,25.96850,-0.6633,-0.6633
